Region of residence,2019,2020,2021,2022,2023,2024
Tarapacá,68,32,45,94,132,228
Antofagasta,110,94,147,214,410,481
Atacama,38,20,26,55,109,110
Coquimbo,107,82,137,236,359,555
Valparaíso,227,166,177,331,625,931
Libertador General Bernardo O'Higgins,89,56,97,147,219,301
Maule,88,72,86,196,328,489
Biobío,367,231,286,451,809,1090
La Araucanía,108,96,127,210,371,570
Los Lagos,140,90,117,171,276,388
Aysén del General Carlos Ibáñez del Campo,15,9,18,31,47,75
Magallanes y de la Antártica Chilena,62,39,47,60,82,87
Metropolitana de Santiago,697,473,796,1277,2091,2754
Los Ríos,54,45,38,62,91,113
Arica y Parinacota,42,35,68,103,162,184
Ñuble,120,69,155,221,312,375
no enlazada a comuna INE,<5,0,0,0,0,0
