Series,Region,2023,2024,2025
Counselling (29101566),Arica y Parinacota,not reported,8 (3),<5 (1)
Counselling (29101566),Tarapacá,not reported,102 (1),6 (1)
Counselling (29101566),Antofagasta,<5 (1),not reported,7 (1)
Counselling (29101566),Atacama,159 (4),204 (4),183 (5)
Counselling (29101566),Coquimbo,27 (3),13 (3),12 (3)
Counselling (29101566),Valparaíso,265 (18),541 (21),221 (15)
Counselling (29101566),Metropolitana,453 (30),"1,022 (34)","1,025 (36)"
Counselling (29101566),O'Higgins,65 (5),29 (4),46 (5)
Counselling (29101566),Maule,753 (52),"1,133 (61)",765 (63)
Counselling (29101566),Ñuble,96 (3),51 (3),130 (3)
Counselling (29101566),Biobío,84 (13),146 (16),203 (14)
Counselling (29101566),La Araucanía,169 (6),221 (7),264 (11)
Counselling (29101566),Los Ríos,6 (1),9 (3),not reported
Counselling (29101566),Los Lagos,265 (11),363 (17),159 (9)
Counselling (29101566),Aysén,<5 (1),<5 (1),<5 (1)
Counselling (29101566),Magallanes,34 (2),31 (2),<5 (1)
Counselling (29101566),Chile (national total),"2,380 (150)","3,874 (180)","3,026 (169)"
Assisted referral (29101574),Arica y Parinacota,not reported,not reported,<5 (1)
Assisted referral (29101574),Tarapacá,not reported,26 (1),<5 (1)
Assisted referral (29101574),Antofagasta,not reported,not reported,7 (1)
Assisted referral (29101574),Atacama,26 (3),32 (3),24 (4)
Assisted referral (29101574),Coquimbo,8 (2),7 (2),9 (3)
Assisted referral (29101574),Valparaíso,80 (9),150 (15),47 (10)
Assisted referral (29101574),Metropolitana,121 (20),233 (25),342 (22)
Assisted referral (29101574),O'Higgins,16 (5),8 (2),16 (2)
Assisted referral (29101574),Maule,348 (42),439 (44),312 (47)
Assisted referral (29101574),Ñuble,<5 (3),<5 (1),<5 (2)
Assisted referral (29101574),Biobío,34 (7),92 (12),70 (10)
Assisted referral (29101574),La Araucanía,not reported,20 (5),28 (6)
Assisted referral (29101574),Los Ríos,<5 (1),<5 (1),not reported
Assisted referral (29101574),Los Lagos,32 (5),57 (5),15 (4)
Assisted referral (29101574),Aysén,not reported,<5 (1),not reported
Assisted referral (29101574),Magallanes,<5 (1),<5 (1),<5 (1)
Assisted referral (29101574),Chile (national total),672 (98),"1,068 (118)",878 (114)
Primary rehabilitation (29101629),Arica y Parinacota,8 (2),20 (4),103 (3)
Primary rehabilitation (29101629),Tarapacá,<5 (2),<5 (2),278 (6)
Primary rehabilitation (29101629),Antofagasta,307 (4),417 (7),815 (10)
Primary rehabilitation (29101629),Atacama,53 (6),100 (9),246 (11)
Primary rehabilitation (29101629),Coquimbo,279 (17),358 (30),"1,105 (32)"
Primary rehabilitation (29101629),Valparaíso,512 (22),762 (24),622 (9)
Primary rehabilitation (29101629),Metropolitana,875 (35),"1,790 (44)","3,426 (60)"
Primary rehabilitation (29101629),O'Higgins,318 (20),455 (23),"1,059 (38)"
Primary rehabilitation (29101629),Maule,317 (22),474 (17),"1,553 (39)"
Primary rehabilitation (29101629),Ñuble,209 (10),408 (10),"1,080 (19)"
Primary rehabilitation (29101629),Biobío,676 (44),809 (46),"2,944 (62)"
Primary rehabilitation (29101629),La Araucanía,168 (36),274 (43),209 (10)
Primary rehabilitation (29101629),Los Ríos,35 (14),209 (9),256 (9)
Primary rehabilitation (29101629),Los Lagos,148 (25),876 (31),"1,166 (32)"
Primary rehabilitation (29101629),Aysén,41 (2),23 (12),96 (14)
Primary rehabilitation (29101629),Magallanes,14 (3),55 (2),901 (5)
Primary rehabilitation (29101629),Chile (national total),"3,962 (264)","7,033 (313)","15,859 (359)"
Hospital rehabilitation (29101651),Arica y Parinacota,not reported,not reported,not reported
Hospital rehabilitation (29101651),Tarapacá,21 (2),8 (2),<5 (1)
Hospital rehabilitation (29101651),Antofagasta,16 (2),26 (2),103 (3)
Hospital rehabilitation (29101651),Atacama,7 (1),9 (2),108 (2)
Hospital rehabilitation (29101651),Coquimbo,94 (3),118 (5),139 (3)
Hospital rehabilitation (29101651),Valparaíso,54 (5),83 (7),96 (3)
Hospital rehabilitation (29101651),Metropolitana,221 (10),284 (8),567 (8)
Hospital rehabilitation (29101651),O'Higgins,34 (3),50 (4),56 (3)
Hospital rehabilitation (29101651),Maule,13 (4),46 (4),122 (9)
Hospital rehabilitation (29101651),Ñuble,169 (1),313 (1),301 (2)
Hospital rehabilitation (29101651),Biobío,13 (1),31 (5),9 (3)
Hospital rehabilitation (29101651),La Araucanía,8 (3),21 (3),200 (1)
Hospital rehabilitation (29101651),Los Ríos,<5 (1),8 (2),11 (1)
Hospital rehabilitation (29101651),Los Lagos,78 (2),46 (3),24 (3)
Hospital rehabilitation (29101651),Aysén,<5 (1),<5 (1),<5 (1)
Hospital rehabilitation (29101651),Magallanes,not reported,<5 (1),not reported
Hospital rehabilitation (29101651),Chile (national total),731 (39),"1,045 (50)","1,740 (43)"
