Series,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year total
A05 Strict autism,2021,56 (38),100 (66),143 (73),142 (87),184 (95),243 (98),172 (94),199 (118),184 (114),200 (116),255 (141),207 (119),"2,085"
A05 Strict autism,2022,275 (132),218 (121),347 (177),377 (174),408 (210),396 (201),396 (203),505 (226),384 (212),421 (222),414 (201),499 (218),"4,640"
A05 Strict autism,2023,461 (247),449 (217),625 (294),684 (294),750 (339),642 (321),772 (348),793 (346),659 (308),774 (342),797 (347),643 (309),"8,049"
A05 Strict autism,2024,850 (342),796 (362),891 (384),"1,104 (411)","1,041 (439)","1,027 (457)","1,190 (485)","1,084 (451)",825 (396),"1,124 (467)","1,010 (436)",900 (390),"11,842"
A05 Strict autism,2025,890 (338),778 (337),949 (395),"1,141 (419)","1,097 (412)","1,090 (422)","1,288 (415)","1,303 (430)","1,070 (439)","1,295 (450)","1,203 (406)","1,051 (409)","13,155"
A05 Broad PDD (pre-2021),2019,338 (174),300 (150),342 (187),406 (208),370 (205),440 (213),424 (200),425 (219),348 (187),415 (204),243 (128),366 (181),"4,417"
A05 Broad PDD (pre-2021),2020,443 (201),412 (228),255 (138),41 (26),65 (50),111 (67),125 (76),193 (103),200 (98),220 (126),233 (132),262 (108),"2,560"
M-CHAT performed (children with an alteration),2019,50 (21),"1,051 (37)",94 (50),130 (70),136 (69),140 (77),206 (91),217 (101),156 (77),161 (82),114 (57),158 (74),"2,613"
M-CHAT performed (children with an alteration),2020,172 (84),146 (80),77 (50),13 (10),13 (8),20 (15),19 (14),21 (19),36 (15),73 (42),107 (49),119 (41),816
M-CHAT performed (children with an alteration),2021,126 (63),95 (51),129 (67),112 (56),127 (59),122 (70),178 (84),210 (96),196 (82),170 (82),207 (93),161 (90),"1,833"
M-CHAT performed (children with an alteration),2022,215 (102),187 (92),279 (127),303 (127),329 (136),306 (133),299 (131),384 (140),274 (121),258 (128),337 (132),284 (121),"3,455"
M-CHAT altered (children with an alteration),2019,25 (11),"1,028 (25)",48 (31),67 (40),59 (35),53 (38),81 (49),73 (47),66 (45),50 (38),36 (30),54 (43),"1,640"
M-CHAT altered (children with an alteration),2020,72 (41),42 (34),26 (24),6 (5),4 (4),9 (9),8 (8),8 (8),8 (7),37 (30),36 (30),32 (23),288
M-CHAT altered (children with an alteration),2021,48 (37),40 (28),71 (48),57 (39),65 (46),58 (41),87 (56),115 (68),79 (48),85 (50),84 (55),90 (55),879
M-CHAT altered (children with an alteration),2022,88 (58),68 (51),124 (82),136 (86),144 (85),162 (91),141 (81),155 (98),141 (92),126 (87),136 (83),114 (76),"1,535"
Primary rehabilitation (29101629),2023,380 (77),370 (74),342 (79),270 (76),384 (94),385 (86),421 (82),329 (87),284 (83),298 (80),301 (90),198 (70),"3,962"
Primary rehabilitation (29101629),2024,424 (92),388 (88),373 (95),503 (101),402 (90),476 (87),633 (108),983 (112),513 (101),916 (118),841 (105),581 (99),"7,033"
Primary rehabilitation (29101629),2025,674 (94),789 (103),"1,286 (124)","1,222 (142)","1,315 (136)","1,182 (131)","1,601 (166)","1,638 (176)","1,390 (171)","1,611 (176)","1,742 (177)","1,409 (152)","15,859"
Hospital rehabilitation (29101651),2023,28 (6),42 (11),98 (17),50 (15),89 (16),70 (16),63 (13),55 (14),62 (13),48 (12),63 (9),63 (13),731
Hospital rehabilitation (29101651),2024,87 (18),99 (21),54 (22),101 (18),97 (17),78 (15),82 (14),87 (16),78 (22),117 (19),97 (22),68 (14),"1,045"
Hospital rehabilitation (29101651),2025,123 (17),174 (22),157 (18),159 (20),194 (18),143 (16),121 (20),95 (17),125 (19),165 (18),163 (19),121 (14),"1,740"
