Series,Code,Definition era,2019,2020,2021,2022,2023,2024,2025
A05 entries,06902600,Broad PDD (pre-2021),"4,417 (651)","2,560 (492)",outside the era,outside the era,outside the era,outside the era,outside the era
A05 entries,05990022,Strict autism,outside the era,outside the era,"2,085 (449)","4,640 (658)","8,049 (920)","11,842 (1,070)","13,155 (952)"
A05 entries,05990022+05990023+05990025+05990026,PDD family (variant),outside the era,outside the era,"4,948 (710)","8,004 (869)","12,086 (1,040)","14,873 (1,153)","15,669 (995)"
A05 entries,05990022+05990023+05990025+05990026 / 05990022,Family / strict,outside the era,outside the era,2.37,1.73,1.50,1.26,1.19
A05 clinical discharges,05225000,Broad PDD (pre-2021),"1,208 (387)",646 (260),outside the era,outside the era,outside the era,outside the era,outside the era
A05 clinical discharges,05990027,Strict autism,outside the era,outside the era,494 (207),831 (307),"1,814 (438)","3,315 (625)","3,367 (624)"
A05 clinical discharges,05990027+05990028+05990030+05990031,PDD family (variant),outside the era,outside the era,"1,485 (387)","1,799 (492)","2,975 (587)","4,872 (725)","4,449 (675)"
A05 clinical discharges,05990027+05990028+05990030+05990031 / 05990027,Family / strict,outside the era,outside the era,3.01,2.16,1.64,1.47,1.32
P6 primary care,P6223000,Broad PDD (pre-2021),"5,520 (727)","5,185 (695)",outside the era,outside the era,outside the era,outside the era,outside the era
P6 primary care,P6241010,Strict autism,outside the era,outside the era,"2,257 (482)","5,042 (704)","9,717 (956)","15,934 (1,160)","21,843 (1,274)"
P6 primary care,P6241010+P6241020+P6241040+P6241050,PDD family (variant),outside the era,outside the era,"6,237 (815)","10,298 (948)","14,895 (1,103)","20,911 (1,258)","27,319 (1,344)"
P6 primary care,P6241010+P6241020+P6241040+P6241050 / P6241010,Family / strict,outside the era,outside the era,2.76,2.04,1.53,1.31,1.25
P6 specialty,P6223380,Broad PDD (pre-2021),"6,624 (111)","6,905 (121)",outside the era,outside the era,outside the era,outside the era,outside the era
P6 specialty,P6241060,Strict autism,outside the era,outside the era,"3,562 (95)","4,684 (113)","7,982 (129)","8,835 (144)","12,645 (153)"
P6 specialty,P6241060+P6241070+P6241090+P6241100,PDD family (variant),outside the era,outside the era,"9,163 (132)","10,719 (134)","13,653 (148)","15,304 (158)","20,365 (169)"
P6 specialty,P6241060+P6241070+P6241090+P6241100 / P6241060,Family / strict,outside the era,outside the era,2.57,2.29,1.71,1.73,1.61
