Month of admission,2019,2020,2021,2022,2023,2024
January,210 (1.08),234 (1.75),168 (0.85),248 (0.77),444 (0.83),649 (0.89)
February,152 (0.78),200 (1.49),120 (0.61),192 (0.60),346 (0.65),534 (0.73)
March,179 (0.92),149 (1.11),181 (0.92),310 (0.96),506 (0.95),695 (0.96)
April,192 (0.99),102 (0.76),182 (0.92),318 (0.99),511 (0.95),747 (1.03)
May,183 (0.94),86 (0.64),185 (0.94),324 (1.01),538 (1.01),726 (1.00)
June,185 (0.95),76 (0.57),170 (0.86),315 (0.98),480 (0.90),633 (0.87)
July,199 (1.02),87 (0.65),206 (1.04),277 (0.86),540 (1.01),803 (1.10)
August,223 (1.15),119 (0.89),229 (1.16),361 (1.12),625 (1.17),804 (1.11)
September,199 (1.02),113 (0.84),233 (1.18),338 (1.05),544 (1.02),724 (1.00)
October,199 (1.02),137 (1.02),212 (1.07),388 (1.21),646 (1.21),902 (1.24)
November,189 (0.97),170 (1.27),275 (1.39),412 (1.28),692 (1.29),807 (1.11)
December,224 (1.15),136 (1.01),206 (1.04),376 (1.17),551 (1.03),704 (0.97)
Unparsable admission date,0,0,0,0,0,3
Year total,"2,334","1,609","2,367","3,859","6,423","8,731"
