Age group,2019 · Males,2019 · Females,2025 · Males,2025 · Females,Censo 2024 / 2017 base (2024)
0–4,"612,613 (3.21%)","589,563 (3.09%)","602,473 (2.98%)","579,945 (2.87%)",0.735
5–9,"649,322 (3.40%)","626,150 (3.28%)","610,433 (3.02%)","587,777 (2.91%)",0.939
10–14,"629,243 (3.29%)","607,281 (3.18%)","656,243 (3.25%)","632,916 (3.13%)",0.972
15–19,"647,322 (3.39%)","625,645 (3.27%)","646,181 (3.20%)","624,185 (3.09%)",0.975
20–24,"735,379 (3.85%)","711,606 (3.72%)","645,940 (3.20%)","626,269 (3.10%)",0.977
25–29,"827,193 (4.33%)","800,590 (4.19%)","745,391 (3.69%)","724,859 (3.59%)",0.914
30–34,"769,391 (4.03%)","745,995 (3.90%)","849,522 (4.20%)","827,027 (4.09%)",0.899
35–39,"705,386 (3.69%)","691,342 (3.62%)","816,260 (4.04%)","795,338 (3.94%)",0.902
40–44,"665,145 (3.48%)","663,414 (3.47%)","726,178 (3.59%)","714,206 (3.53%)",0.894
45–49,"616,547 (3.23%)","627,382 (3.28%)","671,556 (3.32%)","672,095 (3.33%)",0.861
50–54,"597,164 (3.13%)","620,912 (3.25%)","622,877 (3.08%)","637,329 (3.15%)",0.945
55–59,"540,699 (2.83%)","577,392 (3.02%)","586,994 (2.90%)","616,422 (3.05%)",0.943
60–64,"458,457 (2.40%)","505,861 (2.65%)","533,720 (2.64%)","578,581 (2.86%)",0.990
65–69,"361,643 (1.89%)","416,071 (2.18%)","442,243 (2.19%)","500,277 (2.48%)",0.947
70–74,"251,433 (1.32%)","306,258 (1.60%)","342,523 (1.70%)","410,588 (2.03%)",0.899
75–79,"168,861 (0.88%)","229,448 (1.20%)","225,001 (1.11%)","289,646 (1.43%)",0.971
80+,"188,341 (0.99%)","338,167 (1.77%)","246,490 (1.22%)","419,468 (2.08%)",0.928
Total,"9,424,139","9,683,077","9,970,025","10,236,928",0.920
Aged 0–19 (% of total),"4,987,139",26.1%,"4,940,153",24.4%,n/e
