Year,Strict autism,Autism-Asperger,Harmonised (Apuntes 60),Harmonised (SINACES),Special schools,Regular entry,Exceptional entry,% of PIE enrolment,% of SINACES applicants
2019,"11,877","9,135","21,012",n/e,n/e,n/e,n/e,5.4%,n/e
2020,"13,613","9,977","23,590",n/e,n/e,n/e,n/e,6.9%,n/e
2021,"18,801","12,081","30,882",n/e,n/e,n/e,n/e,7.8%,n/e
2022,"28,845","14,095","42,940","42,945","2,074","37,302","5,643",9.8%,9.8%
2023,"47,551","16,091","63,642","63,642","2,298","51,736","11,906",13.5%,13.5%
2024,n/e,n/e,n/e,"86,475","2,505","66,846","19,629",n/e,17.3%
2025,n/e,n/e,n/e,"106,786","2,626","78,667","28,119",n/e,22.4%
2022 discrepancy,"total 45,014 − special schools = 42,940 (gap 5)",,"42,940","42,945","2,074",,,,
Strict autism 2023 by sex,"Males: 38,090","Females: 9,461",Male-to-female ratio: 4.03 (3.94–4.12),,,,,,
Autism-Asperger 2023 by sex,"Males: 13,219","Females: 2,872",Male-to-female ratio: 4.60 (4.42–4.79),,,,,,
PIE enrolment 2023 by sex,"Males: 283,550","Females: 189,454",Male-to-female ratio: 1.50 (1.49–1.51),,,,,,
