Source,Year,Unit,Males,Females,Male-to-female ratio (95% CI),Interval method,Basis
REM A05 · autism entries (standardised rates),2021,entries,"1,624",461,3.49 (3.14–3.87),log-normal on the ratio of standardised rates,age-standardised rates
REM A05 · autism entries (standardised rates),2022,entries,"3,466","1,175",2.88 (2.69–3.08),log-normal on the ratio of standardised rates,age-standardised rates
REM A05 · autism entries (standardised rates),2023,entries,"5,734","2,315",2.44 (2.33–2.56),log-normal on the ratio of standardised rates,age-standardised rates
REM A05 · autism entries (standardised rates),2024,entries,"8,164","3,679",2.20 (2.11–2.29),log-normal on the ratio of standardised rates,age-standardised rates
REM A05 · autism entries (standardised rates),2025,entries,"8,867","4,289",2.04 (1.97–2.12),log-normal on the ratio of standardised rates,age-standardised rates
REM A05 · autism entries (counts),2021,entries,"1,624",461,3.52 (3.17–3.92),exact binomial on p = M/(M+F),counts
REM A05 · autism entries (counts),2022,entries,"3,465","1,175",2.95 (2.76–3.15),exact binomial on p = M/(M+F),counts
REM A05 · autism entries (counts),2023,entries,"5,734","2,315",2.48 (2.36–2.60),exact binomial on p = M/(M+F),counts
REM A05 · autism entries (counts),2024,entries,"8,164","3,678",2.22 (2.13–2.31),exact binomial on p = M/(M+F),counts
REM A05 · autism entries (counts),2025,entries,"8,867","4,289",2.07 (1.99–2.14),exact binomial on p = M/(M+F),counts
DEIS · discharges with principal F84,2019,discharges,237,59,4.02 (3.01–5.44),exact binomial on p = M/(M+F),counts
DEIS · discharges with principal F84,2020,discharges,175,74,2.36 (1.79–3.15),exact binomial on p = M/(M+F),counts
DEIS · discharges with principal F84,2021,discharges,225,69,3.26 (2.48–4.34),exact binomial on p = M/(M+F),counts
DEIS · discharges with principal F84,2022,discharges,310,147,2.11 (1.73–2.58),exact binomial on p = M/(M+F),counts
DEIS · discharges with principal F84,2023,discharges,393,173,2.27 (1.89–2.73),exact binomial on p = M/(M+F),counts
DEIS · discharges with principal F84,2024,discharges,423,247,1.71 (1.46–2.01),exact binomial on p = M/(M+F),counts
ENCAVI 2023–24 · persons 15+,2024,respondents,35,45,2.09 (1.10–3.97),"delta on log, complex-design standard errors",proportions
ENDIDE 2022 · adults 18+,2022,respondents,48,24,2.95 (1.67–5.21),"delta on log, complex-design standard errors",proportions
ENDIDE 2022 · children 2–17,2022,respondents,129,34,4.13 (2.66–6.42),"delta on log, complex-design standard errors",proportions
GRD · episodes with documented F84 (counts),2019,episodes,"1,786",547,3.27 (2.97–3.60),exact binomial on p = M/(M+F),counts
GRD · episodes with documented F84 (counts),2020,episodes,"1,206",403,2.99 (2.67–3.36),exact binomial on p = M/(M+F),counts
GRD · episodes with documented F84 (counts),2021,episodes,"1,806",560,3.23 (2.93–3.55),exact binomial on p = M/(M+F),counts
