WHO age group,Documented F84,All GRD episodes
0–4,"4,791; 3","460,144; 3"
5–9,"6,174; 2","146,662; 2"
10–14,"5,805; 4","157,456; 3"
15–19,"3,199; 6","170,721; 3"
20–24,"1,016; 6","310,252; 3"
25–29,608; 6,"396,267; 3"
30–34,383; 7,"389,431; 3"
35–39,217; 7,"305,944; 3"
40–44,102; 6,"223,268; 3"
45–49,75; 7,"208,215; 3"
50–54,44; 6,"231,004; 4"
55–59,33; 12,"279,084; 4"
60–64,32; 10,"308,341; 4"
65–69,19; 2,"309,263; 5"
70–74,17; 8,"287,378; 5"
75–79,11; 10,"252,518; 5"
80+,15; 11,"364,731; 6"
Unknown age,0; n/e,28; 0
