Comuna,CUT,Region,A05 entries,A05 smoothed ratio,A05 establishments,P2 December,P2 smoothed ratio,P6 primary,P6 smoothed ratio,A05 data state
Quillón,16107,Ñuble,203,4.17,2,141,1.80,505,6.49,reported
San Carlos,16301,Ñuble,628,4.07,6,587,2.55,916,4.02,reported
Lebu,8201,Biobío,299,3.67,5,86,0.79,452,4.15,reported
Chillán,16101,Ñuble,"2,064",3.65,12,"1,197",1.46,"2,485",3.07,reported
Lota,8106,Biobío,434,3.52,5,432,2.35,589,3.24,reported
Penco,8107,Biobío,477,3.44,6,321,1.59,665,3.32,reported
Aysén,11201,Aysén,264,3.31,5,57,0.57,197,1.95,reported
Mariquina,14106,Los Ríos,246,3.27,0,164,1.69,246,2.56,reported
Tomé,8111,Biobío,479,3.08,9,472,1.98,214,0.91,reported
Hualpén,8112,Biobío,754,2.89,9,687,1.74,928,2.38,reported
Talcahuano,8110,Biobío,"1,200",2.86,12,493,0.78,"1,443",2.29,reported
Angol,9201,La Araucanía,444,2.70,2,394,1.72,502,2.22,reported
Arauco,8202,Biobío,293,2.58,4,191,1.22,375,2.41,reported
Cañete,8203,Biobío,295,2.57,7,182,1.21,199,1.33,reported
Chaitén,10401,Los Lagos,35,2.56,2,36,1.70,80,3.76,reported
Copiapó,3101,Atacama,"1,396",2.51,10,"1,051",1.49,769,1.10,reported
Portezuelo,16205,Ñuble,32,2.50,1,68,3.23,80,3.90,reported
Papudo,5403,Valparaíso,43,2.42,0,31,1.19,34,1.31,reported
Providencia,13123,Metropolitana,672,2.32,7,170,0.26,131,0.20,reported
Yungay,16109,Ñuble,112,2.20,2,104,1.37,380,5.00,reported
San Ramón,13131,Metropolitana,487,2.15,7,48,0.15,457,1.37,reported
Chillán Viejo,16103,Ñuble,238,2.12,4,290,2.02,273,1.93,reported
Andacollo,4103,Coquimbo,74,2.11,1,105,2.16,216,4.48,reported
El Carmen,16104,Ñuble,68,2.09,1,25,0.53,207,4.17,reported
Curanilahue,8205,Biobío,205,2.08,3,308,2.24,232,1.71,reported
Taltal,2104,Antofagasta,91,2.04,1,48,0.86,74,1.33,reported
Quirihue,16201,Ñuble,65,2.04,1,59,1.19,118,2.38,reported
La Cruz,5504,Valparaíso,174,2.04,0,0,0.02,587,5.28,reported
Puerto Varas,10109,Los Lagos,294,2.01,4,163,0.80,375,1.84,reported
Cisnes,11202,Aysén,36,2.01,2,84,3.36,43,1.79,reported
Pinto,16106,Ñuble,62,1.97,2,157,3.13,173,3.50,reported
Coelemu,16203,Ñuble,89,1.94,1,75,1.10,504,7.36,reported
Concepción,8101,Biobío,"1,103",1.94,11,"1,193",1.24,"1,578",1.66,reported
Catemu,5702,Valparaíso,87,1.93,2,68,1.08,144,2.28,reported
Huara,1404,Tarapacá,20,1.93,2,<5,0.28,14,1.12,reported
Coyhaique,11101,Aysén,356,1.86,7,344,1.38,252,1.02,reported
Futrono,14202,Los Ríos,83,1.84,4,7,0.14,130,2.12,reported
San Nicolás,16305,Ñuble,59,1.79,2,82,1.61,90,1.79,reported
Lautaro,9108,La Araucanía,225,1.78,0,149,0.89,230,1.38,reported
Coihueco,16302,Ñuble,150,1.77,5,555,4.70,494,4.24,reported
Santo Domingo,5606,Valparaíso,62,1.76,3,107,2.08,94,1.86,reported
San Ignacio,16108,Ñuble,76,1.76,3,125,1.85,293,4.36,reported
Talca,7101,Maule,"1,160",1.74,13,"1,336",1.37,"1,125",1.17,reported
Coronel,8102,Biobío,665,1.73,10,225,0.44,"1,356",2.65,reported
Illapel,4201,Coquimbo,161,1.72,6,238,1.78,186,1.41,reported
San Antonio,5601,Valparaíso,469,1.71,11,482,1.22,524,1.34,reported
Lo Prado,13117,Metropolitana,446,1.70,5,410,1.00,443,1.09,reported
San Felipe,5701,Valparaíso,431,1.70,5,305,0.88,276,0.80,reported
Punta Arenas,12101,Magallanes,635,1.65,6,339,0.58,356,0.62,reported
San Pablo,10307,Los Lagos,43,1.64,2,87,2.01,87,2.04,reported
Alto Biobío,8314,Biobío,41,1.62,1,19,0.72,91,3.24,reported
Timaukel,12303,Magallanes,<5,1.62,0,<5,1.91,<5,2.13,reported
Marchihue,6204,O'Higgins,29,1.58,3,29,0.94,32,1.04,reported
La Florida,13110,Metropolitana,"1,653",1.57,12,"2,571",1.57,"1,776",1.10,reported
Cochrane,11301,Aysén,18,1.57,1,43,2.64,65,4.07,reported
Quillota,5501,Valparaíso,437,1.56,0,218,0.54,"1,409",3.51,reported
Sierra Gorda,2103,Antofagasta,9,1.54,2,17,2.06,14,1.80,reported
Macul,13118,Metropolitana,490,1.50,4,329,0.60,847,1.54,reported
Graneros,6106,O'Higgins,174,1.48,2,15,0.11,312,2.05,reported
Los Vilos,4203,Coquimbo,100,1.46,4,222,2.25,206,2.11,reported
La Ligua,5401,Valparaíso,150,1.44,0,270,1.74,402,2.62,reported
Chile Chico,11401,Aysén,20,1.44,2,55,2.50,88,4.07,reported
Colbún,7402,Maule,94,1.42,4,184,1.94,214,2.28,reported
San Rosendo,8310,Biobío,14,1.41,1,54,3.43,31,2.08,reported
San Joaquín,13129,Metropolitana,350,1.38,0,564,1.36,375,0.91,reported
Curacautín,9203,La Araucanía,68,1.38,0,91,1.24,270,3.68,reported
Nueva Imperial,9111,La Araucanía,138,1.37,0,67,0.50,282,2.07,reported
Lolol,6304,O'Higgins,24,1.35,2,49,1.60,58,1.91,reported
Bulnes,16102,Ñuble,83,1.35,3,256,2.76,360,3.93,reported
Los Álamos,8206,Biobío,97,1.33,5,108,1.17,223,2.42,reported
Alhué,13502,Metropolitana,28,1.32,1,50,1.56,30,0.97,reported
Arica,15101,Arica y Parinacota,"1,017",1.31,14,"1,102",1.07,"1,225",1.20,reported
Puerto Montt,10101,Los Lagos,"1,080",1.31,19,"1,224",1.09,"1,292",1.16,reported
Coquimbo,4102,Coquimbo,"1,076",1.31,13,"1,745",1.58,"1,744",1.60,reported
Mejillones,2102,Antofagasta,60,1.31,1,71,1.12,102,1.61,reported
Florida,8104,Biobío,36,1.31,3,111,2.27,88,1.84,reported
Santa Juana,8109,Biobío,53,1.30,4,18,0.32,112,1.87,reported
Independencia,13108,Metropolitana,469,1.30,5,139,0.23,168,0.28,reported
Canela,4202,Coquimbo,30,1.29,1,75,1.91,47,1.23,reported
Pitrufquén,9114,La Araucanía,94,1.29,0,60,0.57,103,0.98,reported
La Serena,4101,Coquimbo,"1,004",1.29,17,"1,176",1.10,"1,566",1.48,reported
Quinta Normal,13126,Metropolitana,453,1.29,6,369,0.65,303,0.54,reported
Hualaihué,10403,Los Lagos,35,1.29,3,62,1.58,249,6.33,reported
Río Ibáñez,11402,Aysén,8,1.28,1,58,4.63,14,1.26,reported
Palena,10404,Los Lagos,6,1.27,0,<5,0.43,36,4.29,reported
Hijuelas,5503,Valparaíso,71,1.27,0,197,2.48,152,1.95,reported
Quinchao,10210,Los Lagos,27,1.27,0,27,0.83,83,2.48,reported
Tirúa,8207,Biobío,45,1.27,3,0,0.04,80,1.79,reported
Pedro Aguirre Cerda,13121,Metropolitana,330,1.25,0,908,2.15,482,1.16,reported
Santa María,5706,Valparaíso,60,1.24,2,83,1.22,113,1.67,reported
Cerro Navia,13103,Metropolitana,472,1.23,6,313,0.56,165,0.30,reported
Treguaco,16207,Ñuble,18,1.23,1,32,1.35,105,4.37,reported
Algarrobo,5602,Valparaíso,47,1.22,1,78,1.21,125,1.94,reported
San Fabián,16304,Ñuble,15,1.22,1,34,1.70,30,1.54,reported
Pozo Almonte,1401,Tarapacá,79,1.22,4,43,0.59,122,1.64,reported
El Tabo,5605,Valparaíso,41,1.22,2,72,1.18,50,0.84,reported
Malloa,6109,O'Higgins,45,1.21,3,99,1.70,79,1.38,reported
Las Cabras,6107,O'Higgins,89,1.21,5,108,0.97,75,0.69,reported
Isla de Pascua,5201,Valparaíso,31,1.16,0,0,0.06,46,1.30,reported
Osorno,10301,Los Lagos,556,1.16,9,654,0.93,721,1.03,reported
Curicó,7301,Maule,564,1.16,10,622,0.91,503,0.74,reported
Los Andes,5301,Valparaíso,224,1.16,5,307,1.11,217,0.79,reported
Freirina,3303,Atacama,27,1.14,2,48,1.49,34,1.09,reported
Temuco,9101,La Araucanía,994,1.14,16,"1,301",1.05,"1,280",1.04,reported
Antuco,8302,Biobío,13,1.13,1,75,3.97,19,1.10,reported
El Bosque,13105,Metropolitana,539,1.12,7,"1,271",1.86,"1,046",1.55,reported
Panguipulli,14108,Los Ríos,114,1.12,5,303,2.07,215,1.49,reported
Frutillar,10105,Los Lagos,64,1.11,3,108,1.29,79,0.96,reported
O'Higgins,11302,Aysén,<5,1.10,1,5,1.48,11,3.00,reported
Pelluhue,7203,Maule,24,1.10,3,23,0.70,64,1.87,reported
Victoria,9211,La Araucanía,106,1.10,0,195,1.36,101,0.72,reported
La Granja,13111,Metropolitana,356,1.10,7,586,1.22,448,0.94,reported
Vicuña,4106,Coquimbo,98,1.10,8,156,1.27,223,1.83,reported
La Pintana,13112,Metropolitana,633,1.05,8,600,0.79,906,1.21,reported
Corral,14102,Los Ríos,14,1.04,0,109,4.65,59,2.62,reported
María Pinto,13504,Metropolitana,45,1.04,4,36,0.59,33,0.54,reported
Linares,7401,Maule,307,1.04,8,602,1.44,322,0.78,reported
Ovalle,4301,Coquimbo,375,1.02,7,"1,010",2.02,503,1.02,reported
San Miguel,13130,Metropolitana,337,1.02,0,628,1.08,363,0.63,reported
Collipulli,9202,La Araucanía,82,1.01,0,209,1.94,172,1.62,reported
Tiltil,13303,Metropolitana,65,1.00,4,20,0.24,52,0.59,reported
Codegua,6102,O'Higgins,41,0.99,2,123,2.06,51,0.88,reported
Santa Cruz,6310,O'Higgins,110,0.98,3,108,0.64,143,0.85,reported
Salamanca,4204,Coquimbo,81,0.98,6,172,1.43,131,1.10,reported
Pelarco,7106,Maule,24,0.98,2,32,0.86,60,1.59,reported
Pichidegua,6113,O'Higgins,52,0.98,6,161,1.88,160,1.90,reported
Alto Hospicio,1107,Tarapacá,528,0.97,6,"1,860",3.25,773,1.37,reported
Traiguén,9210,La Araucanía,52,0.97,0,132,1.69,152,1.97,reported
San José de Maipo,13203,Metropolitana,50,0.95,3,94,1.20,48,0.63,reported
Río Claro,7108,Maule,37,0.94,1,15,0.27,44,0.74,reported
Valparaíso,5101,Valparaíso,774,0.93,19,"1,905",1.48,"1,291",1.01,reported
Río Verde,12103,Magallanes,0,0.93,0,0,0.72,0,0.64,No reporting establishment
Los Ángeles,8301,Biobío,600,0.91,23,"1,550",1.73,"1,050",1.18,reported
Punitaqui,4304,Coquimbo,33,0.91,1,164,3.18,141,2.79,reported
Antártica,12202,Magallanes,0,0.91,0,0,0.78,0,0.71,No reporting establishment
San Pedro,13505,Metropolitana,30,0.91,4,58,1.15,50,1.01,reported
Futaleufú,10402,Los Lagos,6,0.90,0,9,0.81,52,4.11,reported
Pemuco,16105,Ñuble,21,0.89,1,94,2.63,68,1.95,reported
Contulmo,8204,Biobío,15,0.89,1,62,2.32,51,1.96,reported
Ñiquén,16303,Ñuble,24,0.89,3,83,1.76,94,2.02,reported
Conchalí,13104,Metropolitana,314,0.89,6,456,0.83,125,0.23,reported
Chimbarongo,6303,O'Higgins,92,0.88,4,215,1.39,190,1.24,reported
Puente Alto,13201,Metropolitana,"1,775",0.88,13,5,0.00,"1,741",0.66,reported
Rengo,6115,O'Higgins,163,0.87,7,517,1.95,265,1.02,reported
Antofagasta,2101,Antofagasta,"1,144",0.87,13,"4,429",2.49,"1,187",0.67,reported
Olivar,6111,O'Higgins,37,0.87,2,75,1.24,52,0.88,reported
Caldera,3102,Atacama,53,0.87,2,12,0.17,40,0.51,reported
El Monte,13602,Metropolitana,110,0.87,2,99,0.59,123,0.74,reported
Licantén,7303,Maule,15,0.86,3,33,1.16,46,1.62,reported
Parral,7404,Maule,109,0.86,3,370,2.01,233,1.29,reported
Rancagua,6101,O'Higgins,663,0.85,13,860,0.78,783,0.72,reported
Vallenar,3301,Atacama,149,0.85,3,172,0.75,43,0.19,reported
Toltén,9118,La Araucanía,23,0.85,0,70,1.71,103,2.55,reported
Chañaral,3201,Atacama,35,0.83,1,47,0.90,58,1.12,reported
Maullín,10108,Los Lagos,28,0.83,4,46,0.78,67,1.14,reported
San Pedro de la Paz,8108,Biobío,389,0.82,7,580,0.95,808,1.33,reported
Puerto Octay,10302,Los Lagos,19,0.82,1,32,0.88,58,1.58,reported
Negrete,8307,Biobío,24,0.81,1,104,2.38,56,1.32,reported
Purranque,10303,Los Lagos,44,0.81,2,157,1.84,243,2.88,reported
Nacimiento,8306,Biobío,65,0.81,6,161,1.42,452,4.02,reported
Chiguayante,8103,Biobío,204,0.81,4,504,1.36,375,1.03,reported
Laguna Blanca,12102,Magallanes,0,0.81,0,0,0.67,0,0.60,No reporting establishment
Paiguano,4105,Coquimbo,9,0.81,1,14,0.77,20,1.06,reported
Valdivia,14101,Los Ríos,390,0.81,4,700,0.96,"1,402",1.94,reported
La Estrella,6202,O'Higgins,5,0.80,1,41,2.97,8,0.69,reported
Pumanque,6309,O'Higgins,5,0.79,1,29,1.92,0,0.10,reported
Buin,13402,Metropolitana,281,0.79,0,456,0.97,372,0.80,reported
Requínoa,6116,O'Higgins,73,0.79,4,66,0.53,109,0.87,reported
Doñihue,6105,O'Higgins,53,0.78,3,85,0.90,63,0.68,reported
Castro,10201,Los Lagos,106,0.78,3,571,2.90,234,1.21,reported
La Cisterna,13109,Metropolitana,196,0.78,0,312,0.77,271,0.67,reported
Cunco,9103,La Araucanía,36,0.78,0,56,0.78,135,1.86,reported
Río Bueno,14204,Los Ríos,64,0.76,2,84,0.64,369,2.79,reported
Ollagüe,2202,Antofagasta,0,0.75,0,<5,0.97,0,0.58,No reporting establishment
San Javier,7406,Maule,109,0.75,3,285,1.38,107,0.53,reported
San Fernando,6301,O'Higgins,171,0.74,5,303,0.93,229,0.71,reported
Pudahuel,13124,Metropolitana,560,0.73,8,842,0.80,90,0.09,reported
Quilleco,8309,Biobío,18,0.73,2,57,1.40,41,1.03,reported
Quilpué,5801,Valparaíso,330,0.73,0,599,0.86,671,0.98,reported
Cerrillos,13102,Metropolitana,183,0.72,4,117,0.33,151,0.42,reported
Laja,8304,Biobío,48,0.72,4,113,1.17,81,0.85,reported
Zapallar,5405,Valparaíso,14,0.72,0,28,0.85,32,0.97,reported
Maule,7105,Maule,169,0.72,4,571,2.08,110,0.41,reported
Colina,13301,Metropolitana,483,0.71,6,88,0.11,735,0.94,reported
Llaillay,5703,Valparaíso,54,0.70,2,93,0.85,29,0.28,reported
San Juan de la Costa,10306,Los Lagos,11,0.70,2,76,2.44,43,1.43,reported
Cabo de Hornos,12201,Magallanes,<5,0.69,1,23,2.51,32,3.60,reported
Lo Espejo,13116,Metropolitana,191,0.69,0,333,0.82,293,0.73,reported
Yumbel,8313,Biobío,36,0.68,3,166,1.84,95,1.08,reported
Curacaví,13503,Metropolitana,72,0.68,3,92,0.60,131,0.86,reported
Quintero,5107,Valparaíso,73,0.68,1,121,0.79,90,0.59,reported
Molina,7304,Maule,98,0.68,3,216,1.04,150,0.73,reported
Talagante,13601,Metropolitana,170,0.67,2,187,0.55,398,1.17,reported
Tierra Amarilla,3103,Atacama,31,0.67,2,40,0.70,29,0.52,reported
Calbuco,10102,Los Lagos,69,0.67,4,356,2.34,139,0.93,reported
Cartagena,5603,Valparaíso,48,0.67,1,92,0.85,127,1.18,reported
Purén,9208,La Araucanía,22,0.67,0,38,0.79,82,1.68,reported
Ancud,10202,Los Lagos,74,0.67,0,246,1.43,219,1.29,reported
Paredones,6206,O'Higgins,8,0.67,2,22,0.88,14,0.59,reported
Quellón,10208,Los Lagos,60,0.67,0,167,1.38,280,2.33,reported
Lo Barnechea,13115,Metropolitana,297,0.67,3,13,0.03,158,0.31,reported
San Pedro de Atacama,2203,Antofagasta,19,0.67,2,33,0.76,45,1.03,reported
Putre,15201,Arica y Parinacota,<5,0.67,0,<5,0.33,10,0.98,reported
Navidad,6205,O'Higgins,9,0.66,3,27,0.95,17,0.62,reported
Ránquil,16206,Ñuble,9,0.66,1,14,0.59,43,1.68,reported
La Higuera,4104,Coquimbo,8,0.66,2,70,3.56,27,1.46,reported
Empedrado,7104,Maule,7,0.66,1,44,2.44,16,0.97,reported
Hualqui,8105,Biobío,51,0.66,2,125,1.16,124,1.17,reported
San Rafael,7110,Maule,19,0.65,1,39,0.94,7,0.20,reported
