Scale,Indicator,GRD F84 episodes,GRD persons/year,GRD F84 principal,REM A05 entries,REM P2 December,REM P6 primary,REM P6 specialty,APS enrolment,FONASA beneficiaries,REM-20 discharges,SAE multidimensional,SAE income,Urban %,FONASA/INE %
Comuna,GRD F84 episodes,1.00,0.95,0.48,0.27,0.20,0.21,0.25,0.08,0.09,0.28,−0.10,0.05,0.13,0.08
Comuna,GRD persons/year,0.95,1.00,0.46,0.31,0.23,0.27,0.23,0.07,0.08,0.28,−0.08,0.08,0.15,0.06
Comuna,GRD F84 principal,0.48,0.46,1.00,0.19,0.11,0.15,0.23,−0.02,−0.01,0.25,−0.08,0.06,−0.08,0.00
Comuna,REM A05 entries,0.27,0.31,0.19,1.00,0.20,0.62,0.30,−0.03,0.01,0.24,−0.07,−0.07,0.20,0.01
Comuna,REM P2 December,0.20,0.23,0.11,0.20,1.00,0.37,−0.09,0.29,0.32,0.07,−0.05,0.15,−0.12,0.28
Comuna,REM P6 primary,0.21,0.27,0.15,0.62,0.37,1.00,−0.06,0.10,0.15,0.18,−0.05,0.23,−0.08,0.13
Comuna,REM P6 specialty,0.25,0.23,0.23,0.30,−0.09,−0.06,1.00,−0.17,−0.17,0.38,−0.06,−0.21,0.32,−0.17
Comuna,APS enrolment,0.08,0.07,−0.02,−0.03,0.29,0.10,−0.17,1.00,0.98,−0.19,0.17,0.33,−0.21,0.96
Comuna,FONASA beneficiaries,0.09,0.08,−0.01,0.01,0.32,0.15,−0.17,0.98,1.00,−0.13,0.17,0.34,−0.21,0.97
Comuna,REM-20 discharges,0.28,0.28,0.25,0.24,0.07,0.18,0.38,−0.19,−0.13,1.00,−0.20,0.11,0.12,−0.16
Comuna,SAE multidimensional,−0.10,−0.08,−0.08,−0.07,−0.05,−0.05,−0.06,0.17,0.17,−0.20,1.00,0.34,−0.20,0.17
Comuna,SAE income,0.05,0.08,0.06,−0.07,0.15,0.23,−0.21,0.33,0.34,0.11,0.34,1.00,−0.40,0.34
Comuna,Urban %,0.13,0.15,−0.08,0.20,−0.12,−0.08,0.32,−0.21,−0.21,0.12,−0.20,−0.40,1.00,−0.23
Comuna,FONASA/INE %,0.08,0.06,0.00,0.01,0.28,0.13,−0.17,0.96,0.97,−0.16,0.17,0.34,−0.23,1.00
Region,GRD F84 episodes,1.00,0.97,0.65,0.64,0.34,0.39,0.57,−0.12,−0.10,0.35,−0.29,0.01,0.04,−0.08
Region,GRD persons/year,0.97,1.00,0.64,0.54,0.45,0.35,0.54,−0.17,−0.18,0.17,−0.11,0.03,0.15,−0.15
Region,GRD F84 principal,0.65,0.64,1.00,0.30,0.24,0.04,0.62,−0.16,−0.19,0.34,−0.12,−0.22,0.15,−0.10
Region,REM A05 entries,0.64,0.54,0.30,1.00,0.20,0.56,0.55,−0.01,0.13,0.61,−0.41,0.06,−0.33,0.10
Region,REM P2 December,0.34,0.45,0.24,0.20,1.00,0.43,0.11,0.14,−0.03,−0.09,0.07,0.26,−0.11,0.05
Region,REM P6 primary,0.39,0.35,0.04,0.56,0.43,1.00,0.14,0.38,0.46,0.54,−0.42,0.44,−0.68,0.39
Region,REM P6 specialty,0.57,0.54,0.62,0.55,0.11,0.14,1.00,−0.22,−0.19,0.35,−0.33,−0.10,−0.03,−0.18
Region,APS enrolment,−0.12,−0.17,−0.16,−0.01,0.14,0.38,−0.22,1.00,0.89,0.34,−0.12,0.83,−0.65,0.92
Region,FONASA beneficiaries,−0.10,−0.18,−0.19,0.13,−0.03,0.46,−0.19,0.89,1.00,0.43,−0.16,0.77,−0.81,0.97
Region,REM-20 discharges,0.35,0.17,0.34,0.61,−0.09,0.54,0.35,0.34,0.43,1.00,−0.77,0.16,−0.53,0.39
Region,SAE multidimensional,−0.29,−0.11,−0.12,−0.41,0.07,−0.42,−0.33,−0.12,−0.16,−0.77,1.00,0.01,0.41,−0.08
Region,SAE income,0.01,0.03,−0.22,0.06,0.26,0.44,−0.10,0.83,0.77,0.16,0.01,1.00,−0.59,0.77
Region,Urban %,0.04,0.15,0.15,−0.33,−0.11,−0.68,−0.03,−0.65,−0.81,−0.53,0.41,−0.59,1.00,−0.74
Region,FONASA/INE %,−0.08,−0.15,−0.10,0.10,0.05,0.39,−0.18,0.92,0.97,0.39,−0.08,0.77,−0.74,1.00
