Indicator,"Comuna multidimensional poverty, % (SAE 2024)","Comuna income poverty, % (SAE 2024)","Urban population, %"
GRD F84 episodes,−0.10 (−0.21 to 0.01),0.05 (−0.06 to 0.16),0.13 (0.02–0.23)
GRD persons/year,−0.08 (−0.19 to 0.03),0.08 (−0.03 to 0.19),0.15 (0.04–0.26)
GRD F84 principal,−0.08 (−0.19 to 0.03),0.06 (−0.05 to 0.16),−0.08 (−0.19 to 0.03)
REM A05 entries ⚠,−0.07 (−0.17 to 0.04),−0.07 (−0.18 to 0.04),0.20 (0.10–0.30)
REM P2 December ⚠,−0.05 (−0.16 to 0.06),0.15 (0.04–0.25),−0.12 (−0.23 to −0.02)
REM P6 primary ⚠,−0.05 (−0.16 to 0.06),0.23 (0.12–0.33),−0.08 (−0.18 to 0.03)
REM P6 specialty ⚠,−0.06 (−0.17 to 0.05),−0.21 (−0.31 to −0.10),0.32 (0.22–0.42)
APS enrolment ⚠,0.17 (0.06–0.27),0.33 (0.23–0.42),−0.21 (−0.31 to −0.10)
FONASA beneficiaries ⚠,0.17 (0.07–0.28),0.34 (0.24–0.44),−0.21 (−0.32 to −0.11)
REM-20 discharges ⚠,−0.20 (−0.30 to −0.09),0.11 (0.00–0.22),0.12 (0.01–0.23)
