Indicator,Comparison,Basis,Spearman's rho,p,n
GRD F84 episodes,2019 vs 2020,"Rate per 100,000 population",0.385 (0.288–0.474),< 0.001,342
GRD F84 episodes,2020 vs 2021,"Rate per 100,000 population",0.369 (0.270–0.459),< 0.001,342
GRD F84 episodes,2021 vs 2022,"Rate per 100,000 population",0.413 (0.318–0.500),< 0.001,342
GRD F84 episodes,2022 vs 2023,"Rate per 100,000 population",0.591 (0.515–0.657),< 0.001,342
GRD F84 episodes,2023 vs 2024,"Rate per 100,000 population",0.581 (0.504–0.649),< 0.001,342
GRD F84 episodes,2019–2021 vs 2022–2024,Empirical-Bayes smoothed standardised ratio,0.546 (0.464–0.618),< 0.001,342
GRD persons/year,2019 vs 2020,"Rate per 100,000 population",0.368 (0.270–0.459),< 0.001,342
GRD persons/year,2020 vs 2021,"Rate per 100,000 population",0.347 (0.247–0.440),< 0.001,342
GRD persons/year,2021 vs 2022,"Rate per 100,000 population",0.394 (0.298–0.483),< 0.001,342
GRD persons/year,2022 vs 2023,"Rate per 100,000 population",0.568 (0.489–0.637),< 0.001,342
GRD persons/year,2023 vs 2024,"Rate per 100,000 population",0.548 (0.466–0.620),< 0.001,342
GRD persons/year,2019–2021 vs 2022–2024,Empirical-Bayes smoothed standardised ratio,0.569 (0.490–0.638),< 0.001,342
GRD F84 principal,2019 vs 2020,"Rate per 100,000 population",0.449 (0.358–0.532),< 0.001,342
GRD F84 principal,2020 vs 2021,"Rate per 100,000 population",0.418 (0.323–0.504),< 0.001,342
GRD F84 principal,2021 vs 2022,"Rate per 100,000 population",0.415 (0.321–0.502),< 0.001,342
GRD F84 principal,2022 vs 2023,"Rate per 100,000 population",0.370 (0.272–0.461),< 0.001,342
GRD F84 principal,2023 vs 2024,"Rate per 100,000 population",0.416 (0.322–0.502),< 0.001,342
GRD F84 principal,2019–2021 vs 2022–2024,Empirical-Bayes smoothed standardised ratio,0.467 (0.377–0.548),< 0.001,342
REM A05 entries ⚠,2021 vs 2022,"Rate per 100,000 population",0.574 (0.496–0.643),< 0.001,342
REM A05 entries ⚠,2022 vs 2023,"Rate per 100,000 population",0.701 (0.641–0.753),< 0.001,342
REM A05 entries ⚠,2023 vs 2024,"Rate per 100,000 population",0.651 (0.583–0.710),< 0.001,342
REM A05 entries ⚠,2024 vs 2025,"Rate per 100,000 population",0.451 (0.359–0.534),< 0.001,342
REM A05 entries ⚠,2021–2022 vs 2023–2025,Empirical-Bayes smoothed standardised ratio,0.570 (0.492–0.640),< 0.001,342
REM P2 December ⚠,2019 vs 2020,"Rate per 100,000 population",0.628 (0.558–0.690),< 0.001,342
REM P2 December ⚠,2020 vs 2021,"Rate per 100,000 population",0.520 (0.435–0.595),< 0.001,342
REM P2 December ⚠,2021 vs 2022,"Rate per 100,000 population",0.605 (0.531–0.670),< 0.001,342
REM P2 December ⚠,2022 vs 2023,"Rate per 100,000 population",0.627 (0.556–0.689),< 0.001,342
REM P2 December ⚠,2023 vs 2024,"Rate per 100,000 population",0.605 (0.531–0.670),< 0.001,342
REM P2 December ⚠,2024 vs 2025,"Rate per 100,000 population",0.721 (0.665–0.770),< 0.001,342
REM P2 December ⚠,2019–2021 vs 2022–2025,Empirical-Bayes smoothed standardised ratio,0.543 (0.462–0.616),< 0.001,342
REM P6 primary ⚠,2021 vs 2022,"Rate per 100,000 population",0.630 (0.559–0.691),< 0.001,342
REM P6 primary ⚠,2022 vs 2023,"Rate per 100,000 population",0.742 (0.689–0.788),< 0.001,342
REM P6 primary ⚠,2023 vs 2024,"Rate per 100,000 population",0.744 (0.691–0.789),< 0.001,342
REM P6 primary ⚠,2024 vs 2025,"Rate per 100,000 population",0.813 (0.773–0.847),< 0.001,342
REM P6 primary ⚠,2021–2022 vs 2023–2025,Empirical-Bayes smoothed standardised ratio,0.650 (0.582–0.708),< 0.001,342
REM P6 specialty ⚠,2021 vs 2022,"Rate per 100,000 population",0.932 (0.916–0.945),< 0.001,342
REM P6 specialty ⚠,2022 vs 2023,"Rate per 100,000 population",0.888 (0.862–0.909),< 0.001,342
REM P6 specialty ⚠,2023 vs 2024,"Rate per 100,000 population",0.893 (0.869–0.913),< 0.001,342
REM P6 specialty ⚠,2024 vs 2025,"Rate per 100,000 population",0.917 (0.897–0.932),< 0.001,342
REM P6 specialty ⚠,2021–2022 vs 2023–2025,Empirical-Bayes smoothed standardised ratio,0.869 (0.839–0.893),< 0.001,342
APS enrolment ⚠,2019 vs 2020,"Rate per 100,000 population",0.991 (0.989–0.993),< 0.001,342
APS enrolment ⚠,2020 vs 2021,"Rate per 100,000 population",0.993 (0.992–0.995),< 0.001,342
APS enrolment ⚠,2021 vs 2022,"Rate per 100,000 population",0.991 (0.989–0.993),< 0.001,342
APS enrolment ⚠,2022 vs 2023,"Rate per 100,000 population",0.982 (0.977–0.985),< 0.001,342
APS enrolment ⚠,2023 vs 2024,"Rate per 100,000 population",0.984 (0.981–0.987),< 0.001,342
APS enrolment ⚠,2024 vs 2025,"Rate per 100,000 population",0.996 (0.995–0.997),< 0.001,342
APS enrolment ⚠,2019–2021 vs 2022–2025,Empirical-Bayes smoothed standardised ratio,0.958 (0.948–0.966),< 0.001,342
FONASA beneficiaries ⚠,2019 vs 2020,"Rate per 100,000 population",0.991 (0.988–0.993),< 0.001,342
FONASA beneficiaries ⚠,2020 vs 2021,"Rate per 100,000 population",0.991 (0.989–0.993),< 0.001,342
FONASA beneficiaries ⚠,2021 vs 2022,"Rate per 100,000 population",0.992 (0.990–0.994),< 0.001,342
FONASA beneficiaries ⚠,2022 vs 2023,"Rate per 100,000 population",0.982 (0.978–0.986),< 0.001,342
FONASA beneficiaries ⚠,2023 vs 2024,"Rate per 100,000 population",0.984 (0.981–0.987),< 0.001,342
FONASA beneficiaries ⚠,2024 vs 2025,"Rate per 100,000 population",0.995 (0.993–0.996),< 0.001,342
FONASA beneficiaries ⚠,2019–2021 vs 2022–2025,Empirical-Bayes smoothed standardised ratio,0.950 (0.938–0.959),< 0.001,342
REM-20 discharges ⚠,2019 vs 2020,"Rate per 100,000 population",0.993 (0.991–0.994),< 0.001,342
REM-20 discharges ⚠,2020 vs 2021,"Rate per 100,000 population",0.994 (0.993–0.996),< 0.001,342
REM-20 discharges ⚠,2021 vs 2022,"Rate per 100,000 population",0.994 (0.993–0.996),< 0.001,342
REM-20 discharges ⚠,2022 vs 2023,"Rate per 100,000 population",0.996 (0.995–0.997),< 0.001,342
REM-20 discharges ⚠,2023 vs 2024,"Rate per 100,000 population",0.996 (0.995–0.997),< 0.001,342
REM-20 discharges ⚠,2024 vs 2025,"Rate per 100,000 population",0.997 (0.997–0.998),< 0.001,342
REM-20 discharges ⚠,2019–2021 vs 2022–2025,Empirical-Bayes smoothed standardised ratio,0.984 (0.980–0.987),< 0.001,342
