Variable,Category,2019,2020,2021,2022,2023,2024,All GRD episodes 2024
TIPO_INGRESO,EMERGENCY,"1,305 (55.9%)","1,091 (67.8%)","1,554 (65.7%)","2,551 (66.1%)","4,367 (68.0%)","5,837 (66.9%)","552,102 (50.8%)"
TIPO_INGRESO,SCHEDULED,"1,024 (43.9%)",512 (31.8%),802 (33.9%),"1,287 (33.4%)","2,007 (31.2%)","2,808 (32.2%)","388,739 (35.8%)"
TIPO_INGRESO,OBSTETRIC,4 (0.2%),6 (0.4%),11 (0.5%),20 (0.5%),44 (0.7%),78 (0.9%),"144,929 (13.3%)"
TIPO_INGRESO,UNKNOWN,0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),5 (0.1%),8 (0.1%),43 (0.0%)
TIPO_INGRESO,NOT IDENTIFIED,1 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
TIPO_ACTIVIDAD,HOSPITALISATION,"1,911 (81.9%)","1,526 (94.8%)","2,187 (92.4%)","3,509 (90.9%)","5,792 (90.2%)","7,619 (87.3%)","873,772 (80.5%)"
TIPO_ACTIVIDAD,MAJOR AMBULATORY SURGERY (CMA),168 (7.2%),83 (5.2%),180 (7.6%),350 (9.1%),631 (9.8%),"1,112 (12.7%)","212,041 (19.5%)"
TIPO_ACTIVIDAD,DAY HOSPITALISATION,163 (7.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
TIPO_ACTIVIDAD,HOSPITALISATION IN THE EMERGENCY UNIT,92 (3.9%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
TIPO_PROCEDENCIA,EMERGENCY DEPARTMENT (FROM HOME),911 (39.0%),768 (47.7%),"1,116 (47.1%)","1,857 (48.1%)","3,230 (50.3%)","4,320 (49.5%)","475,146 (43.8%)"
