Indicator,2019,2020,2021,2022,2023,2024
IR-29301 relative weight: median (P25–P75),0.582 (0.464–0.863),0.637 (0.509–0.993),0.618 (0.485–0.956),0.610 (0.480–0.911),0.587 (0.465–0.956),0.582 (0.432–0.890)
IR-29301 relative weight: mean,0.845,0.934,0.952,0.873,0.852,0.815
GRD 194161,147 (6.3%),107 (6.7%),113 (4.8%),180 (4.7%),256 (4.0%),275 (3.1%)
GRD 014221,129 (5.5%),98 (6.1%),111 (4.7%),173 (4.5%),223 (3.5%),265 (3.0%)
GRD 044163,50 (2.1%),6 (0.4%),18 (0.8%),98 (2.5%),260 (4.0%),358 (4.1%)
GRD 061131,58 (2.5%),56 (3.5%),78 (3.3%),127 (3.3%),164 (2.6%),238 (2.7%)
GRD 122150,52 (2.2%),17 (1.1%),36 (1.5%),85 (2.2%),165 (2.6%),283 (3.2%)
GRD 214121,42 (1.8%),30 (1.9%),64 (2.7%),86 (2.2%),149 (2.3%),239 (2.7%)
GRD 194162,61 (2.6%),39 (2.4%),67 (2.8%),86 (2.2%),101 (1.6%),116 (1.3%)
GRD 014222,40 (1.7%),46 (2.9%),45 (1.9%),60 (1.6%),112 (1.7%),134 (1.5%)
GRD 224122,59 (2.5%),46 (2.9%),43 (1.8%),58 (1.5%),76 (1.2%),152 (1.7%)
GRD 032150,27 (1.2%),17 (1.1%),30 (1.3%),52 (1.3%),101 (1.6%),201 (2.3%)
GRD 044183,8 (0.3%),5 (0.3%),15 (0.6%),57 (1.5%),141 (2.2%),186 (2.1%)
GRD 034141,64 (2.7%),27 (1.7%),72 (3.0%),87 (2.3%),81 (1.3%),74 (0.8%)
GRD 194101,32 (1.4%),23 (1.4%),36 (1.5%),48 (1.2%),89 (1.4%),153 (1.8%)
GRD 224121,60 (2.6%),28 (1.7%),40 (1.7%),63 (1.6%),82 (1.3%),105 (1.2%)
GRD 064172,24 (1.0%),16 (1.0%),25 (1.1%),59 (1.5%),116 (1.8%),137 (1.6%)
Other GRD groups and not reported,"1,481 (63.5%)","1,048 (65.1%)","1,574 (66.5%)","2,540 (65.8%)","4,307 (67.1%)","5,815 (66.6%)"
