Age (completed years),Sex,2019,2020,2021,2022,2023,2024,Total 2019–2024
0,Males,49,18,11,13,7,12,110
0,Females,21,13,5,5,14,4,62
1,Males,50,29,20,45,65,47,256
1,Females,28,15,17,19,21,22,122
2,Males,78,34,99,154,185,221,771
2,Females,39,19,27,63,92,67,307
3,Males,123,93,114,245,379,316,"1,270"
3,Females,47,22,36,75,112,105,397
3,Sex not reported,0,0,0,0,0,1,1
4,Males,128,82,120,252,422,473,"1,477"
4,Females,30,33,29,80,134,150,456
4,Sex not reported,0,0,0,0,1,0,1
5,Males,123,76,118,241,353,521,"1,432"
5,Females,36,20,34,54,115,140,399
5,Sex not reported,0,0,0,1,0,0,1
6,Males,107,74,136,194,389,497,"1,397"
6,Females,26,18,28,34,85,122,313
6,Sex not reported,0,0,1,0,0,0,1
7,Males,119,58,98,172,295,438,"1,180"
7,Females,19,15,19,40,84,111,288
8,Males,127,56,128,181,215,401,"1,108"
8,Females,39,30,28,32,71,118,318
9,Males,95,64,89,131,247,306,932
9,Females,15,18,12,32,44,95,216
10,Males,102,79,91,122,208,327,929
10,Females,26,13,17,18,61,95,230
11,Males,53,63,109,142,157,241,765
11,Females,28,19,31,34,66,116,294
11,Sex not reported,1,0,0,0,0,0,1
12,Males,78,52,88,107,199,308,832
12,Females,27,21,45,64,122,164,443
13,Males,80,56,76,134,186,259,791
13,Females,26,26,51,81,151,266,601
13,Sex not reported,0,0,0,0,0,1,1
14,Males,77,68,82,140,193,270,830
14,Females,31,26,45,88,163,252,605
15,Males,58,58,59,116,172,200,663
15,Females,20,14,26,50,121,179,410
15,Sex not reported,0,0,0,0,0,1,1
16,Males,42,31,50,74,195,150,542
16,Females,6,9,9,36,90,146,296
16,Sex not reported,0,0,0,0,1,1,2
17,Males,35,36,32,52,126,155,436
17,Females,11,10,18,31,70,125,265
18,Males,31,27,29,42,60,89,278
18,Females,7,10,11,18,28,79,153
19,Males,27,18,30,44,44,77,240
19,Females,9,3,12,9,22,56,111
20,Males,22,5,34,31,48,68,208
20,Females,2,2,10,10,24,44,92
21,Males,27,9,17,21,49,68,191
21,Females,3,3,3,5,24,41,79
22,Males,14,20,12,16,32,34,128
22,Females,6,4,2,8,12,30,62
23,Males,12,10,9,11,25,37,104
23,Females,3,0,2,10,19,26,60
24,Males,8,3,13,23,23,35,105
24,Females,4,3,1,4,17,37,66
25,Males,10,12,13,5,23,31,94
25,Females,3,3,7,8,13,35,69
26,Males,14,7,13,16,15,28,93
26,Females,2,4,1,6,12,22,47
27,Males,11,6,7,15,17,16,72
27,Females,2,3,3,2,14,15,39
28,Males,11,2,11,15,11,23,73
28,Females,1,4,4,6,14,17,46
29,Males,8,4,15,16,11,22,76
29,Females,1,2,0,6,15,23,47
30,Males,10,6,9,13,14,11,63
30,Females,3,0,0,0,5,14,22
31,Males,8,5,9,10,18,13,63
31,Females,6,2,2,5,10,17,42
32,Males,8,5,6,11,14,19,63
32,Females,2,0,5,0,9,15,31
33,Males,0,6,6,10,13,9,44
33,Females,1,3,3,4,7,10,28
34,Males,4,5,2,4,9,11,35
34,Females,0,0,0,1,10,9,20
35,Males,8,5,6,6,10,13,48
35,Females,0,0,4,1,6,7,18
36,Males,4,1,7,5,6,12,35
36,Females,2,0,3,6,2,15,28
37,Males,2,3,2,9,6,4,26
37,Females,1,5,0,4,4,6,20
38,Males,1,0,1,8,4,6,20
38,Females,0,2,3,1,3,8,17
39,Males,2,1,3,2,1,5,14
39,Females,1,2,0,2,3,9,17
40,Males,3,4,1,1,5,4,18
40,Females,0,1,0,0,2,5,8
41,Males,1,3,0,3,4,3,14
41,Females,1,0,1,1,1,9,13
42,Males,0,1,1,3,3,5,13
42,Females,0,0,0,0,3,7,10
43,Males,1,0,1,4,1,4,11
43,Females,0,1,0,0,2,3,6
44,Males,0,1,1,3,4,6,15
44,Females,2,0,1,0,1,1,5
45,Males,0,1,2,3,3,4,13
45,Females,1,0,0,1,5,3,10
46,Males,1,1,2,0,0,4,8
46,Females,1,1,0,0,2,1,5
47,Males,1,0,1,4,0,2,8
47,Females,0,0,0,3,4,3,10
48,Males,1,0,1,3,1,4,10
48,Females,0,0,1,2,0,2,5
49,Males,0,1,0,1,5,1,8
49,Females,0,0,0,1,2,2,5
50,Males,1,1,0,0,2,4,8
50,Females,0,0,1,0,2,4,7
51,Males,2,0,3,1,1,2,9
51,Females,1,0,0,0,2,1,4
52,Males,0,0,2,2,2,4,10
52,Females,1,0,1,0,0,1,3
53,Males,0,0,0,1,1,1,3
53,Females,0,0,0,0,0,1,1
54,Males,1,0,1,0,2,1,5
54,Females,0,0,0,0,0,1,1
55,Males,2,0,1,0,0,2,5
55,Females,1,1,0,1,0,0,3
56,Males,0,0,0,0,0,0,0
56,Females,0,0,0,2,1,4,7
57,Males,0,0,1,0,0,3,4
57,Females,3,0,0,0,0,2,5
58,Males,0,1,0,0,0,1,2
58,Females,0,0,0,1,2,0,3
59,Males,1,1,2,0,1,1,6
59,Females,1,0,0,1,1,0,3
60,Males,0,0,0,1,1,2,4
60,Females,0,0,0,1,2,1,4
61,Males,0,0,0,0,3,3,6
61,Females,0,0,0,0,0,0,0
62,Males,0,0,0,1,2,4,7
62,Females,0,0,0,0,0,1,1
63,Males,1,0,0,1,3,0,5
