Definition era,Episodes per identifier,"Persons, n (%)","Episodes, n (%)",Episodes without a valid identifier
2019–2020,1,"2,637 (85.0%)","2,637 (66.9%)",4
2019–2020,2,316 (10.2%),632 (16.0%),4
2019–2020,3,77 (2.5%),231 (5.9%),4
2019–2020,4–5,48 (1.5%),203 (5.2%),4
2019–2020,6+,25 (0.8%),236 (6.0%),4
2021–2024,1,"12,680 (80.9%)","12,680 (59.3%)",6
2021–2024,2,"1,959 (12.5%)","3,918 (18.3%)",6
2021–2024,3,541 (3.5%),"1,623 (7.6%)",6
2021–2024,4–5,301 (1.9%),"1,301 (6.1%)",6
2021–2024,6+,189 (1.2%),"1,852 (8.7%)",6
