Block,Definition era,Region of the establishment,2019,2020,2021,2022,2023,2024,2025
"P2 · Persons with ASD under control (single code, no break)",2019–2025,Arica y Parinacota,34 (6),40 (6),36 (7),99 (7),149 (8),240 (12),506 (13)
"P2 · Persons with ASD under control (single code, no break)",2019–2025,Tarapacá,59 (10),69 (8),80 (7),263 (13),506 (13),813 (13),"1,393 (14)"
"P2 · Persons with ASD under control (single code, no break)",2019–2025,Antofagasta,82 (10),97 (12),485 (16),804 (21),728 (19),"1,239 (22)","1,673 (26)"
"P2 · Persons with ASD under control (single code, no break)",2019–2025,Atacama,29 (6),14 (4),44 (10),127 (18),241 (16),449 (24),576 (26)
"P2 · Persons with ASD under control (single code, no break)",2019–2025,Coquimbo,190 (34),204 (39),359 (58),591 (69),"1,079 (77)","1,461 (92)","1,685 (98)"
"P2 · Persons with ASD under control (single code, no break)",2019–2025,Valparaíso,239 (47),225 (44),412 (71),849 (85),"1,551 (96)","2,589 (116)","3,362 (120)"
"P2 · Persons with ASD under control (single code, no break)",2019–2025,Metropolitana,285 (77),227 (60),549 (111),"1,526 (167)","3,279 (192)","5,367 (220)","7,804 (235)"
"P2 · Persons with ASD under control (single code, no break)",2019–2025,O'Higgins,97 (32),103 (23),201 (46),361 (53),654 (76),"1,031 (97)","1,476 (94)"
"P2 · Persons with ASD under control (single code, no break)",2019–2025,Maule,120 (50),139 (46),279 (67),622 (98),"1,077 (120)","1,735 (142)","2,276 (151)"
"P2 · Persons with ASD under control (single code, no break)",2019–2025,Ñuble,140 (28),145 (23),271 (27),453 (37),803 (43),"1,060 (53)","1,149 (58)"
"P2 · Persons with ASD under control (single code, no break)",2019–2025,Biobío,252 (48),314 (47),530 (85),"1,045 (116)","1,214 (105)","2,387 (129)","3,432 (144)"
"P2 · Persons with ASD under control (single code, no break)",2019–2025,La Araucanía,135 (51),114 (38),240 (61),450 (79),758 (85),"1,216 (108)","1,636 (124)"
"P2 · Persons with ASD under control (single code, no break)",2019–2025,Los Ríos,70 (23),71 (19),95 (22),199 (38),206 (38),551 (51),701 (59)
"P2 · Persons with ASD under control (single code, no break)",2019–2025,Los Lagos,108 (29),118 (23),246 (42),427 (77),732 (98),"1,243 (105)","1,935 (133)"
"P2 · Persons with ASD under control (single code, no break)",2019–2025,Aysén,9 (6),38 (7),23 (9),89 (15),134 (16),195 (24),183 (19)
"P2 · Persons with ASD under control (single code, no break)",2019–2025,Magallanes,5 (3),< 5,< 5,18 (4),79 (10),161 (10),187 (11)
"P2 · Persons with ASD under control (single code, no break)",2019–2025,Chile (national total),"1,854 (460)","1,919 (400)","3,853 (640)","7,923 (897)","13,190 (1,012)","21,737 (1,218)","29,974 (1,325)"
P2 · Total NANEAS under control (exists from December 2023),2023–2025,Arica y Parinacota,not reported,not reported,not reported,not reported,906 (12),"1,199 (13)","2,016 (14)"
P2 · Total NANEAS under control (exists from December 2023),2023–2025,Tarapacá,not reported,not reported,not reported,not reported,"1,521 (14)","2,180 (13)","2,152 (14)"
P2 · Total NANEAS under control (exists from December 2023),2023–2025,Antofagasta,not reported,not reported,not reported,not reported,"3,032 (20)","2,491 (21)","3,259 (25)"
P2 · Total NANEAS under control (exists from December 2023),2023–2025,Atacama,not reported,not reported,not reported,not reported,392 (21),897 (24),"1,224 (31)"
P2 · Total NANEAS under control (exists from December 2023),2023–2025,Coquimbo,not reported,not reported,not reported,not reported,"7,355 (97)","7,444 (87)","8,381 (107)"
P2 · Total NANEAS under control (exists from December 2023),2023–2025,Valparaíso,not reported,not reported,not reported,not reported,"5,922 (106)","7,793 (109)","12,247 (121)"
P2 · Total NANEAS under control (exists from December 2023),2023–2025,Metropolitana,not reported,not reported,not reported,not reported,"13,879 (201)","17,140 (226)","26,336 (237)"
P2 · Total NANEAS under control (exists from December 2023),2023–2025,O'Higgins,not reported,not reported,not reported,not reported,"4,024 (84)","5,118 (89)","5,814 (92)"
P2 · Total NANEAS under control (exists from December 2023),2023–2025,Maule,not reported,not reported,not reported,not reported,"6,063 (144)","7,389 (159)","9,035 (159)"
P2 · Total NANEAS under control (exists from December 2023),2023–2025,Ñuble,not reported,not reported,not reported,not reported,"2,912 (57)","3,283 (60)","3,637 (67)"
P2 · Total NANEAS under control (exists from December 2023),2023–2025,Biobío,not reported,not reported,not reported,not reported,"4,826 (122)","8,320 (153)","9,911 (159)"
P2 · Total NANEAS under control (exists from December 2023),2023–2025,La Araucanía,not reported,not reported,not reported,not reported,"4,193 (130)","6,224 (128)","6,676 (130)"
P2 · Total NANEAS under control (exists from December 2023),2023–2025,Los Ríos,not reported,not reported,not reported,not reported,"1,070 (44)","2,001 (63)","2,659 (63)"
P2 · Total NANEAS under control (exists from December 2023),2023–2025,Los Lagos,not reported,not reported,not reported,not reported,"2,623 (113)","4,070 (117)","5,508 (141)"
P2 · Total NANEAS under control (exists from December 2023),2023–2025,Aysén,not reported,not reported,not reported,not reported,716 (14),620 (21),778 (23)
P2 · Total NANEAS under control (exists from December 2023),2023–2025,Magallanes,not reported,not reported,not reported,not reported,473 (8),912 (10),"1,156 (11)"
P2 · Total NANEAS under control (exists from December 2023),2023–2025,Chile (national total),not reported,not reported,not reported,not reported,"59,907 (1,187)","77,081 (1,293)","100,789 (1,394)"
