Source,Year,File,Scheme and key columns,Total (December),Rule,SHA-256
FONASA,2018,Resultados_201812.rar → Resultados Beneficiarios 201812.csv,"latin-1; n=452,892; count=CUENTA_BENEFICIARIOS; bracket=TRAMO; region=REGION; age: 23 labels: 00 a 02 años … S.I.","14,102,709",rows are additive within a year (exact duplicates kept); geography mixes the APS-enrolment comuna (persons enrolled in primary care) and domicile (persons not enrolled),ab62a8a339bd8764
FONASA,2019,Resultados_201912.rar → Resultados Beneficiarios 201912.csv,"latin-1; n=502,088; count=CUENTA_BENEFICIARIOS; bracket=TRAMO; region=REGION; age: 23 labels: 00 a 02 años … S.I.","14,841,577",rows are additive within a year (exact duplicates kept); geography mixes the APS-enrolment comuna (persons enrolled in primary care) and domicile (persons not enrolled),8b1b8d90f22c8d4e
FONASA,2020,Resultados_202012.rar → Resultados Beneficiarios 202012.csv,"latin-1; n=511,715; count=CUENTA_BENEFICIARIOS; bracket=TRAMO; region=REGION; age: 23 labels: 00 a 02 años … S.I.","15,142,528",rows are additive within a year (exact duplicates kept); geography mixes the APS-enrolment comuna (persons enrolled in primary care) and domicile (persons not enrolled),e364d6144fd0b621
FONASA,2021,Resultados_202112.rar → Resultados Beneficiarios 202112.csv,"latin-1; n=187,845; count=CUENTA_BENEFICIARIOS; bracket=TRAMO; region=REGION; age: 23 labels: 00 a 02 años … S.I.","15,233,814",rows are additive within a year (exact duplicates kept); geography mixes the APS-enrolment comuna (persons enrolled in primary care) and domicile (persons not enrolled),804dacfb83a8498a
FONASA,2022,Resultados_202212.zip → Beneficiarios Fonasa 2022.csv,"latin-1; n=193,927; count=CUENTA_BENEFICIARIOS; bracket=TRAMO; region=REGION; age: 23 labels: 00 a 02 años … S.I.","15,613,584",rows are additive within a year (exact duplicates kept); geography mixes the APS-enrolment comuna (persons enrolled in primary care) and domicile (persons not enrolled),70311659098bda34
FONASA,2023,Resultados_202312.zip → Beneficiarios 2023.csv,"latin-1; n=64,993; count=CUENTA_BENEFICIARIOS; bracket=TRAMO_FONASA; region=REGION; age: 10 labels: 0 a 9 años … Sin información","16,229,898",rows are additive within a year (exact duplicates kept); geography mixes the APS-enrolment comuna (persons enrolled in primary care) and domicile (persons not enrolled),7e2d584cee473b5b
FONASA,2024,Resultados_202412.zip → Beneficiarios 2024.csv,"latin-1; n=113,981; count=BENEFICIARIOS; bracket=TRAMO; region=REGIÓN; age: 18 labels: 00 a 4 años … S.I.","16,752,189",rows are additive within a year (exact duplicates kept); geography mixes the APS-enrolment comuna (persons enrolled in primary care) and domicile (persons not enrolled),b4361ffe69e1977a
FONASA,2025,Resultados_202512.zip → Beneficiarios 2025.csv,"utf-8; n=126,404; count=BENEFICIARIOS; bracket=TRAMO; region=REGIÓN; age: 23 labels: 00 a 02 años … S.I.","17,132,611",rows are additive within a year (exact duplicates kept); geography mixes the APS-enrolment comuna (persons enrolled in primary care) and domicile (persons not enrolled),ae0528cf28e7ab4a
APS,2019,Inscritos_APS_YYYY12.csv,"centres=1,890; panel 1,871=1,871; bracket A–D=12,975,556; bracket X=606,079; bracket missing=195,416","13,777,051","enrolled persons (December stock); centres = distinct centre codes; retention = panel enrolled / total enrolled; retention of the 1,871-centre panel = 99.87%",n/e
APS,2020,Inscritos_APS_YYYY12.csv,"centres=1,956; panel 1,871=1,871; bracket A–D=13,179,909; bracket X=705,600; bracket missing=0","13,885,509","enrolled persons (December stock); centres = distinct centre codes; retention = panel enrolled / total enrolled; retention of the 1,871-centre panel = 99.75%",n/e
