Survey,Domain,Subgroup,Estimate type,Domain n; cases,Weighted % (95% CI),Weighted total,Design: weight / stratum / cluster,DEFF; RSE; df; PSU; strata,Precision flag
ENDIDE 2022,ENDIDE adults 18+: reported autism,total: total,primary,"30,010; 72",0.29 (0.22–0.38),"44,594",fexp / estrato / cod_upm,"1.70; 0.1%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE adults 18+: reported autism,sex: Male,primary,"12,696; 48",0.44 (0.32–0.61),"32,927",fexp / estrato / cod_upm,"1.55; 0.2%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE adults 18+: reported autism,sex: Female,primary,"17,314; 24",0.15 (0.09–0.24),"11,667",fexp / estrato / cod_upm,"1.46; 0.2%; 8,445; 8,477; 32",imprecise — not to be presented as a reliable estimate (cases < 30 or RSE > 30%)
ENDIDE 2022,ENDIDE adults 18+: reported autism,age group: 18–29,primary,"5,953; 36",0.62 (0.42–0.91),"21,620",fexp / estrato / cod_upm,"1.41; 0.2%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE adults 18+: reported autism,age group: 30–44,primary,"6,820; 22",0.33 (0.20–0.54),"15,188",fexp / estrato / cod_upm,"1.42; 0.2%; 8,445; 8,477; 32",imprecise — not to be presented as a reliable estimate (cases < 30 or RSE > 30%)
ENDIDE 2022,ENDIDE adults 18+: reported autism,age group: 45–59,primary,"8,066; 9",0.15 (0.07–0.33),"5,659",fexp / estrato / cod_upm,"1.87; 0.4%; 8,445; 8,477; 32",imprecise — not to be presented as a reliable estimate (cases < 30 or RSE > 30%)
ENDIDE 2022,ENDIDE adults 18+: reported autism,age group: 60+,primary,"9,171; 5",0.06 (0.02–0.15),"2,127",fexp / estrato / cod_upm,"1.29; 0.5%; 8,445; 8,477; 32",imprecise — not to be presented as a reliable estimate (cases < 30 or RSE > 30%)
ENDIDE 2022,ENDIDE children and adolescents 2–17: reported autism,total: total,primary,"5,526; 163",2.87 (2.37–3.47),"114,497",fexp / estrato / cod_upm,"1.54; 0.1%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE children and adolescents 2–17: reported autism,sex: Male,primary,"2,880; 129",4.57 (3.70–5.63),"92,789",fexp / estrato / cod_upm,"1.58; 0.1%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE children and adolescents 2–17: reported autism,sex: Female,primary,"2,646; 34",1.11 (0.75–1.63),"21,708",fexp / estrato / cod_upm,"1.16; 0.2%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE children and adolescents 2–17: reported autism,age group: 2–5,primary,"1,053; 45",3.45 (2.34–5.05),"27,405",fexp / estrato / cod_upm,"1.45; 0.2%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE children and adolescents 2–17: reported autism,age group: 6–11,primary,"2,131; 68",3.33 (2.50–4.41),"51,066",fexp / estrato / cod_upm,"1.54; 0.1%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE children and adolescents 2–17: reported autism,age group: 12–17,primary,"2,342; 50",2.17 (1.57–2.98),"36,026",fexp / estrato / cod_upm,"1.38; 0.2%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE children and adolescents with reported autism: confirmed by a physician,total: total,primary,153; 139,90.00 (82.30–94.57),"95,560",fexp / estrato / cod_upm,"1.56; 0.0%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE children and adolescents with reported autism: confirmed by a physician,sex: Male,primary,120; 111,91.01 (81.67–95.83),"76,972",fexp / estrato / cod_upm,"1.72; 0.0%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE children and adolescents with reported autism: confirmed by a physician,sex: Female,primary,33; 28,86.06 (68.41–94.62),"18,588",fexp / estrato / cod_upm,"1.13; 0.1%; 8,445; 8,477; 32",imprecise — not to be presented as a reliable estimate (cases < 30 or RSE > 30%)
ENDIDE 2022,ENDIDE children and adolescents with reported autism: confirmed by a physician (sensitivity: No answer = not confirmed),total: total,sensitivity,163; 139,83.46 (74.92–89.50),"95,560",fexp / estrato / cod_upm,"1.61; 0.0%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE children and adolescents 2–17: autism reported and confirmed by a physician,total: total,primary,"5,526; 139",2.39 (1.94–2.95),"95,560",fexp / estrato / cod_upm,"1.54; 0.1%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE children and adolescents 2–17: autism reported and confirmed by a physician,sex: Male,primary,"2,880; 111",3.79 (3.01–4.77),"76,972",fexp / estrato / cod_upm,"1.57; 0.1%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE children and adolescents 2–17: autism reported and confirmed by a physician,sex: Female,primary,"2,646; 28",0.95 (0.62–1.45),"18,588",fexp / estrato / cod_upm,"1.20; 0.2%; 8,445; 8,477; 32",imprecise — not to be presented as a reliable estimate (cases < 30 or RSE > 30%)
ENDIDE 2022,ENDIDE children and adolescents 2–17: autism reported and confirmed by a physician,age group: 2–5,primary,"1,053; 38",2.79 (1.81–4.29),"22,207",fexp / estrato / cod_upm,"1.47; 0.2%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE children and adolescents 2–17: autism reported and confirmed by a physician,age group: 6–11,primary,"2,131; 61",2.95 (2.18–3.99),"45,358",fexp / estrato / cod_upm,"1.54; 0.2%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE children and adolescents 2–17: autism reported and confirmed by a physician,age group: 12–17,primary,"2,342; 40",1.68 (1.18–2.39),"27,995",fexp / estrato / cod_upm,"1.30; 0.2%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE children and adolescents with reported autism: has received medication,total: total,secondary,153; 74,52.57 (43.13–61.83),"55,814",fexp / estrato / cod_upm,"1.43; 0.1%; 8,445; 8,477; 32",adequate
ENDIDE 2022,ENDIDE children and adolescents with reported autism: has received other treatment,total: total,secondary,153; 85,56.36 (46.05–66.14),"59,836",fexp / estrato / cod_upm,"1.68; 0.1%; 8,445; 8,477; 32",adequate
ENCAVI 2023–2024,ENCAVI 15+: autism spectrum disorder diagnosis,total: total,primary,"16,484; 80",0.71 (0.50–1.01),"114,817",w_personas_cal / varstrat / varunit,3.79; 0.2%; 254; 350; 96,adequate
ENCAVI 2023–2024,ENCAVI 15+: autism spectrum disorder diagnosis,sex: Male,primary,"5,225; 35",0.97 (0.61–1.54),"76,608",w_personas_cal / varstrat / varunit,2.84; 0.2%; 254; 350; 96,adequate
ENCAVI 2023–2024,ENCAVI 15+: autism spectrum disorder diagnosis,sex: Female,primary,"11,259; 45",0.46 (0.30–0.73),"38,209",w_personas_cal / varstrat / varunit,2.72; 0.2%; 254; 350; 96,adequate
ENCAVI 2023–2024,ENCAVI 15+: autism spectrum disorder diagnosis,age group: 15–19,primary,475; 4,1.65 (0.54–4.93),"20,186",w_personas_cal / varstrat / varunit,2.54; 0.6%; 254; 350; 96,imprecise — not to be presented as a reliable estimate (cases < 30 or RSE > 30%)
ENCAVI 2023–2024,ENCAVI 15+: autism spectrum disorder diagnosis,age group: 20–29,primary,"1,743; 28",1.60 (0.93–2.74),"46,009",w_personas_cal / varstrat / varunit,2.12; 0.3%; 254; 350; 96,imprecise — not to be presented as a reliable estimate (cases < 30 or RSE > 30%)
ENCAVI 2023–2024,ENCAVI 15+: autism spectrum disorder diagnosis,age group: 30–49,primary,"4,550; 30",0.60 (0.32–1.09),"35,220",w_personas_cal / varstrat / varunit,2.59; 0.3%; 254; 350; 96,adequate
ENCAVI 2023–2024,ENCAVI 15+: autism spectrum disorder diagnosis,age group: 50–64,primary,"4,727; 12",0.28 (0.13–0.60),"9,783",w_personas_cal / varstrat / varunit,1.95; 0.4%; 254; 350; 96,imprecise — not to be presented as a reliable estimate (cases < 30 or RSE > 30%)
ENCAVI 2023–2024,ENCAVI 15+: autism spectrum disorder diagnosis,age group: 65+,primary,"4,989; 6",0.14 (0.05–0.39),"3,619",w_personas_cal / varstrat / varunit,1.92; 0.5%; 254; 350; 96,imprecise — not to be presented as a reliable estimate (cases < 30 or RSE > 30%)
ENCAVI 2023–2024,ENCAVI 15+: autism spectrum disorder diagnosis (sensitivity: Do not know / No answer = not diagnosed),total: total,sensitivity,"16,590; 80",0.71 (0.50–1.01),"114,817",w_personas_cal / varstrat / varunit,3.78; 0.2%; 254; 350; 96,adequate
ENCAVI 2023–2024,ENCAVI 15+ with an ASD diagnosis: has received or is under medical treatment,total: total,secondary,79; 43,53.04 (36.35–69.08),"60,312",w_personas_cal / varstrat / varunit,2.36; 0.2%; 254; 350; 96,adequate
