Series,Definition,2019,2020,2021,2022,2023,2024,2025,Source
pie_harmonised,"ASD (P) + ASD-Asperger (P), Apuntes 60 Table 6","21,012","23,590","30,882","42,940","63,642","86,475","106,786",APUNTES_60_2024_tendencia_PIE_2019_2023.pdf (p. 11); Reporte_Ley_21545_SINACES_2022_2025.pdf (p. 8)
pie_harmonised_apuntes60,Sum of ASD (P) + ASD-Asperger (P) computed from Table 6,"21,012","23,590","30,882","42,940","63,642",not reported,not reported,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf (p. 11)
pie_harmonised_share_of_pie_pct,100 × (ASD + ASD-Asperger) / PIE total,5.44,6.88,7.78,9.79,13.46,not reported,not reported,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf (p. 11)
pie_harmonised_sinaces,"Autistic students in PIE (ASD + ASD-Asperger, per Centro de Estudios MINEDUC)",not reported,not reported,not reported,"42,945","63,642","86,475","106,786",Reporte_Ley_21545_SINACES_2022_2025.pdf (p. 8)
pie_share_of_state_funded_enrolment_published_pct,Published percentage: PIE total / total enrolment in state-funded establishments,not reported,not reported,not reported,not reported,14.60,not reported,not reported,APUNTES_59_2024_PIE_sexo_2023.pdf (p. 1)
pie_tea_applicants_sinaces,Autistic PIE applicants,not reported,not reported,not reported,"42,945","63,642","86,475","106,786",Reporte_Ley_21545_SINACES_2022_2025.pdf (p. 9)
pie_tea_asperger,Students enrolled in PIE with the permanent special educational need 'Trastorno del Espectro Autista - Asperger (P)',"9,135","9,977","12,081","14,095","16,091",not reported,not reported,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf (p. 11)
pie_tea_asperger_female,"pie_tea_asperger 2023, female students",not reported,not reported,not reported,not reported,"2,872",not reported,not reported,APUNTES_59_2024_PIE_sexo_2023.pdf (p. 5)
pie_tea_asperger_female_share_pct,100 × female / (female + male),not reported,not reported,not reported,not reported,17.85,not reported,not reported,APUNTES_59_2024_PIE_sexo_2023.pdf (p. 5)
pie_tea_asperger_male,"pie_tea_asperger 2023, male students",not reported,not reported,not reported,not reported,"13,219",not reported,not reported,APUNTES_59_2024_PIE_sexo_2023.pdf (p. 5)
pie_tea_asperger_share_of_pie_pct_published,Published percentage of 'Trastorno del Espectro Autista - Asperger (P)' over the PIE total,2.40,2.90,3.00,3.20,3.40,not reported,not reported,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf (p. 10)
pie_tea_exceptional_entry,Autistic applicants through exceptional entry (Seremi authorisation),not reported,not reported,not reported,"5,643","11,906","19,629","28,119",Reporte_Ley_21545_SINACES_2022_2025.pdf (p. 9)
pie_tea_regular_entry,Autistic applicants through regular entry (Decreto 170 places),not reported,not reported,not reported,"37,302","51,736","66,846","78,667",Reporte_Ley_21545_SINACES_2022_2025.pdf (p. 9)
pie_tea_share_of_applicants_pct,100 × autistic applicants / total applicants (computed),not reported,not reported,not reported,9.79,13.46,17.33,22.45,Reporte_Ley_21545_SINACES_2022_2025.pdf (p. 9)
pie_tea_share_of_applicants_published_pct,published %: autistic applicants / total applicants,not reported,not reported,not reported,9.80,13.50,17.30,22.50,Reporte_Ley_21545_SINACES_2022_2025.pdf (p. 9)
pie_tea_strict,Students enrolled in PIE with the permanent special educational need 'Trastorno del Espectro Autista (P)' (operating establishments),"11,877","13,613","18,801","28,845","47,551",not reported,not reported,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf (p. 11)
pie_tea_strict_female,"pie_tea_strict 2023, female students",not reported,not reported,not reported,not reported,"9,461",not reported,not reported,APUNTES_59_2024_PIE_sexo_2023.pdf (p. 5)
pie_tea_strict_female_share_pct,100 × female / (female + male),not reported,not reported,not reported,not reported,19.90,not reported,not reported,APUNTES_59_2024_PIE_sexo_2023.pdf (p. 5)
pie_tea_strict_male,"pie_tea_strict 2023, male students",not reported,not reported,not reported,not reported,"38,090",not reported,not reported,APUNTES_59_2024_PIE_sexo_2023.pdf (p. 5)
pie_tea_strict_share_of_pie_pct,100 × ASD (P) / PIE total,3.08,3.97,4.74,6.57,10.05,not reported,not reported,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf (p. 11)
pie_tea_strict_share_of_pie_pct_published,Published percentage of 'Trastorno del Espectro Autista (P)' over the PIE total,3.10,4.00,4.70,6.60,10.10,not reported,not reported,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf (p. 10)
pie_total_applicants_sinaces,Total PIE applicants (all special educational needs),not reported,not reported,not reported,"438,783","473,006","499,110","475,710",Reporte_Ley_21545_SINACES_2022_2025.pdf (p. 9)
pie_total_enrolment,Total students integrated in PIE (all special educational needs),"385,995","343,059","396,765","438,760","473,006",not reported,not reported,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf (p. 11)
pie_total_enrolment_female,"pie_total_enrolment 2023, female students",not reported,not reported,not reported,not reported,"189,454",not reported,not reported,APUNTES_59_2024_PIE_sexo_2023.pdf (p. 5)
pie_total_enrolment_female_share_pct,100 × female / (female + male),not reported,not reported,not reported,not reported,40.05,not reported,not reported,APUNTES_59_2024_PIE_sexo_2023.pdf (p. 5)
pie_total_enrolment_male,"pie_total_enrolment 2023, male students",not reported,not reported,not reported,not reported,"283,550",not reported,not reported,APUNTES_59_2024_PIE_sexo_2023.pdf (p. 5)
