Module,Control family,Checks,Reproduced,Differ,Informative,Max |relative difference|
00_provenance,artefact_count_by_source,28,28,0,0,0.0000
00_provenance,artefact_count_total,1,1,0,0,0.0000
00_provenance,artefacts_missing_on_disk,1,1,0,0,0.0000
00_provenance,bytes_by_source,28,28,0,0,0.0000
00_provenance,bytes_total,1,1,0,0,0.0000
00_provenance,bytes_total_gb,1,1,0,0,0.0000
00_provenance,casen_2024_bytes,1,1,0,0,0.0000
00_provenance,download_manifest_rows,1,1,0,0,0.0000
00_provenance,fonasa_source_manifest_rows,1,1,0,0,0.0000
00_provenance,grd_sources_manifest_rows,1,1,0,0,0.0000
00_provenance,junaeb_microdata_bytes,1,1,0,0,0.0000
00_provenance,junaeb_microdata_files,1,1,0,0,0.0000
00_provenance,junaeb_weight_column,7,7,0,0,n/e
00_provenance,manifest_bytes_agreement_rate,1,1,0,0,0.0000
00_provenance,manifest_listed_artefacts,1,1,0,0,0.0000
00_provenance,manifest_sha256_agreement_rate,1,1,0,0,0.0000
00_provenance,manifest_sha256_agreement_rate_by_manifest,6,6,0,0,0.0000
00_provenance,manifest_sha256_mismatches,1,1,0,0,0.0000
00_provenance,manifest_unlisted_artefacts,1,1,0,0,0.0000
00_provenance,rem_official_zips_present,1,1,0,0,0.0000
00_provenance,seriep_manifest_rows,1,1,0,0,0.0000
01_grd_core,grd_cma,6,6,0,0,0.0000
01_grd_core,grd_coding_depth_all_mean,2,2,0,0,0.0007
01_grd_core,grd_coding_depth_f84_mean,2,2,0,0,−0.0004
01_grd_core,grd_f84_any,6,6,0,0,0.0000
01_grd_core,grd_f84_any_panel65,6,6,0,0,0.0000
01_grd_core,grd_f84_any_strict_hospitalisation,6,4,2,0,0.0273
01_grd_core,grd_f84_any_strict_hospitalisation_fixed65,6,6,0,0,0.0000
01_grd_core,grd_f84_exact_duplicates_full_row,6,6,0,0,n/e
01_grd_core,grd_f84_exact_duplicates_on_read_columns,6,5,1,0,n/e
01_grd_core,grd_f84_prefix_codes_outside_config_list,6,6,0,0,n/e
01_grd_core,grd_f84_principal,6,6,0,0,0.0000
