File,Rows,Number of columns,Unit,Declared denominator,Geography,Producing script,Columns
aps_enrolment_centre_year.csv,"14,082",23,"enrolled persons (December stock, comuna of the centre)",n/e,"comuna of the APS centre (place of enrolment, not residence)",03_denominators.py,year|periodo_raw|cod_centro|nombre_centro|servicio_salud|region_raw|comuna_raw|comuna_norm|cut_comuna|cut_region|deis_code|match_method|dependencia|in_panel_1871|geographic_change_flag|source_file|enrolled_total|n_rows|enrolled_tramo_AD|enrolled_tramo_X|enrolled_tramo_missing|unit|geography
aps_enrolment_comuna_year.csv,"143,172",16,"enrolled persons (December stock); n_centres = distinct centre codes, not additive across rows",n/e,"comuna of the APS centre (place of enrolment, not residence)",03_denominators.py|08c_figures_triangulation.py|15_extra_figures_context.py|15b_spatial_correlation.py|16_extra_tables.py,year|region_raw|comuna_raw|cut_comuna|cut_region|match_method|sex|age_band_raw|age_band_20y|age_band_10y|tramo|enrolled|n_centres|tramo_group|unit|geography
aps_panel.csv,7,10,enrolled persons (December stock); centres = distinct centre codes; retention = panel enrolled / total enrolled,n/e,n/e,03_denominators.py|09a_tables_main.py|09b_tables_supplementary.py|15_extra_figures_context.py|16_extra_tables.py,year|centres_total|centres_panel|enrolled_total|enrolled_panel_1871|retention_panel_1871|enrolled_tramo_AD|enrolled_tramo_X|enrolled_tramo_missing|unit
aps_panel_centres.csv,"1,871",4,n/e,n/e,n/e,03_denominators.py,cod_centro|nombre_centro_2025|comunas|geographic_change_flag
comuna_crosswalk.csv,346,11,n/e,n/e,n/e,03_denominators.py|08c_figures_triangulation.py|08d_figure_dataflow.py|09b_tables_supplementary.py|11_grd_episode_detail.py|14_extra_figures_rem.py|15b_spatial_correlation.py,cut_comuna|deis_code|comuna_name_ine|comuna_norm|aliases_norm|cut_provincia|provincia_name|cut_region|region_name_ine|region_short|non_continental
comuna_name_matches.csv,"1,456",7,n/e,n/e,n/e,03_denominators.py|09b_tables_supplementary.py,source|raw_name|normalised|cut_comuna|match_method|years|n_years
comuna_unmatched.csv,19,8,n/e,n/e,n/e,03_denominators.py|09b_tables_supplementary.py|15b_spatial_correlation.py,source|year|raw_name|normalised|rows|count|reason|count_unit
coverage_layers_year.csv,7,23,n/e,n/e,n/e,03_denominators.py|08a_figures_grd.py|08c_figures_triangulation.py|08d_figure_dataflow.py|09a_tables_main.py|15_extra_figures_context.py|15b_spatial_correlation.py|16_extra_tables.py,year|ine_population_base2017_30jun|ine_population_base2024_national_30jun|fonasa_beneficiaries_dec|fonasa_inscritos_aps_dec|isapre_beneficiaries_dec|aps_enrolled_dec|aps_enrolled_tramo_AD_dec|aps_centres|aps_panel_1871_enrolled|aps_panel_1871_retention|rem20_establishments_reporting|rem20_discharges_all|rem20_discharges_panel_188|rem20_panel_188_retention|fonasa_plus_isapre|share_fonasa_ine|share_isapre_ine|share_fonasa_plus_isapre_ine|share_fonasa_plus_isapre_ine_base2024|ratio_aps_tramoAD_to_fonasa_inscritos|rem20_discharges_per_1000_ine|caveat
data_provenance.csv,182,27,n/e,n/e,"Administrative comuna of the beneficiary (as published by the Superintendencia) | Comuna (cod_comuna) / region (codregion) | Comuna (cut_comuna, 4-digit INE code) and region",00_provenance.py|09a_tables_main.py|09b_tables_supplementary.py,source_id|file|relative_path|bytes|sha256|downloaded_or_version_date|observation_unit|period|population_covered|geography|codes_columns_used|stock_or_flow|possible_denominator|definition_breaks|linkage_restrictions|use_rule|root|artefact_role|provider|source_container|manifest_source|manifest_sha256|sha256_matches_manifest|manifest_bytes|bytes_match_manifest|file_mtime_utc|landing_url
dataflow_counts.csv,124,12,n/e,n/e,n/e,08d_figure_dataflow.py,variant|question|source|unit_kind|key|label_en|label_es|unit_en|unit_es|value|source_file|source_column_or_key
