File identifier,Kind,Label in the documents,Where it is used,File,Title,Associated data file,Current use
fig1_dataflow,Figure,Figure 1,article figure,sin_rett/en/figures/fig1_dataflow.png,"What was done with each database: the six data families of the multisource study, Chile 2019–2025 — F84 family excluding Rett syndrome",n/e,08d_figure_dataflow.py|16_extra_tables.py|prose_es.py|prose_en.py|prose_methods_extended.py
fig1_sources_coverage,Figure,Figure 2,article figure,sin_rett/en/figures/fig1_sources_coverage.png,"Administrative reporting completeness, coverage layers, panels and definition breaks of the multisource study, Chile 2019–2025",n/e,08a_figures_grd.py|prose_es.py|prose_en.py|prose_methods_extended.py
fig2_grd_core,Figure,Figure 3,article figure,sin_rett/en/figures/fig2_grd_core.png,"GRD episodes with documented F84 in Chilean public hospitals, 2019–2024: rates per episode, activity, coding depth, age and sex, hospitals and persons — F84 without Rett variant",n/e,08a_figures_grd.py|prose_es.py|prose_en.py|prose_methods_extended.py
fig3_rem_pathway,Figure,Figure 4,article figure,sin_rett/en/figures/fig3_rem_pathway.png,"Aggregated REM administrative pathway for autism in the Chilean public network, 2019–2025: detection (A03), counselling, referral and rehabilitation (A27, A28), entry and discharge (A05) and population under control (P2, P6) — F84 without Rett variant",n/e,08b_figures_rem.py|prose_es.py|prose_en.py|prose_methods_extended.py
fig4_triangulation,Figure,Figure 5,article figure,sin_rett/en/figures/fig4_triangulation.png,"Educational triangulation and population benchmarks of administrative autism recognition, Chile 2019–2025 — F84 without Rett variant",n/e,08c_figures_triangulation.py|prose_es.py|prose_en.py|prose_methods_extended.py
figS10_denominators,Figure,Figure S10,supplementary figure,sin_rett/en/figures/figS10_denominators.png,Sensitivity of population denominators: INE base 2017 vs Census 2024 and base 2024 — F84 without Rett variant,S10_denominator_sensitivity.csv,08c_figures_triangulation.py|prose_es.py|prose_en.py|prose_methods_extended.py
figS11_coverage_age_sex,Figure,Figure S11,supplementary figure,sin_rett/en/figures/figS11_coverage_age_sex.png,"Coverage layers: FONASA, APS enrolment and ISAPRE by age and sex (2025) and national series 2019–2025 — F84 without Rett variant",S11_coverage_age_sex.csv,08c_figures_triangulation.py|prose_es.py|prose_en.py|prose_methods_extended.py
figS12_junaeb_sex_level,Figure,Figure S12,supplementary figure,sin_rett/en/figures/figS12_junaeb_sex_level.png,"JUNAEB: caregiver-reported ASD by sex and school level, 2023–2025 — F84 without Rett variant",S12_junaeb_sex_level.csv,08c_figures_triangulation.py|prose_es.py|prose_en.py|prose_methods_extended.py
figS13_rem_seasonality,Figure,Figure S13,supplementary figure,sin_rett/en/figures/figS13_rem_seasonality.png,"Monthly seasonality of REM reporting: A05 entries and A03 screening by year, index relative to each year's monthly mean — F84 without Rett variant",S13_rem_seasonality.csv,08b_figures_rem.py|prose_es.py|prose_en.py|prose_methods_extended.py
figS14_deis_sex_age,Figure,Figure S14,supplementary figure,sin_rett/en/figures/figS14_deis_sex_age.png,"DEIS hospital discharges with F84 as principal diagnosis by sex, age and ownership, 2019–2024 — F84 without Rett variant",S14_deis_sex_age.csv,08c_figures_triangulation.py|prose_es.py|prose_en.py|prose_methods_extended.py
