"Principal diagnosis (ICD-10, 3 characters)",2019,2020,2021,2022,2023,2024
G40 — Epilepsy,152 (7.2%),135 (9.3%),144 (6.6%),213 (6.0%),291 (4.8%),358 (4.3%)
K35 — Acute appendicitis,74 (3.5%),85 (5.9%),103 (4.7%),149 (4.2%),226 (3.7%),324 (3.9%)
"N47 — Redundant prepuce, phimosis and paraphimosis",75 (3.6%),26 (1.8%),53 (2.4%),114 (3.2%),252 (4.2%),373 (4.5%)
F32 — Depressive episode,22 (1.0%),16 (1.1%),45 (2.1%),90 (2.5%),235 (3.9%),380 (4.6%)
"J12 — Viral pneumonia, not elsewhere classified",52 (2.5%),9 (0.6%),16 (0.7%),111 (3.1%),278 (4.6%),301 (3.6%)
Z51 — Other medical care,99 (4.7%),64 (4.4%),74 (3.4%),114 (3.2%),173 (2.9%),183 (2.2%)
J35 — Chronic diseases of tonsils and adenoids,56 (2.7%),35 (2.4%),52 (2.4%),99 (2.8%),172 (2.8%),292 (3.5%)
K02 — Dental caries,149 (7.1%),24 (1.7%),73 (3.3%),82 (2.3%),75 (1.2%),126 (1.5%)
J46 — Status asthmaticus,18 (0.9%),7 (0.5%),19 (0.9%),67 (1.9%),181 (3.0%),180 (2.2%)
"T43 — Poisoning by psychotropic drugs, not elsewhere classified",24 (1.1%),18 (1.2%),36 (1.7%),49 (1.4%),125 (2.1%),177 (2.1%)
J20 — Acute bronchitis,36 (1.7%),6 (0.4%),25 (1.1%),59 (1.7%),127 (2.1%),125 (1.5%)
A09 — Diarrhoea and gastroenteritis of presumed infectious origin,28 (1.3%),18 (1.2%),35 (1.6%),52 (1.5%),92 (1.5%),115 (1.4%)
Q53,23 (1.1%),11 (0.8%),23 (1.1%),56 (1.6%),90 (1.5%),131 (1.6%)
"J15 — Bacterial pneumonia, not elsewhere classified",30 (1.4%),7 (0.5%),5 (0.2%),25 (0.7%),87 (1.4%),149 (1.8%)
"R56 — Convulsions, not elsewhere classified",30 (1.4%),23 (1.6%),38 (1.7%),47 (1.3%),64 (1.1%),77 (0.9%)
F60 — Specific personality disorders,8 (0.4%),8 (0.6%),16 (0.7%),26 (0.7%),66 (1.1%),152 (1.8%)
A08 — Viral and other specified intestinal infections,13 (0.6%),9 (0.6%),7 (0.3%),37 (1.0%),94 (1.6%),101 (1.2%)
F91 — Conduct disorders,19 (0.9%),23 (1.6%),31 (1.4%),30 (0.8%),59 (1.0%),70 (0.8%)
"F43 — Reaction to severe stress, and adjustment disorders",12 (0.6%),6 (0.4%),9 (0.4%),28 (0.8%),62 (1.0%),101 (1.2%)
Z13,40 (1.9%),15 (1.0%),28 (1.3%),35 (1.0%),42 (0.7%),58 (0.7%)
S52 — Fracture of forearm,18 (0.9%),18 (1.2%),19 (0.9%),42 (1.2%),46 (0.8%),69 (0.8%)
"J18 — Pneumonia, organism unspecified",20 (0.9%),6 (0.4%),12 (0.6%),32 (0.9%),62 (1.0%),78 (0.9%)
K80 — Cholelithiasis,11 (0.5%),11 (0.8%),12 (0.6%),36 (1.0%),54 (0.9%),68 (0.8%)
E10 — Insulin-dependent diabetes mellitus,12 (0.6%),14 (1.0%),23 (1.1%),40 (1.1%),42 (0.7%),59 (0.7%)
F41 — Other anxiety disorders,3 (0.1%),1 (0.1%),10 (0.5%),28 (0.8%),49 (0.8%),98 (1.2%)
