Variable,Category,"Documented F84 2019–2024, n (%)","All GRD episodes, n (%)",Difference (pp),% F84 in 2019,% F84 in 2024
TIPO_INGRESO,Emergency,"16,705 (66.0%)","2,977,270 (51.3%)",14.7,55.9%,66.9%
TIPO_INGRESO,Scheduled,"8,440 (33.3%)","1,904,181 (32.8%)",0.5,43.9%,32.2%
TIPO_INGRESO,Obstetric,163 (0.6%),"926,596 (16.0%)",−15.3,0.2%,0.9%
TIPO_INGRESO,Not reported,14 (0.1%),145 (0.0%),0.1,0.0%,0.1%
TIPO_INGRESO,Not identified,1 (0.0%),318 (0.0%),−0.0,0.0%,0.0%
TIPO_ACTIVIDAD,Hospitalisation,"22,544 (89.0%)","4,800,767 (82.7%)",6.4,81.9%,87.3%
TIPO_ACTIVIDAD,Major ambulatory surgery (CMA),"2,524 (10.0%)","889,868 (15.3%)",−5.4,7.2%,12.7%
TIPO_ACTIVIDAD,Day hospitalisation,163 (0.6%),"55,328 (1.0%)",−0.3,7.0%,0.0%
TIPO_ACTIVIDAD,Emergency-room hospitalisation,92 (0.4%),"62,551 (1.1%)",−0.7,3.9%,0.0%
TIPO_PROCEDENCIA,Emergency department (from home),"12,202 (48.2%)","2,729,075 (47.0%)",1.2,39.0%,49.5%
TIPO_PROCEDENCIA,"Specialty centre (CDT, CRS)","7,512 (29.7%)","1,841,244 (31.7%)",−2.0,41.2%,28.6%
TIPO_PROCEDENCIA,Other hospitals of the service network,"1,860 (7.3%)","411,096 (7.1%)",0.3,6.6%,7.1%
TIPO_PROCEDENCIA,"Primary-care emergency (SAPU, SUR, SUC)","1,132 (4.5%)","271,210 (4.7%)",−0.2,2.7%,4.9%
TIPO_PROCEDENCIA,Major ambulatory surgery (CMA),533 (2.1%),"33,772 (0.6%)",1.5,1.4%,2.4%
TIPO_PROCEDENCIA,Other hospitals of the national network,508 (2.0%),"70,107 (1.2%)",0.8,2.9%,1.4%
TIPO_PROCEDENCIA,Primary-care centre (CESFAM),374 (1.5%),"91,964 (1.6%)",−0.1,1.9%,1.5%
TIPO_PROCEDENCIA,"Other health institutions (private, rehabilitation)",372 (1.5%),"73,282 (1.3%)",0.2,1.5%,1.1%
TIPO_PROCEDENCIA,Private consultation,314 (1.2%),"139,137 (2.4%)",−1.2,1.2%,1.3%
