Indicator,2019,2020,2021,2022,2023,2024
"Severity (0 = minor, 3 = extreme) — 0",331 (14.2%),85 (5.3%),180 (7.6%),350 (9.1%),631 (9.8%),"1,112 (12.7%)"
"Severity (0 = minor, 3 = extreme) — 1","1,127 (48.3%)",785 (48.8%),"1,112 (47.0%)","1,785 (46.3%)","2,817 (43.9%)","3,656 (41.9%)"
"Severity (0 = minor, 3 = extreme) — 2",527 (22.6%),449 (27.9%),631 (26.7%),947 (24.5%),"1,534 (23.9%)","2,174 (24.9%)"
"Severity (0 = minor, 3 = extreme) — 3",349 (15.0%),290 (18.0%),444 (18.8%),777 (20.1%),"1,441 (22.4%)","1,789 (20.5%)"
"Severity (0 = minor, 3 = extreme) — not reported",0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
"Mortality risk (0 = minor, 3 = extreme) — 0",331 (14.2%),85 (5.3%),180 (7.6%),350 (9.1%),631 (9.8%),"1,112 (12.7%)"
"Mortality risk (0 = minor, 3 = extreme) — 1","1,462 (62.6%)","1,057 (65.7%)","1,532 (64.7%)","2,404 (62.3%)","3,832 (59.7%)","5,154 (59.0%)"
"Mortality risk (0 = minor, 3 = extreme) — 2",364 (15.6%),343 (21.3%),442 (18.7%),681 (17.6%),"1,073 (16.7%)","1,330 (15.2%)"
"Mortality risk (0 = minor, 3 = extreme) — 3",177 (7.6%),124 (7.7%),213 (9.0%),424 (11.0%),887 (13.8%),"1,135 (13.0%)"
"Mortality risk (0 = minor, 3 = extreme) — not reported",0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
IR-29301 relative weight — Median (P25–P75),0.58 (0.46–0.86),0.64 (0.51–0.99),0.62 (0.49–0.96),0.61 (0.48–0.91),0.59 (0.46–0.96),0.58 (0.43–0.89)
IR-29301 relative weight — x̄ (DE),0.84 (1.05),0.93 (1.00),0.95 (1.17),0.87 (0.97),0.85 (0.90),0.81 (0.89)
Lethality (%) — Episodes with documented F84,"16/2,334; 0.69 (0.41–1.08)","16/1,609; 0.99 (0.59–1.57)","6/2,367; 0.25 (0.11–0.52)","16/3,859; 0.41 (0.25–0.66)","19/6,423; 0.30 (0.18–0.45)","30/8,731; 0.34 (0.24–0.48)"
Lethality (%) — All GRD episodes,"29,587/1,151,475; 2.57 (2.54–2.60)","29,942/781,912; 3.83 (3.79–3.87)","31,965/816,909; 3.91 (3.87–3.96)","27,379/932,839; 2.94 (2.90–2.97)","25,136/1,039,587; 2.42 (2.39–2.45)","26,682/1,085,813; 2.46 (2.43–2.49)"
