Region of residence,2019,2020,2021,2022,2023,2024
Arica y Parinacota,42; 17.0 (12.3–23.0),35; 13.9 (9.7–19.3),68; 26.6 (20.7–33.8),103; 40.0 (32.6–48.5),162; 62.4 (53.1–72.7),184; 70.3 (60.5–81.2)
Tarapacá,68; 18.4 (14.3–23.4),32; 8.4 (5.7–11.8),45; 11.5 (8.4–15.4),94; 23.7 (19.1–29.0),132; 32.9 (27.5–39.0),228; 56.1 (49.1–63.9)
Antofagasta,110; 16.5 (13.5–19.8),94; 13.6 (11.0–16.6),147; 20.9 (17.6–24.6),214; 30.2 (26.3–34.5),410; 57.4 (52.0–63.2),481; 67.0 (61.1–73.2)
Atacama,38; 12.2 (8.6–16.8),20; 6.4 (3.9–9.8),26; 8.2 (5.4–12.0),55; 17.3 (13.0–22.5),109; 34.2 (28.1–41.2),110; 34.4 (28.3–41.4)
Coquimbo,107; 13.0 (10.7–15.7),82; 9.8 (7.8–12.2),137; 16.2 (13.6–19.1),236; 27.5 (24.1–31.2),359; 41.3 (37.1–45.8),555; 63.1 (58.0–68.6)
Valparaíso,227; 11.7 (10.3–13.4),166; 8.5 (7.2–9.9),177; 8.9 (7.7–10.4),331; 16.6 (14.8–18.5),625; 31.1 (28.7–33.6),931; 46.0 (43.1–49.0)
Metropolitana,697; 8.8 (8.2–9.5),473; 5.8 (5.3–6.4),796; 9.7 (9.0–10.4),"1,277; 15.4 (14.5–16.2)","2,091; 25.0 (23.9–26.1)","2,754; 32.7 (31.5–33.9)"
O'Higgins,89; 9.1 (7.3–11.2),56; 5.7 (4.3–7.3),97; 9.7 (7.9–11.8),147; 14.6 (12.3–17.1),219; 21.5 (18.8–24.6),301; 29.3 (26.1–32.9)
Maule,88; 7.9 (6.3–9.7),72; 6.4 (5.0–8.0),86; 7.5 (6.0–9.3),196; 17.0 (14.7–19.6),328; 28.2 (25.2–31.4),489; 41.7 (38.1–45.6)
Ñuble,120; 23.6 (19.6–28.2),69; 13.5 (10.5–17.1),155; 30.1 (25.6–35.3),221; 42.7 (37.3–48.8),312; 60.1 (53.6–67.1),375; 71.9 (64.8–79.5)
Biobío,367; 22.2 (20.0–24.6),231; 13.9 (12.2–15.8),286; 17.1 (15.2–19.2),451; 26.9 (24.5–29.5),809; 48.1 (44.9–51.5),"1,090; 64.6 (60.9–68.6)"
La Araucanía,108; 10.7 (8.8–12.9),96; 9.5 (7.7–11.6),127; 12.5 (10.4–14.8),210; 20.5 (17.8–23.5),371; 36.1 (32.5–39.9),570; 55.2 (50.8–59.9)
Los Ríos,54; 13.4 (10.1–17.5),45; 11.1 (8.1–14.8),38; 9.3 (6.6–12.8),62; 15.1 (11.6–19.4),91; 22.1 (17.8–27.2),113; 27.4 (22.6–32.9)
Los Lagos,140; 15.8 (13.3–18.7),90; 10.1 (8.1–12.4),117; 13.0 (10.8–15.6),171; 18.9 (16.2–22.0),276; 30.4 (26.9–34.2),388; 42.5 (38.4–47.0)
Aysén,15; 14.1 (7.9–23.2),9; 8.4 (3.8–15.9),18; 16.7 (9.9–26.4),31; 28.7 (19.5–40.7),47; 43.4 (31.9–57.7),75; 69.1 (54.4–86.6)
Magallanes,62; 35.2 (27.0–45.2),39; 21.9 (15.5–29.9),47; 26.1 (19.2–34.7),60; 33.1 (25.3–42.6),82; 45.0 (35.8–55.9),87; 47.5 (38.0–58.6)
Without a linkable comuna,suppressed (< 5),0,0,0,0,0
National total,"2,332; 12.2","1,609; 8.3","2,367; 12.0","3,859; 19.5","6,423; 32.2","8,731; 43.5"
