Panel,Series,Code,Definition era,Measure,Year,Value,Unit,Reporting establishments,Stable-panel establishments,Stable-panel total
a,M-CHAT done*,03500406,2019–2022,annual sum of months (flow),2019,"2,613",screening records,263,108,"1,316"
a,M-CHAT done*,03500406,2019–2022,annual sum of months (flow),2020,816,screening records,198,108,613
a,M-CHAT done*,03500406,2019–2022,annual sum of months (flow),2021,"1,833",screening records,273,108,"1,218"
a,M-CHAT done*,03500406,2019–2022,annual sum of months (flow),2022,"3,455",screening records,399,108,"1,783"
a,M-CHAT altered*,03500407,2019–2022,annual sum of months (flow),2019,"1,640",screening records,188,61,525
a,M-CHAT altered*,03500407,2019–2022,annual sum of months (flow),2020,288,screening records,134,61,174
a,M-CHAT altered*,03500407,2019–2022,annual sum of months (flow),2021,879,screening records,230,61,368
a,M-CHAT altered*,03500407,2019–2022,annual sum of months (flow),2022,"1,535",screening records,315,61,494
a,Suspected elsewhere,09600212,2023–2024,annual sum of months (flow),2023,"8,221",children reported,731,602,"7,820"
a,Suspected elsewhere,09600212,2023–2024,annual sum of months (flow),2024,"12,281",children reported,861,602,"11,169"
a,Low risk,09600213,2023–2024,annual sum of months (flow),2023,"14,083",screening results,880,752,"13,708"
a,Low risk,09600213,2023–2024,annual sum of months (flow),2024,"18,142",screening results,"1,082",752,"16,161"
a,Medium risk,09600214,2023–2024,annual sum of months (flow),2023,"3,642",screening results,627,497,"3,358"
a,Medium risk,09600214,2023–2024,annual sum of months (flow),2024,"4,698",screening results,734,497,"4,085"
a,High risk,09600215,2023–2024,annual sum of months (flow),2023,"1,907",screening results,478,346,"1,635"
a,High risk,09600215,2023–2024,annual sum of months (flow),2024,"2,234",screening results,552,346,"1,765"
a,High risk referred,09600216,2023–2024,annual sum of months (flow),2023,"1,152",referral records,373,253,951
a,High risk referred,09600216,2023–2024,annual sum of months (flow),2024,"1,741",referral records,454,253,"1,275"
a,Part 2: medium risk,09600217,2023–2023,annual sum of months (flow),2023,920,screening records,247,247,920
a,Part 2: no referral,09600218,2023–2024,annual sum of months (flow),2023,817,screening results,267,168,614
a,Part 2: no referral,09600218,2023–2024,annual sum of months (flow),2024,"2,341",screening results,528,168,"1,037"
a,Part 2: referral,09600219,2023–2024,annual sum of months (flow),2023,"1,136",referral records,346,237,963
a,Part 2: referral,09600219,2023–2024,annual sum of months (flow),2024,"2,283",referral records,516,237,"1,499"
b,Evaluated,03700104,2024–2024,annual sum of months (flow),2024,"39,466",children reported,694,694,"39,466"
b,Suspected elsewhere,03700105,2024–2024,annual sum of months (flow),2024,"4,576",children reported,564,564,"4,576"
b,Alert signs: yes,03700106,2024–2024,annual sum of months (flow),2024,"5,860",screening results,674,674,"5,860"
b,Alert signs: no,03700107,2024–2024,annual sum of months (flow),2024,"6,327",screening results,495,495,"6,327"
b,Referral: yes,03700108,2024–2024,annual sum of months (flow),2024,"4,866",referral records,629,629,"4,866"
b,Referral: no,03700109,2024–2024,annual sum of months (flow),2024,"4,935",referral records,464,464,"4,935"
b,Motive: EEDP,03710013,2025–2025,annual sum of months (flow),2025,"14,671",screening records,869,869,"14,671"
b,Motive: risk/alert,03710014,2025–2025,annual sum of months (flow),2025,"5,921",screening records,665,665,"5,921"
b,Motive: both,03710015,2025–2025,annual sum of months (flow),2025,"2,656",screening records,503,503,"2,656"
b,Low risk,03710016,2025–2025,annual sum of months (flow),2025,"12,971",screening results,818,818,"12,971"
b,"Medium, no ref.",03710017,2025–2025,annual sum of months (flow),2025,"1,637",screening results,395,395,"1,637"
b,"Medium, ref.",03710018,2025–2025,annual sum of months (flow),2025,"2,500",referral records,534,534,"2,500"
b,"High, ref.",03710019,2025–2025,annual sum of months (flow),2025,"2,181",referral records,505,505,"2,181"
b,"30–59 mo, no ref.",03710020,2025–2025,annual sum of months (flow),2025,"5,140",screening results,501,501,"5,140"
b,"30–59 mo, ref.",03710021,2025–2025,annual sum of months (flow),2025,"5,883",referral records,642,642,"5,883"
c,A27 Counselling,29101566,2023–2025,annual sum of months (flow),2023,"2,380",interventions,150,87,"1,498"
c,A27 Counselling,29101566,2023–2025,annual sum of months (flow),2024,"3,874",interventions,180,87,"2,317"
c,A27 Counselling,29101566,2023–2025,annual sum of months (flow),2025,"3,026",interventions,169,87,"1,815"
c,A27 Assisted referral,29101574,2023–2025,annual sum of months (flow),2023,672,interventions,98,57,451
c,A27 Assisted referral,29101574,2023–2025,annual sum of months (flow),2024,"1,068",interventions,118,57,642
c,A27 Assisted referral,29101574,2023–2025,annual sum of months (flow),2025,878,interventions,114,57,514
c,A28 Primary-level rehabilitation,29101629,2023–2025,annual sum of months (flow),2023,"3,962",entries reported,264,97,"2,220"
c,A28 Primary-level rehabilitation,29101629,2023–2025,annual sum of months (flow),2024,"7,033",entries reported,313,97,"3,741"
c,A28 Primary-level rehabilitation,29101629,2023–2025,annual sum of months (flow),2025,"15,859",entries reported,359,97,"7,267"
c,A28 Hospital-level rehabilitation,29101651,2023–2025,annual sum of months (flow),2023,731,entries reported,39,25,653
c,A28 Hospital-level rehabilitation,29101651,2023–2025,annual sum of months (flow),2024,"1,045",entries reported,50,25,923
c,A28 Hospital-level rehabilitation,29101651,2023–2025,annual sum of months (flow),2025,"1,740",entries reported,43,25,"1,485"
d,A05 Broad PDD entries,06902600,2019–2020,annual sum of months (flow),2019,"4,417",entries reported,651,395,"3,765"
d,A05 Broad PDD entries,06902600,2019–2020,annual sum of months (flow),2020,"2,560",entries reported,492,395,"2,310"
d,A05 Broad PDD discharges,05225000,2019–2020,annual sum of months (flow),2019,"1,208",clinical discharges reported,387,181,833
d,A05 Broad PDD discharges,05225000,2019–2020,annual sum of months (flow),2020,646,clinical discharges reported,260,181,504
d,A05 Entries: strict autism,05990022,2021–2025,annual sum of months (flow),2021,"2,085",entries reported,449,258,"1,522"
d,A05 Entries: strict autism,05990022,2021–2025,annual sum of months (flow),2022,"4,640",entries reported,658,258,"2,852"
d,A05 Entries: strict autism,05990022,2021–2025,annual sum of months (flow),2023,"8,049",entries reported,920,258,"4,187"
d,A05 Entries: strict autism,05990022,2021–2025,annual sum of months (flow),2024,"11,842",entries reported,"1,070",258,"5,694"
d,A05 Entries: strict autism,05990022,2021–2025,annual sum of months (flow),2025,"13,155",entries reported,952,258,"6,767"
d,A05 Clinical discharges: strict autism,05990027,2021–2025,annual sum of months (flow),2021,494,clinical discharges reported,207,85,240
d,A05 Clinical discharges: strict autism,05990027,2021–2025,annual sum of months (flow),2022,831,clinical discharges reported,307,85,316
d,A05 Clinical discharges: strict autism,05990027,2021–2025,annual sum of months (flow),2023,"1,814",clinical discharges reported,438,85,689
d,A05 Clinical discharges: strict autism,05990027,2021–2025,annual sum of months (flow),2024,"3,315",clinical discharges reported,625,85,782
d,A05 Clinical discharges: strict autism,05990027,2021–2025,annual sum of months (flow),2025,"3,367",clinical discharges reported,624,85,"1,042"
d,A05 Entries: PDD family,05990022+05990023+05990025+05990026,2021–2025,annual sum of months (flow),2021,"4,948",entries reported,710,432,"3,753"
d,A05 Entries: PDD family,05990022+05990023+05990025+05990026,2021–2025,annual sum of months (flow),2022,"8,004",entries reported,869,432,"5,750"
d,A05 Entries: PDD family,05990022+05990023+05990025+05990026,2021–2025,annual sum of months (flow),2023,"12,086",entries reported,"1,040",432,"8,076"
d,A05 Entries: PDD family,05990022+05990023+05990025+05990026,2021–2025,annual sum of months (flow),2024,"14,873",entries reported,"1,153",432,"9,464"
d,A05 Entries: PDD family,05990022+05990023+05990025+05990026,2021–2025,annual sum of months (flow),2025,"15,669",entries reported,995,432,"10,928"
d,A05 Discharges: PDD family,05990027+05990028+05990030+05990031,2021–2025,annual sum of months (flow),2021,"1,485",clinical discharges reported,387,186,953
