Module,Checks,Match,Informative,Differ,File
00_provenance,86,86,0,0,00_provenance_controls.csv
01_grd_core,86,79,0,7,01_grd_core_controls.csv
01b_deis_egresos,202,200,0,2,01b_deis_egresos_controls.csv
02_rem_pathway,202,81,121,0,02_rem_pathway_controls.csv
03_denominators,66,65,0,1,03_denominators_controls.csv
04_surveys,24,24,0,0,04_surveys_controls.csv
05_education,88,88,0,0,05_education_controls.csv
06_models,57,57,0,0,06_models_controls.csv
07_controls,12,5,6,1,07_controls_controls.csv
08b_figures_rem,74,74,0,0,08b_figures_rem_controls.csv
08c_figures_triangulation,73,72,1,0,08c_figures_triangulation_controls.csv
08d_figure_dataflow,92,92,0,0,08d_figure_dataflow_controls.csv
09a_tables_main,228,224,0,4,09a_tables_main_controls.csv
09b_tables_supplementary,86,76,10,0,09b_tables_supplementary_controls.csv
11_grd_episode_detail,"3,053","3,034",11,8,11_grd_episode_detail_controls.csv
12_methods_extended,80,75,5,0,12_methods_extended_controls.csv
13_extra_figures_hospital,176,149,27,0,13_extra_figures_hospital_controls.csv
14_extra_figures_rem,364,306,58,0,14_extra_figures_rem_controls.csv
15_extra_figures_context,168,157,10,1,15_extra_figures_context_controls.csv
15b_spatial_correlation,207,142,65,0,15b_spatial_correlation_controls.csv
16_extra_tables,233,222,9,2,16_extra_tables_controls.csv
17_extended_material,226,196,30,0,17_extended_material_controls.csv
