Age band (years),Sex,FONASA beneficiaries,APS enrolled (place of enrolment),ISAPRE beneficiaries,INE resident population (base 2017),% of INE population FONASA,% of INE population ISAPRE
0–9,Males,"860,632","751,435","129,286",,,
0–9,Females,"832,964","726,177","121,995",,,
0–9,Both sexes,"1,693,785","1,477,777","251,281","2,380,628",71.1,10.6
10–19,Males,"1,137,587","1,088,260","161,814",,,
10–19,Females,"1,106,269","1,059,886","154,158",,,
10–19,Both sexes,"2,244,058","2,148,339","315,972","2,559,525",87.7,12.3
20–29,Males,"1,179,681","1,079,692","145,492",,,
20–29,Females,"1,216,469","1,156,113","129,662",,,
20–29,Both sexes,"2,396,422","2,235,997","275,154","2,742,459",87.4,10.0
30–39,Males,"1,355,094","1,167,262","268,600",,,
30–39,Females,"1,448,300","1,370,073","215,832",,,
30–39,Both sexes,"2,803,716","2,537,530","484,432","3,288,147",85.3,14.7
40–49,Males,"1,058,719","919,350","249,026",,,
40–49,Females,"1,154,750","1,095,725","203,286",,,
40–49,Both sexes,"2,213,642","2,015,183","452,312","2,784,035",79.5,16.2
50–59,Males,"995,615","899,790","179,366",,,
50–59,Females,"1,098,070","1,050,294","163,331",,,
50–59,Both sexes,"2,093,733","1,950,123","342,697","2,463,622",85.0,13.9
60–69,Males,"888,377","817,892","114,881",,,
60–69,Females,"1,015,710","964,870","114,127",,,
60–69,Both sexes,"1,904,121","1,782,791","229,008","2,054,821",92.7,11.1
70–79,Males,"505,906","463,777","55,011",,,
70–79,Females,"634,473","594,596","60,521",,,
70–79,Both sexes,"1,140,388","1,058,382","115,532","1,267,758",90.0,9.1
80+,Males,"237,513","216,847","21,843",,,
80+,Females,"391,330","365,246","28,891",,,
80+,Both sexes,"628,847","582,098","50,734","665,958",94.4,7.6
