Series,Code,Definition era,Year,Month,Month total,Establishments with a row in the month,Reporting establishments in the year,Index (annual mean = 100)
A05 strict-autism entries,05990022,2021–2025,2021,Jan,56,38,449,32.2
A05 strict-autism entries,05990022,2021–2025,2021,Feb,100,66,449,57.6
A05 strict-autism entries,05990022,2021–2025,2021,Mar,143,73,449,82.3
A05 strict-autism entries,05990022,2021–2025,2021,Apr,142,87,449,81.7
A05 strict-autism entries,05990022,2021–2025,2021,May,184,95,449,105.9
A05 strict-autism entries,05990022,2021–2025,2021,Jun,243,98,449,139.9
A05 strict-autism entries,05990022,2021–2025,2021,Jul,172,94,449,99.0
A05 strict-autism entries,05990022,2021–2025,2021,Aug,199,118,449,114.5
A05 strict-autism entries,05990022,2021–2025,2021,Sep,184,114,449,105.9
A05 strict-autism entries,05990022,2021–2025,2021,Oct,200,116,449,115.1
A05 strict-autism entries,05990022,2021–2025,2021,Nov,255,141,449,146.8
A05 strict-autism entries,05990022,2021–2025,2021,Dec,207,119,449,119.1
A05 strict-autism entries,05990022,2021–2025,2022,Jan,275,132,658,71.1
A05 strict-autism entries,05990022,2021–2025,2022,Feb,218,121,658,56.4
A05 strict-autism entries,05990022,2021–2025,2022,Mar,347,177,658,89.7
A05 strict-autism entries,05990022,2021–2025,2022,Apr,377,174,658,97.5
A05 strict-autism entries,05990022,2021–2025,2022,May,408,210,658,105.5
A05 strict-autism entries,05990022,2021–2025,2022,Jun,396,201,658,102.4
A05 strict-autism entries,05990022,2021–2025,2022,Jul,396,203,658,102.4
A05 strict-autism entries,05990022,2021–2025,2022,Aug,505,226,658,130.6
A05 strict-autism entries,05990022,2021–2025,2022,Sep,384,212,658,99.3
A05 strict-autism entries,05990022,2021–2025,2022,Oct,421,222,658,108.9
A05 strict-autism entries,05990022,2021–2025,2022,Nov,414,201,658,107.1
A05 strict-autism entries,05990022,2021–2025,2022,Dec,499,218,658,129.1
A05 strict-autism entries,05990022,2021–2025,2023,Jan,461,247,920,68.7
A05 strict-autism entries,05990022,2021–2025,2023,Feb,449,217,920,66.9
A05 strict-autism entries,05990022,2021–2025,2023,Mar,625,294,920,93.2
A05 strict-autism entries,05990022,2021–2025,2023,Apr,684,294,920,102.0
A05 strict-autism entries,05990022,2021–2025,2023,May,750,339,920,111.8
A05 strict-autism entries,05990022,2021–2025,2023,Jun,642,321,920,95.7
A05 strict-autism entries,05990022,2021–2025,2023,Jul,772,348,920,115.1
A05 strict-autism entries,05990022,2021–2025,2023,Aug,793,346,920,118.2
A05 strict-autism entries,05990022,2021–2025,2023,Sep,659,308,920,98.2
A05 strict-autism entries,05990022,2021–2025,2023,Oct,774,342,920,115.4
A05 strict-autism entries,05990022,2021–2025,2023,Nov,797,347,920,118.8
A05 strict-autism entries,05990022,2021–2025,2023,Dec,643,309,920,95.9
A05 strict-autism entries,05990022,2021–2025,2024,Jan,850,342,"1,070",86.1
A05 strict-autism entries,05990022,2021–2025,2024,Feb,796,362,"1,070",80.7
A05 strict-autism entries,05990022,2021–2025,2024,Mar,891,384,"1,070",90.3
A05 strict-autism entries,05990022,2021–2025,2024,Apr,"1,104",411,"1,070",111.9
A05 strict-autism entries,05990022,2021–2025,2024,May,"1,041",439,"1,070",105.5
A05 strict-autism entries,05990022,2021–2025,2024,Jun,"1,027",457,"1,070",104.1
A05 strict-autism entries,05990022,2021–2025,2024,Jul,"1,190",485,"1,070",120.6
A05 strict-autism entries,05990022,2021–2025,2024,Aug,"1,084",451,"1,070",109.8
A05 strict-autism entries,05990022,2021–2025,2024,Sep,825,396,"1,070",83.6
A05 strict-autism entries,05990022,2021–2025,2024,Oct,"1,124",467,"1,070",113.9
A05 strict-autism entries,05990022,2021–2025,2024,Nov,"1,010",436,"1,070",102.3
A05 strict-autism entries,05990022,2021–2025,2024,Dec,900,390,"1,070",91.2
A05 strict-autism entries,05990022,2021–2025,2025,Jan,890,338,952,81.2
A05 strict-autism entries,05990022,2021–2025,2025,Feb,778,337,952,71.0
A05 strict-autism entries,05990022,2021–2025,2025,Mar,949,395,952,86.6
A05 strict-autism entries,05990022,2021–2025,2025,Apr,"1,141",419,952,104.1
