Region,INE population 2024 (base 2017),GRD F84 episodes 2024 · Full F84 (with Rett),"Per 100,000 pop. (95% CI) · GRD Full F84 (with Rett)",GRD F84 episodes 2024 · F84 without Rett,"Per 100,000 pop. (95% CI) · GRD F84 without Rett",A05 autism entries 2024,Reporting establishments,"Per 100,000 pop. (95% CI) · A05"
Arica y Parinacota,"261,779",184,70.3 (60.5 to 81.2),184,70.3 (60.5 to 81.2),181,12,69.1 (59.4 to 80.0)
Tarapacá,"406,287",230,56.6 (49.5 to 64.4),228,56.1 (49.1 to 63.9),172,17,42.3 (36.2 to 49.2)
Antofagasta,"718,232",485,67.5 (61.7 to 73.8),481,67.0 (61.1 to 73.2),321,26,44.7 (39.9 to 49.9)
Atacama,"319,992",111,34.7 (28.5 to 41.8),110,34.4 (28.3 to 41.4),402,20,125.6 (113.6 to 138.5)
Coquimbo,"879,267",557,63.3 (58.2 to 68.8),555,63.1 (58.0 to 68.6),637,60,72.4 (66.9 to 78.3)
Valparaíso,"2,025,693",936,46.2 (43.3 to 49.3),931,46.0 (43.1 to 49.0),"1,329",126,65.6 (62.1 to 69.2)
Metropolitana,"8,420,729","2,790",33.1 (31.9 to 34.4),"2,754",32.7 (31.5 to 33.9),"3,156",248,37.5 (36.2 to 38.8)
O'Higgins,"1,025,586",303,29.5 (26.3 to 33.1),301,29.3 (26.1 to 32.9),522,76,50.9 (46.6 to 55.5)
Maule,"1,171,982",506,43.2 (39.5 to 47.1),489,41.7 (38.1 to 45.6),583,71,49.7 (45.8 to 54.0)
Ñuble,"521,711",376,72.1 (65.0 to 79.7),375,71.9 (64.8 to 79.5),893,48,171.2 (160.1 to 182.8)
Biobío,"1,686,225","1,096",65.0 (61.2 to 69.0),"1,090",64.6 (60.9 to 68.6),"1,737",151,103.0 (98.2 to 108.0)
La Araucanía,"1,032,164",577,55.9 (51.4 to 60.7),570,55.2 (50.8 to 59.9),811,78,78.6 (73.3 to 84.2)
Los Ríos,"412,786",116,28.1 (23.2 to 33.7),113,27.4 (22.6 to 32.9),282,37,68.3 (60.6 to 76.8)
Los Lagos,"912,171",389,42.6 (38.5 to 47.1),388,42.5 (38.4 to 47.0),653,74,71.6 (66.2 to 77.3)
Aysén,"108,538",75,69.1 (54.4 to 86.6),75,69.1 (54.4 to 86.6),92,15,84.8 (68.3 to 104.0)
Magallanes,"183,235",87,47.5 (38.0 to 58.6),87,47.5 (38.0 to 58.6),71,11,38.7 (30.3 to 48.9)
