ICD-10 subcode,F84 code position,In the variant's code set,2019,2020,2021,2022,2023,2024
F84.0 Childhood autism,Any position,Yes,"1,400","1,084","1,848","3,061","5,325","7,230"
F84.0 Childhood autism,Principal diagnosis,Yes,150,114,139,202,253,280
F84.0 Childhood autism,Secondary position (2–35),Yes,"1,250",970,"1,709","2,859","5,072","6,950"
F84.1 Atypical autism,Any position,Yes,101,63,76,111,218,339
F84.1 Atypical autism,Principal diagnosis,Yes,29,13,15,20,62,41
F84.1 Atypical autism,Secondary position (2–35),Yes,72,50,61,91,156,298
F84.2 Rett syndrome,Any position,No (excluded),55,27,36,57,58,94
F84.2 Rett syndrome,Principal diagnosis,No (excluded),13,6,3,9,5,11
F84.2 Rett syndrome,Secondary position (2–35),No (excluded),42,21,33,48,53,83
F84.3 Other childhood disintegrative disorder,Any position,Yes,5,4,4,5,5,3
F84.3 Other childhood disintegrative disorder,Principal diagnosis,Yes,0,0,0,0,1,0
F84.3 Other childhood disintegrative disorder,Secondary position (2–35),Yes,5,4,4,5,4,3
F84.4 Overactive disorder with mental retardation and stereotyped movements,Any position,Yes,9,8,10,7,14,15
F84.4 Overactive disorder with mental retardation and stereotyped movements,Principal diagnosis,Yes,1,0,0,1,2,2
F84.4 Overactive disorder with mental retardation and stereotyped movements,Secondary position (2–35),Yes,8,8,10,6,12,13
F84.5 Asperger syndrome,Any position,Yes,409,214,236,210,161,139
F84.5 Asperger syndrome,Principal diagnosis,Yes,21,14,11,22,8,10
F84.5 Asperger syndrome,Secondary position (2–35),Yes,388,200,225,188,153,129
F84.8 Other pervasive developmental disorders,Any position,Yes,189,95,84,134,217,343
F84.8 Other pervasive developmental disorders,Principal diagnosis,Yes,16,10,9,12,9,16
F84.8 Other pervasive developmental disorders,Secondary position (2–35),Yes,173,85,75,122,208,327
"F84.9 Pervasive developmental disorder, unspecified",Any position,Yes,259,165,133,364,528,718
"F84.9 Pervasive developmental disorder, unspecified",Principal diagnosis,Yes,11,6,12,38,26,41
"F84.9 Pervasive developmental disorder, unspecified",Secondary position (2–35),Yes,248,159,121,326,502,677
