Series,Code(s),Definition era,Year,December stock,Establishments reporting in December,December stable panel: establishments (n),December stable panel: stock,June stock (sensitivity),Establishments reporting in June,June as % of December
NANEAS population under control: autism spectrum disorder,P2500500,2019–2025,2019,"1,854",460,193,"1,040","1,502",374,81.0%
NANEAS population under control: autism spectrum disorder,P2500500,2019–2025,2020,"1,919",400,193,"1,154",172,28,9.0%
NANEAS population under control: autism spectrum disorder,P2500500,2019–2025,2021,"3,853",640,193,"1,748","2,434",475,63.2%
NANEAS population under control: autism spectrum disorder,P2500500,2019–2025,2022,"7,923",897,193,"2,997","5,364",765,67.7%
NANEAS population under control: autism spectrum disorder,P2500500,2019–2025,2023,"13,190","1,012",193,"4,711","10,523",980,79.8%
NANEAS population under control: autism spectrum disorder,P2500500,2019–2025,2024,"21,737","1,218",193,"6,849","17,743","1,168",81.6%
NANEAS population under control: autism spectrum disorder,P2500500,2019–2025,2025,"29,974","1,325",193,"9,128","26,195","1,256",87.4%
NANEAS population under control: total (from December 2023),P2501878,2023–2025,2023,"59,907","1,187",907,"52,901",not reported (no rows),not reported (no rows),—
NANEAS population under control: total (from December 2023),P2501878,2023–2025,2024,"77,081","1,293",907,"67,127","64,833","1,261",84.1%
NANEAS population under control: total (from December 2023),P2501878,2023–2025,2025,"100,789","1,394",907,"84,833","84,281","1,342",83.6%
Broad PDD under control in primary care (2019–2020),P6223000,2019–2020,2019,"5,520",727,594,"4,837","4,864",707,88.1%
Broad PDD under control in primary care (2019–2020),P6223000,2019–2020,2020,"5,185",695,594,"4,752",725,53,14.0%
Broad PDD under control in specialty care (2019–2020),P6223380,2019–2020,2019,"6,624",111,104,"6,087","6,221",109,93.9%
Broad PDD under control in specialty care (2019–2020),P6223380,2019–2020,2020,"6,905",121,104,"6,250","5,543",105,80.3%
P6 primary care: PDD family of the variant,P6241010+P6241020+P6241040+P6241050,2021–2025,2021,"6,237",815,619,"5,532","5,623",734,90.2%
P6 primary care: PDD family of the variant,P6241010+P6241020+P6241040+P6241050,2021–2025,2022,"10,298",948,619,"8,685","7,523",864,73.1%
P6 primary care: PDD family of the variant,P6241010+P6241020+P6241040+P6241050,2021–2025,2023,"14,895","1,103",619,"12,425","12,010","1,018",80.6%
P6 primary care: PDD family of the variant,P6241010+P6241020+P6241040+P6241050,2021–2025,2024,"20,911","1,258",619,"16,515","19,618","1,182",93.8%
P6 primary care: PDD family of the variant,P6241010+P6241020+P6241040+P6241050,2021–2025,2025,"27,319","1,344",619,"21,144","23,138","1,279",84.7%
P6 specialty care: PDD family of the variant,P6241060+P6241070+P6241090+P6241100,2021–2025,2021,"9,163",132,105,"7,170","8,933",126,97.5%
P6 specialty care: PDD family of the variant,P6241060+P6241070+P6241090+P6241100,2021–2025,2022,"10,719",134,105,"9,113","9,606",126,89.6%
P6 specialty care: PDD family of the variant,P6241060+P6241070+P6241090+P6241100,2021–2025,2023,"13,653",148,105,"11,100","12,694",144,93.0%
P6 specialty care: PDD family of the variant,P6241060+P6241070+P6241090+P6241100,2021–2025,2024,"15,304",158,105,"11,161","15,766",157,103.0%
P6 specialty care: PDD family of the variant,P6241060+P6241070+P6241090+P6241100,2021–2025,2025,"20,365",169,105,"14,951","16,120",159,79.2%
P6 primary care: strict autism,P6241010,2021–2025,2021,"2,257",482,353,"1,853","1,448",359,64.2%
P6 primary care: strict autism,P6241010,2021–2025,2022,"5,042",704,353,"3,629","3,264",592,64.7%
P6 primary care: strict autism,P6241010,2021–2025,2023,"9,717",956,353,"6,359","7,199",835,74.1%
P6 primary care: strict autism,P6241010,2021–2025,2024,"15,934","1,160",353,"9,152","13,996","1,061",87.8%
P6 primary care: strict autism,P6241010,2021–2025,2025,"21,843","1,274",353,"11,783","18,013","1,204",82.5%
P6 specialty care: strict autism,P6241060,2021–2025,2021,"3,562",95,68,"3,027","3,204",90,89.9%
P6 specialty care: strict autism,P6241060,2021–2025,2022,"4,684",113,68,"3,754","4,427",102,94.5%
P6 specialty care: strict autism,P6241060,2021–2025,2023,"7,982",129,68,"5,913","6,624",123,83.0%
P6 specialty care: strict autism,P6241060,2021–2025,2024,"8,835",144,68,"5,733","9,262",139,104.8%
P6 specialty care: strict autism,P6241060,2021–2025,2025,"12,645",153,68,"8,369","9,940",142,78.6%
