Survey,Module,Variable,Role,Variable label (verbatim Spanish),Question wording (verbatim Spanish),Respondent,Universe,Response codes,Missing codes,Treatment in the analysis,Source document
ENDIDE 2022,Adults (18+),c26_33,"main item, adults",Enfermedad o condición de salud: Autismo (Trastorno del espectro autista),"Batería c26 «Enfermedad o condición de salud» (lista de condiciones; el cuestionario no está en el archivo local, se usa la etiqueta del libro de códigos)","Selected person aged 18+ (self, assisted or by proxy according to forma_ent_adulto_inicio)","Selected persons aged 18 years or more (n = 30,010)",0 No; 1 Yes,none (no missing codes; NaN = outside the universe),Numerator = 1; domain = adults with a non-missing item,libro_codigos_endide_2022.pdf (junio 2023)
ENDIDE 2022,Children and adolescents (2–17),n29_19,"main item, children/adolescents",Enfermedad o condición de salud: Autismo (Trastorno del espectro Autista),Batería n29 «Enfermedad o condición de salud» del cuestionario NNA (responsable principal),"Main caregiver of the child/adolescent (mother 77%, rp2)","Selected persons aged 2 to 17 years (n = 5,526)",0 No; 1 Yes,none (NaN = outside the universe),Numerator = 1; domain = children/adolescents with a non-missing item,libro_codigos_endide_2022.pdf (junio 2023)
ENDIDE 2022,Children and adolescents (2–17),n29a_19,"professional confirmation, children/adolescents",¿Le ha dicho un médico que tiene…? Autismo (Trastorno del espectro Autista),"¿Le ha dicho un médico que tiene…? (confirmación profesional, aplicada solo si n29_19 = 1)",Main caregiver of the child/adolescent,Children/adolescents with reported autism (n29_19 = 1; n = 163),1 Yes; 2 No,-99 No answer (10 cases); NaN = not applicable (n29_19 ≠ 1),Primary: domain = valid answers (153); sensitivity: -99 counted as not confirmed (163); also as a proportion of all children/adolescents,libro_codigos_endide_2022.pdf (junio 2023)
ENDIDE 2022,Children and adolescents (2–17),n29b_19,"treatment, children/adolescents",¿Ha recibido medicamento para...? Autismo (Trastorno del espectro Autista),¿Ha recibido medicamento para...? (aplicada solo si n29_19 = 1),Main caregiver of the child/adolescent,Children/adolescents with reported autism (n = 163),1 Yes; 2 No,-99 No answer (10); NaN = not applicable,Secondary; domain = valid answers,libro_codigos_endide_2022.pdf (junio 2023)
ENDIDE 2022,Children and adolescents (2–17),n29c_19,"treatment, children/adolescents",¿Ha recibido otro tratam. para...? Autismo (Trastorno del espectro Autista),¿Ha recibido otro tratamiento para...? (aplicada solo si n29_19 = 1),Main caregiver of the child/adolescent,Children/adolescents with reported autism (n = 163),1 Yes; 2 No,-99 No answer (10); NaN = not applicable,Secondary; domain = valid answers,libro_codigos_endide_2022.pdf (junio 2023)
ENDIDE 2022,Adults (18+),(no existe),note,Confirmación profesional de autismo en adultos,La batería c26 no tiene ítem «¿Le ha dicho un médico…?»; solo c27 (medicamentos habituales) para el conjunto de condiciones,—,—,—,—,Not estimable: professional confirmation is not reported for adults,libro_codigos_endide_2022.pdf (junio 2023)
ENDIDE 2022,Design,fexp,weight,Factor de expansión personas seleccionadas en la muestra,—,—,"Selected persons (n = 35,536); range 24–15,246; sum 19,348,925",numeric,NaN for roster persons not selected,"Weight (pw) in all estimates; product of first-phase (Casen en Pandemia 2020 pre-contact) and second-phase factors, adjusted for ineligibility and non-response and calibrated/smoothed",libro_codigos_endide_2022.pdf (junio 2023); metodologia_diseno_muestral_endide_2022.pdf sección 4
ENDIDE 2022,Design,estrato,stratum,Estrato,—,—,Selected persons; 32 values = region × zone (urban/rural),1–32,none,Variance stratum. The methodological document describes 96 explicit second-phase strata (age band × region × zone) not published as a variable; the 32 published pseudo-strata are used,libro_codigos_endide_2022.pdf (junio 2023); metodologia_diseno_muestral_endide_2022.pdf sección 3.1
ENDIDE 2022,Design,cod_upm,cluster (PSU),Unidad primaria de muestreo,—,—,"Selected persons; 8,477 PSUs (blocks/sections of the Casen en Pandemia 2020 frame); minimum 8 PSUs per stratum",identifier,none,Variance cluster (ultimate-cluster with-replacement approximation); captures correlation among persons of the same dwelling/PSU,libro_codigos_endide_2022.pdf (junio 2023); metodologia_diseno_muestral_endide_2022.pdf sección 4.1
ENDIDE 2022,Design,sexo / edad,disaggregation,¿Es [NOMBRE] hombre o mujer? / ¿Qué edad tiene [NOMBRE]?,—,Household informant,Roster,sex 1 Male 2 Female; age 0–106 (selected 2–104),none,Domains by sex; age groups 18–29/30–44/45–59/60+ (adults) and 2–5/6–11/12–17 (children/adolescents),libro_codigos_endide_2022.pdf (junio 2023)
