Year,Level,Files (microdata · encoding · dictionary · questionnaire),ASD variable,ASD item wording (verbatim Spanish),Observed ASD codes,Filter variable,Filter wording (verbatim Spanish),Auxiliary variables (weight · sex · grade),Other item categories (n),Estimability
2019,Pre-school (pre-kindergarten/kindergarten),EV_2019_JUNAEB_parvularia_desidentificada.csv · utf-8 · diccionario parvularia 2019.xlsx · ENCUESTA PARVULARIA 2019.pdf,absent,absent: the item on a diagnosed illness or chronic condition has no autism spectrum disorder category,—,diag_enfermedad_cron,"El/la niño/a, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo?",not published · sexo · ds_grado,10,not estimable
2019,Grade 1 (1º básico),EV_2019_JUNAEB_1ero_basico_desidentificada.csv · utf-8 · diccionario 1 básico 2019.xlsx · ENCUESTA 1RO BASICO 2019.pdf,absent,absent: the item on a diagnosed illness or chronic condition has no autism spectrum disorder category,—,diag_enfermed_cronic,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo?",not published · sexo · ds_grado,10,not estimable
2019,Grade 5 (5º básico),EV_2019_JUNAEB_5to_basico_desidentificada.csv · utf-8 · diccionario 5 básico 2019.xlsx · 05 ENCUESTA 5TO BASICO 2019.pdf,absent,absent: the item on a diagnosed illness or chronic condition has no autism spectrum disorder category,—,diag_enfermedad_cron,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo?",not published · sexo · ds_grado,10,not estimable
2019,Grade 9 (1º medio),EV_2019_JUNAEB_1ero_medio_desidentificada.csv · utf-8 · diccionario 1 medio 2019.xlsx · ENCUESTA 1RO MEDIO 2019.pdf,absent,absent: the item on a diagnosed illness or chronic condition has no autism spectrum disorder category,—,diag_enfermedcronica,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un largo período de tiempo?",not published · sexo · ds_grado,10,not estimable
2020,Pre-school (pre-kindergarten/kindergarten),EV_2020_JUNAEB_parvularia_desidentificada.csv · utf-8 · — · ENCUESTA PARVULARIA 2020.pdf,absent,absent: the item on a diagnosed illness or chronic condition has no autism spectrum disorder category,—,diag_enfermedad_cron,"El/la niño/a, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo?",not published · sexo · ds_grado,10,not estimable
2020,Grade 1 (1º básico),EV_2020_JUNAEB_1ero_basico_desidentificada.csv · utf-8 · — · ENCUESTA 1RO BASICO 2020.pdf,absent,absent: the item on a diagnosed illness or chronic condition has no autism spectrum disorder category,—,diag_enfermed_cronic,"El/la niño/a, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de Sí salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo?",not published · sexo · ds_grado,10,not estimable
2020,Grade 5 (5º básico),EV_2020_JUNAEB_5to_basico_desidentificada.csv · utf-8 · — · ENCUESTA 5TO BASICO 2020.pdf,absent,absent: the item on a diagnosed illness or chronic condition has no autism spectrum disorder category,—,diag_enfermedad_cron,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un largo período de tiempo?",not published · sexo · ds_grado,10,not estimable
2020,Grade 9 (1º medio),EV_2020_JUNAEB_1ero_medio_desidentificada.csv · utf-8 · — · ENCUESTA 1RO MEDIO 2020.pdf,absent,absent: the item on a diagnosed illness or chronic condition has no autism spectrum disorder category,—,diag_enfermedcronica,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un largo período de tiempo?",not published · sexo · ds_grado,10,not estimable
2021,Pre-school (pre-kindergarten/kindergarten),EV_2021_JUNAEB_parvularia_desidentificada.csv · utf-8 · diccionario EVE 2021 parvularia.xlsx · ENCUESTA PARVULARIA 2021 27012021.pdf,absent,absent: the item on a diagnosed illness or chronic condition has no autism spectrum disorder category,—,DIAG_ENFERMEDAD_CRON,El/la estudiante ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo?,not published · SEXO · DS_GRADO,10,not estimable
2021,Grade 1 (1º básico),EV_2021_JUNAEB_1ero_basico_desidentificada.csv · utf-8 · diccionario EVE 2021 primero basico.xlsx · ENCUESTA 1º BÁSICO 2021 22012021.pdf,absent,absent: the item on a diagnosed illness or chronic condition has no autism spectrum disorder category,—,DIAG_ENFERMED_CRONIC,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo?",not published · SEXO · DS_GRADO,10,not estimable
