Source,Role,Provider,File,Size (MB),SHA-256 (first 12),Download/version date,Observation unit,Period,Stock / flow,Definition breaks,Linkage restrictions,Use rule,SHA-256 matches manifest
grd_publico,data,FONASA,GRD_PUBLICO_2019.csv,572.54,1b86155938fd,2026-09-01 (SOURCES_MANIFEST.md consolidation date); file mtime 2025-09-29,GRD episode (one row per financed/coded hospital episode: hospitalisation or major ambulatory surgery),2019,flow (episodes discharged in the year),"Encrypted identifier changes format between 2020 and 2021 (zero overlap); hospital panel 65/65/65/65/68/72; mean coding depth rises from 4.39 (2019) to 5.78 (2024) diagnoses per episode; 2019 contains day-hospital and emergency activity categories absent from 2020; GRD_PUBLICO_2022.csv omits one malformed source row (932,839 vs 932,840 records; see GRD/metadata/SOURCES_MANIFEST.md)","Unique persons only within each year; never deduplicate across 2020/2021; no person-level linkage to REM, DEIS, FONASA, surveys or education","Primary hospital estimand: GRD episodes with documented F84 in any diagnosis position per 100,000 GRD episodes; F84 principal, strict hospitalisation vs major ambulatory surgery, fixed panel of 65 hospitals and coding-depth stratification are mandatory sensitivities; never label as 'hospitalisations for autism', prevalence or incidence; reproduce config.CONTROLS['grd_*'] before modelling",Yes
grd_publico,data,FONASA,GRD_PUBLICO_2020.csv,397.03,e5205ff37d45,2026-09-01 (SOURCES_MANIFEST.md consolidation date); file mtime 2025-09-29,GRD episode (one row per financed/coded hospital episode: hospitalisation or major ambulatory surgery),2020,flow (episodes discharged in the year),"Encrypted identifier changes format between 2020 and 2021 (zero overlap); hospital panel 65/65/65/65/68/72; mean coding depth rises from 4.39 (2019) to 5.78 (2024) diagnoses per episode; 2019 contains day-hospital and emergency activity categories absent from 2020; GRD_PUBLICO_2022.csv omits one malformed source row (932,839 vs 932,840 records; see GRD/metadata/SOURCES_MANIFEST.md)","Unique persons only within each year; never deduplicate across 2020/2021; no person-level linkage to REM, DEIS, FONASA, surveys or education","Primary hospital estimand: GRD episodes with documented F84 in any diagnosis position per 100,000 GRD episodes; F84 principal, strict hospitalisation vs major ambulatory surgery, fixed panel of 65 hospitals and coding-depth stratification are mandatory sensitivities; never label as 'hospitalisations for autism', prevalence or incidence; reproduce config.CONTROLS['grd_*'] before modelling",Yes
grd_publico,data,FONASA,GRD_PUBLICO_2021.csv,428.66,9b1506bc327b,2026-09-01 (SOURCES_MANIFEST.md consolidation date); file mtime 2025-09-29,GRD episode (one row per financed/coded hospital episode: hospitalisation or major ambulatory surgery),2021,flow (episodes discharged in the year),"Encrypted identifier changes format between 2020 and 2021 (zero overlap); hospital panel 65/65/65/65/68/72; mean coding depth rises from 4.39 (2019) to 5.78 (2024) diagnoses per episode; 2019 contains day-hospital and emergency activity categories absent from 2020; GRD_PUBLICO_2022.csv omits one malformed source row (932,839 vs 932,840 records; see GRD/metadata/SOURCES_MANIFEST.md)","Unique persons only within each year; never deduplicate across 2020/2021; no person-level linkage to REM, DEIS, FONASA, surveys or education","Primary hospital estimand: GRD episodes with documented F84 in any diagnosis position per 100,000 GRD episodes; F84 principal, strict hospitalisation vs major ambulatory surgery, fixed panel of 65 hospitals and coding-depth stratification are mandatory sensitivities; never label as 'hospitalisations for autism', prevalence or incidence; reproduce config.CONTROLS['grd_*'] before modelling",Yes
grd_publico,data,FONASA,GRD_PUBLICO_2022.csv,484.76,dc0f5a2bf258,2026-09-01 (SOURCES_MANIFEST.md consolidation date); file mtime 2025-09-29,GRD episode (one row per financed/coded hospital episode: hospitalisation or major ambulatory surgery),2022,flow (episodes discharged in the year),"Encrypted identifier changes format between 2020 and 2021 (zero overlap); hospital panel 65/65/65/65/68/72; mean coding depth rises from 4.39 (2019) to 5.78 (2024) diagnoses per episode; 2019 contains day-hospital and emergency activity categories absent from 2020; GRD_PUBLICO_2022.csv omits one malformed source row (932,839 vs 932,840 records; see GRD/metadata/SOURCES_MANIFEST.md)","Unique persons only within each year; never deduplicate across 2020/2021; no person-level linkage to REM, DEIS, FONASA, surveys or education","Primary hospital estimand: GRD episodes with documented F84 in any diagnosis position per 100,000 GRD episodes; F84 principal, strict hospitalisation vs major ambulatory surgery, fixed panel of 65 hospitals and coding-depth stratification are mandatory sensitivities; never label as 'hospitalisations for autism', prevalence or incidence; reproduce config.CONTROLS['grd_*'] before modelling",Yes
grd_publico,data,FONASA,GRD_PUBLICO_2023.csv,542.63,191cc389cf65,2026-09-01 (SOURCES_MANIFEST.md consolidation date); file mtime 2025-09-29,GRD episode (one row per financed/coded hospital episode: hospitalisation or major ambulatory surgery),2023,flow (episodes discharged in the year),"Encrypted identifier changes format between 2020 and 2021 (zero overlap); hospital panel 65/65/65/65/68/72; mean coding depth rises from 4.39 (2019) to 5.78 (2024) diagnoses per episode; 2019 contains day-hospital and emergency activity categories absent from 2020; GRD_PUBLICO_2022.csv omits one malformed source row (932,839 vs 932,840 records; see GRD/metadata/SOURCES_MANIFEST.md)","Unique persons only within each year; never deduplicate across 2020/2021; no person-level linkage to REM, DEIS, FONASA, surveys or education","Primary hospital estimand: GRD episodes with documented F84 in any diagnosis position per 100,000 GRD episodes; F84 principal, strict hospitalisation vs major ambulatory surgery, fixed panel of 65 hospitals and coding-depth stratification are mandatory sensitivities; never label as 'hospitalisations for autism', prevalence or incidence; reproduce config.CONTROLS['grd_*'] before modelling",Yes
grd_publico,data,FONASA,GRD_PUBLICO_2024.csv,571.29,e3b587da0ea5,2026-09-01 (SOURCES_MANIFEST.md consolidation date); file mtime 2025-09-29,GRD episode (one row per financed/coded hospital episode: hospitalisation or major ambulatory surgery),2024,flow (episodes discharged in the year),"Encrypted identifier changes format between 2020 and 2021 (zero overlap); hospital panel 65/65/65/65/68/72; mean coding depth rises from 4.39 (2019) to 5.78 (2024) diagnoses per episode; 2019 contains day-hospital and emergency activity categories absent from 2020; GRD_PUBLICO_2022.csv omits one malformed source row (932,839 vs 932,840 records; see GRD/metadata/SOURCES_MANIFEST.md)","Unique persons only within each year; never deduplicate across 2020/2021; no person-level linkage to REM, DEIS, FONASA, surveys or education","Primary hospital estimand: GRD episodes with documented F84 in any diagnosis position per 100,000 GRD episodes; F84 principal, strict hospitalisation vs major ambulatory surgery, fixed panel of 65 hospitals and coding-depth stratification are mandatory sensitivities; never label as 'hospitalisations for autism', prevalence or incidence; reproduce config.CONTROLS['grd_*'] before modelling",Yes
grd_dictionaries,dictionary,FONASA,CIE-10.xlsx,1.68,c2268cfdcae6,2026-09-04 (download_manifest.csv downloaded_at_utc),"Code dictionary / master table (ICD-10, ICD-9-CM procedures, GRD master tables)",versions published with GRD 2019–2024,not applicable (dictionary),Verify the version applicable to each GRD year (source_registry.csv),not applicable,Interpretation of GRD codes and categories only; never a data input,Yes
grd_dictionaries,dictionary,FONASA,CIE-9_MC.xlsx,0.18,77ca671804dc,2026-09-04 (download_manifest.csv downloaded_at_utc),"Code dictionary / master table (ICD-10, ICD-9-CM procedures, GRD master tables)",versions published with GRD 2019–2024,not applicable (dictionary),Verify the version applicable to each GRD year (source_registry.csv),not applicable,Interpretation of GRD codes and categories only; never a data input,Yes
grd_dictionaries,dictionary,FONASA,tablas_maestras_bases_GRD.xlsx,0.05,29da22ac27a7,2026-09-04 (download_manifest.csv downloaded_at_utc),"Code dictionary / master table (ICD-10, ICD-9-CM procedures, GRD master tables)",versions published with GRD 2019–2024,not applicable (dictionary),Verify the version applicable to each GRD year (source_registry.csv),not applicable,Interpretation of GRD codes and categories only; never a data input,Yes
grd_dictionaries,dictionary,FONASA,códigos grd.xlsx,0.05,66bb84d33d01,2024-02-28 (file mtime; not dated in any manifest),"Code dictionary / master table (ICD-10, ICD-9-CM procedures, GRD master tables)",local codebook used by scripts/grd_epidemiology.py,not applicable (dictionary),Verify the version applicable to each GRD year (source_registry.csv),not applicable,Interpretation of GRD codes and categories only; never a data input,not listed in any manifest
rem_serie_a,data,"DEIS, Ministerio de Salud",SerieA_2019.csv,503.97,87d8c15c25d3,2026-07-07 (REM/SerieA/.rem_manifest.json normalizado_en),Establishment x month x REM code row (Col01..Col50 cells of Serie A monthly statistical register),2019,"flow (monthly activity: screenings, interventions, programme entries/exits)","A03: legacy subgroup codes 2019–2022 (children with language/social alteration), new M-CHAT-R/F family 2023, 31–59-month codes added 2024, full redesign 2025; A05: broad PDD only in 2019–2020, strict autism and disaggregated categories from 2021; A27 TEA-specific codes only from 2023 (earlier assisted-referral codes concern alcohol/drugs); A28 autism rehabilitation from 2023; 2020 reporting disruption (pandemic); SerieA_2025.csv keeps one incomplete trailing row from the source publication","Aggregate rows without persons; A27 counts interventions not children; no linkage between A03, A27, A05, A28, P2/P6 or GRD","Build tidy establishment x month x code tables keeping zero, empty and 'no row reported' as distinct states; facet by definition era; report reporting establishments; confirm every code against the annual Serie A dictionary; treat 2020 as a reporting-disruption year without interpolation; reproduce config.CONTROLS a05/a27/a28/a03 totals",Yes
rem_serie_a_dictionary,dictionary,"DEIS, Ministerio de Salud",SA_19_V1.3-CODIGOS.xlsm,1.51,32d5f0aa2499,2026-07-07 (file mtime; not dated in any manifest),"Annual Serie A code dictionary (one sheet per REM section: A03, A05, A27, A28, ...)",2019,not applicable (dictionary),File naming changes in 2023 (DICCIONARIO CODIGOS SA_yy); code families change as listed for rem_serie_a,not applicable,Confirm every code and column position of scripts/downloads/rem_pathway_codes.csv for the given year before extraction (scripts/audit_rem.py pattern),not listed in any manifest
rem_serie_a,data,"DEIS, Ministerio de Salud",SerieA_2020.csv,326.90,732bf4d7e7f7,2026-07-07 (REM/SerieA/.rem_manifest.json normalizado_en),Establishment x month x REM code row (Col01..Col50 cells of Serie A monthly statistical register),2020,"flow (monthly activity: screenings, interventions, programme entries/exits)","A03: legacy subgroup codes 2019–2022 (children with language/social alteration), new M-CHAT-R/F family 2023, 31–59-month codes added 2024, full redesign 2025; A05: broad PDD only in 2019–2020, strict autism and disaggregated categories from 2021; A27 TEA-specific codes only from 2023 (earlier assisted-referral codes concern alcohol/drugs); A28 autism rehabilitation from 2023; 2020 reporting disruption (pandemic); SerieA_2025.csv keeps one incomplete trailing row from the source publication","Aggregate rows without persons; A27 counts interventions not children; no linkage between A03, A27, A05, A28, P2/P6 or GRD","Build tidy establishment x month x code tables keeping zero, empty and 'no row reported' as distinct states; facet by definition era; report reporting establishments; confirm every code against the annual Serie A dictionary; treat 2020 as a reporting-disruption year without interpolation; reproduce config.CONTROLS a05/a27/a28/a03 totals",Yes
rem_serie_a_dictionary,dictionary,"DEIS, Ministerio de Salud",SA_20_V1.2-CODIGOS.xlsx,1.15,564b5daf0e59,2026-07-07 (file mtime; not dated in any manifest),"Annual Serie A code dictionary (one sheet per REM section: A03, A05, A27, A28, ...)",2020,not applicable (dictionary),File naming changes in 2023 (DICCIONARIO CODIGOS SA_yy); code families change as listed for rem_serie_a,not applicable,Confirm every code and column position of scripts/downloads/rem_pathway_codes.csv for the given year before extraction (scripts/audit_rem.py pattern),not listed in any manifest
rem_serie_a,data,"DEIS, Ministerio de Salud",SerieA_2021.csv,473.29,9828d22047f8,2026-07-07 (REM/SerieA/.rem_manifest.json normalizado_en),Establishment x month x REM code row (Col01..Col50 cells of Serie A monthly statistical register),2021,"flow (monthly activity: screenings, interventions, programme entries/exits)","A03: legacy subgroup codes 2019–2022 (children with language/social alteration), new M-CHAT-R/F family 2023, 31–59-month codes added 2024, full redesign 2025; A05: broad PDD only in 2019–2020, strict autism and disaggregated categories from 2021; A27 TEA-specific codes only from 2023 (earlier assisted-referral codes concern alcohol/drugs); A28 autism rehabilitation from 2023; 2020 reporting disruption (pandemic); SerieA_2025.csv keeps one incomplete trailing row from the source publication","Aggregate rows without persons; A27 counts interventions not children; no linkage between A03, A27, A05, A28, P2/P6 or GRD","Build tidy establishment x month x code tables keeping zero, empty and 'no row reported' as distinct states; facet by definition era; report reporting establishments; confirm every code against the annual Serie A dictionary; treat 2020 as a reporting-disruption year without interpolation; reproduce config.CONTROLS a05/a27/a28/a03 totals",Yes
