Source,File,Manifest,Manifest SHA-256 (12),Observed SHA-256 (12),SHA match,Manifest bytes,Observed bytes,Bytes match,Manifest date,Manifest note
grd_publico,GRD_PUBLICO_2019.csv,GRD/metadata/SOURCES_MANIFEST.md,1b86155938fd,1b86155938fd,Yes,—,"572,538,107",no size in manifest,2026-09-01,"canonical records=1,151,475; date = consolidation date of the manifest"
grd_publico,GRD_PUBLICO_2020.csv,GRD/metadata/SOURCES_MANIFEST.md,e5205ff37d45,e5205ff37d45,Yes,—,"397,026,770",no size in manifest,2026-09-01,"canonical records=781,912; date = consolidation date of the manifest"
grd_publico,GRD_PUBLICO_2021.csv,GRD/metadata/SOURCES_MANIFEST.md,9b1506bc327b,9b1506bc327b,Yes,—,"428,657,870",no size in manifest,2026-09-01,"canonical records=816,909; date = consolidation date of the manifest"
grd_publico,GRD_PUBLICO_2022.csv,GRD/metadata/SOURCES_MANIFEST.md,dc0f5a2bf258,dc0f5a2bf258,Yes,—,"484,759,208",no size in manifest,2026-09-01,"canonical records=932,839; date = consolidation date of the manifest"
grd_publico,GRD_PUBLICO_2023.csv,GRD/metadata/SOURCES_MANIFEST.md,191cc389cf65,191cc389cf65,Yes,—,"542,631,171",no size in manifest,2026-09-01,"canonical records=1,039,587; date = consolidation date of the manifest"
grd_publico,GRD_PUBLICO_2024.csv,GRD/metadata/SOURCES_MANIFEST.md,e3b587da0ea5,e3b587da0ea5,Yes,—,"571,293,858",no size in manifest,2026-09-01,"canonical records=1,085,813; date = consolidation date of the manifest"
grd_dictionaries,CIE-10.xlsx,Autism/metadata/download_manifest.csv,c2268cfdcae6,c2268cfdcae6,Yes,"1,680,916","1,680,916",Yes,2026-09-04,status=downloaded; source_url=https://www.fonasa.cl/assets/datos-abiertos/Financiamiento_y_Gasto_en_Salud/CIE-10.xlsx
grd_dictionaries,CIE-9_MC.xlsx,Autism/metadata/download_manifest.csv,77ca671804dc,77ca671804dc,Yes,"182,615","182,615",Yes,2026-09-04,status=downloaded; source_url=https://www.fonasa.cl/assets/datos-abiertos/Financiamiento_y_Gasto_en_Salud/CIE-9%20.xlsx
grd_dictionaries,tablas_maestras_bases_GRD.xlsx,Autism/metadata/download_manifest.csv,29da22ac27a7,29da22ac27a7,Yes,"54,710","54,710",Yes,2026-09-04,status=downloaded; source_url=https://www.fonasa.cl/assets/datos-abiertos/Financiamiento_y_Gasto_en_Salud/Tablas%20maestras%20bases%20GRD%20.xlsx
grd_dictionaries,códigos grd.xlsx,not listed in any manifest,—,66bb84d33d01,not listed in any manifest,—,"54,065",not listed in any manifest,—,not listed in any manifest
rem_serie_a,SerieA_2019.csv,REM/SerieA/metadata/canonical_manifest.csv,87d8c15c25d3,87d8c15c25d3,Yes,"503,967,558","503,967,558",Yes,2026-07-07,date = normalisation date in REM/SerieA/.rem_manifest.json
rem_serie_a_dictionary,SA_19_V1.3-CODIGOS.xlsm,not listed in any manifest,—,32d5f0aa2499,not listed in any manifest,—,"1,509,697",not listed in any manifest,—,not listed in any manifest
rem_serie_a,SerieA_2020.csv,REM/SerieA/metadata/canonical_manifest.csv,732bf4d7e7f7,732bf4d7e7f7,Yes,"326,901,209","326,901,209",Yes,2026-07-07,date = normalisation date in REM/SerieA/.rem_manifest.json
rem_serie_a_dictionary,SA_20_V1.2-CODIGOS.xlsx,not listed in any manifest,—,564b5daf0e59,not listed in any manifest,—,"1,147,246",not listed in any manifest,—,not listed in any manifest
rem_serie_a,SerieA_2021.csv,REM/SerieA/metadata/canonical_manifest.csv,9828d22047f8,9828d22047f8,Yes,"473,288,133","473,288,133",Yes,2026-07-07,date = normalisation date in REM/SerieA/.rem_manifest.json
rem_serie_a_dictionary,SA_21_V1.2-CODIGOS.xlsm,not listed in any manifest,—,36d8b8f78665,not listed in any manifest,—,"1,937,271",not listed in any manifest,—,not listed in any manifest
rem_serie_a,SerieA_2022.csv,REM/SerieA/metadata/canonical_manifest.csv,ad02113f713e,ad02113f713e,Yes,"563,999,695","563,999,695",Yes,2026-07-07,date = normalisation date in REM/SerieA/.rem_manifest.json
rem_serie_a_dictionary,SA_22_V1.1-CODIGOS.xlsm,not listed in any manifest,—,755c32f250cc,not listed in any manifest,—,"1,740,042",not listed in any manifest,—,not listed in any manifest
