Year,Series,Identifier column,Episodes with F84,With valid identifier,Without valid identifier (values),Unique identifiers (persons within the year),Identifier length: mode (min–max),F84 identifiers shared with the previous year (informative),F84 episodes with reported comuna,Total GRD episodes,GRD episodes with valid identifier,Exact duplicate F84 rows (not removed)
2019,F84 family excluding Rett syndrome,CIP_ENCRIPTADO,"2,334","2,330",4 (SIN INFORMACIÓN:4),"1,944",6 (3–7),first year,"2,334","1,151,475","1,143,168",0
2020,F84 family excluding Rett syndrome,CIP_ENCRIPTADO,"1,609","1,609",0,"1,319",6 (4–7),160,"1,609","781,912","780,019",1
2021,F84 family excluding Rett syndrome,CIP_ENCRIPTADO,"2,367","2,367",0,"1,954",8 (8–8),0,"2,367","816,909","814,865",0
2022,F84 family excluding Rett syndrome,CIP_ENCRIPTADO,"3,859","3,856",3 (DESCONOCIDO:3),"3,231",8 (8–9),245,"3,859","932,839","929,890",0
2023,F84 family excluding Rett syndrome,CIP_ENCRIPTADO,"6,423","6,421",2 (DESCONOCIDO:2),"5,232",8 (8–9),448,"6,423","1,039,587","1,037,952",0
2024,F84 family excluding Rett syndrome,ID_BENEFICIARIO,"8,731","8,730",1 (DESCONOCIDO:1),"7,169",8 (8–9),749,"8,731","1,085,813","1,084,776",0
2019,F84.0 only (childhood autism; identical in both variants),CIP_ENCRIPTADO,"1,400","1,398",2 (SIN INFORMACIÓN:2),"1,190",6 (3–7),first year,"1,400","1,151,475","1,143,168",0
2020,F84.0 only (childhood autism; identical in both variants),CIP_ENCRIPTADO,"1,084","1,084",0,890,6 (4–7),88,"1,084","781,912","780,019",1
2021,F84.0 only (childhood autism; identical in both variants),CIP_ENCRIPTADO,"1,848","1,848",0,"1,553",8 (8–8),0,"1,848","816,909","814,865",0
2022,F84.0 only (childhood autism; identical in both variants),CIP_ENCRIPTADO,"3,061","3,058",3 (DESCONOCIDO:3),"2,606",8 (8–9),187,"3,061","932,839","929,890",0
2023,F84.0 only (childhood autism; identical in both variants),CIP_ENCRIPTADO,"5,325","5,324",1 (DESCONOCIDO:1),"4,442",8 (8–9),342,"5,325","1,039,587","1,037,952",0
2024,F84.0 only (childhood autism; identical in both variants),ID_BENEFICIARIO,"7,230","7,229",1 (DESCONOCIDO:1),"6,016",8 (8–9),590,"7,230","1,085,813","1,084,776",0
