Block,Indicator,"Source (table, page)",2019,2020,2021,2022,2023,2024,2025
"PIE / SINACES (annual school stock; subsidy registration, not prevalence)",PIE strict ASD (n),"Apuntes 60 (2024), Table 6, p. 11","11,877","13,613","18,801","28,845","47,551",not published,not published
"PIE / SINACES (annual school stock; subsidy registration, not prevalence)",PIE ASD-Asperger (n),"Apuntes 60 (2024), Table 6, p. 11","9,135","9,977","12,081","14,095","16,091",not published,not published
"PIE / SINACES (annual school stock; subsidy registration, not prevalence)","Harmonised PIE ASD + ASD-Asperger (n): Apuntes 60 (2019–2023), SINACES (2024–2025)","Apuntes 60, Table 6, p. 11 (2019–2023); SINACES, Table 1, p. 8 (2024–2025)","21,012","23,590","30,882","42,940","63,642","86,475","106,786"
"PIE / SINACES (annual school stock; subsidy registration, not prevalence)","SINACES autistic students in PIE (n), as published","Law 21.545 SINACES report (2025), Table 1, p. 8",not published,not published,not published,"42,945 ‡","63,642","86,475","106,786"
"PIE / SINACES (annual school stock; subsidy registration, not prevalence)","SINACES autistic students in the education system, total (n)","Law 21.545 SINACES report (2025), Table 1, p. 8",not published,not published,not published,"45,014","65,940","88,980","109,412"
"PIE / SINACES (annual school stock; subsidy registration, not prevalence)",Special schools: autistic students (n),"Law 21.545 SINACES report (2025), Table 1, p. 8",not published,not published,not published,"2,074","2,298","2,505","2,626"
"PIE / SINACES (annual school stock; subsidy registration, not prevalence)","Total PIE enrolment, Apuntes 60 (n)","Apuntes 60 (2024), Table 6, p. 11","385,995","343,059","396,765","438,760","473,006",not published,not published
"PIE / SINACES (annual school stock; subsidy registration, not prevalence)","Total PIE applicants, SINACES (n)","Law 21.545 SINACES report (2025), Table 2, p. 9",not published,not published,not published,"438,783","473,006","499,110","475,710"
"PIE / SINACES (annual school stock; subsidy registration, not prevalence)",Strict ASD as % of PIE enrolment,derived from the series above,3.1%,4.0%,4.7%,6.6%,10.1%,not published,not published
"PIE / SINACES (annual school stock; subsidy registration, not prevalence)",Harmonised as % of PIE enrolment,derived from the series above,5.4%,6.9%,7.8%,9.8%,13.5%,not published,not published
"PIE / SINACES (annual school stock; subsidy registration, not prevalence)",Harmonised as % of PIE applicants (SINACES),derived from the series above,not published,not published,not published,9.8%,13.5%,17.3%,22.4%
"PIE / SINACES (annual school stock; subsidy registration, not prevalence)",Exceptional PIE entry of autistic students (n),"Law 21.545 SINACES report (2025), Table 2, p. 9",not published,not published,not published,"5,643","11,906","19,629","28,119"
"PIE / SINACES (annual school stock; subsidy registration, not prevalence)",Regular PIE entry of autistic students (n),"Law 21.545 SINACES report (2025), Table 2, p. 9",not published,not published,not published,"37,302","51,736","66,846","78,667"
JUNAEB EVE (caregiver report in selected school cohorts; weighted %),Pre-school (pre-kindergarten/kindergarten): weighted % with ASD (95% CI),JUNAEB EVE microdata by level and year (annual item and weight in the numeric version),n/e (no ASD item),n/e (no ASD item),n/e (no ASD item),n/e (no ASD item),n/e (no published weight),6.74 (6.64–6.84),7.69 (7.58–7.80)
JUNAEB EVE (caregiver report in selected school cohorts; weighted %),Pre-school (pre-kindergarten/kindergarten): students in the file; unweighted ASD (n; n),JUNAEB EVE microdata by level and year (annual item and weight in the numeric version),"364,967; —","337,917; —","320,233; —","313,688; —","261,098; 11,388","258,255; 17,641","239,332; 18,785"
JUNAEB EVE (caregiver report in selected school cohorts; weighted %),Grade 1 (1º básico): weighted % with ASD (95% CI),JUNAEB EVE microdata by level and year (annual item and weight in the numeric version),n/e (no ASD item),n/e (no ASD item),n/e (no ASD item),n/e (no ASD item),n/e (no published weight),6.60 (6.48–6.73),8.35 (8.20–8.49)
JUNAEB EVE (caregiver report in selected school cohorts; weighted %),Grade 1 (1º básico): students in the file; unweighted ASD (n; n),JUNAEB EVE microdata by level and year (annual item and weight in the numeric version),"217,506; —","179,201; —","190,518; —","191,649; —","159,887; 6,660","154,166; 10,245","148,970; 12,536"
JUNAEB EVE (caregiver report in selected school cohorts; weighted %),Grade 5 (5º básico): weighted % with ASD (95% CI),JUNAEB EVE microdata by level and year (annual item and weight in the numeric version),n/e (no ASD item),n/e (no ASD item),n/e (no ASD item),n/e (no ASD item),n/e (no published weight),4.49 (4.39–4.59),5.71 (5.60–5.82)
JUNAEB EVE (caregiver report in selected school cohorts; weighted %),Grade 5 (5º básico): students in the file; unweighted ASD (n; n),JUNAEB EVE microdata by level and year (annual item and weight in the numeric version),"208,846; —","192,349; —","196,691; —","195,457; —","166,218; 4,822","165,533; 7,468","171,925; 9,887"
JUNAEB EVE (caregiver report in selected school cohorts; weighted %),Grade 9 (1º medio): weighted % with ASD (95% CI),JUNAEB EVE microdata by level and year (annual item and weight in the numeric version),n/e (no ASD item),n/e (no ASD item),n/e (no ASD item),n/e (no ASD item),n/e (no published weight),n/e (empty variable),5.03 (4.93–5.14)
JUNAEB EVE (caregiver report in selected school cohorts; weighted %),Grade 9 (1º medio): students in the file; unweighted ASD (n; n),JUNAEB EVE microdata by level and year (annual item and weight in the numeric version),"206,665; —","185,734; —","195,505; —","199,027; —","178,466; 4,618","184,963; —","183,573; 9,164"
