Estimand,Series / variant,Specification (panel; activity; position; denominator/offset; covariates; family),Years,n (obs.),APC % (95% CI),p value (Wald),Dispersion (Pearson χ²/df),Notes
"GRD: episodes with documented F84 per 100,000 GRD episodes",F84 any position — F84 without Rett,"observed annual panel; all activity; any position; offset log(GRD episodes, same panel and activity); no covariates",2019–2024,6,35.9 (30.0–42.1),< 0.001,33.19,—
"GRD: episodes with documented F84 per 100,000 GRD episodes",F84 any position — F84 without Rett,"observed annual panel; all activity; any position; offset log(GRD episodes, same panel and activity); mean coding depth (centred)",2019–2024,6,46.9 (40.8–53.3),< 0.001,6.55,depth = coded diagnoses per episode
"GRD: episodes with documented F84 per 100,000 GRD episodes",F84 any position — F84 without Rett,"observed annual panel; all activity; any position; offset log(GRD episodes, same panel and activity); 2020–2021 reporting-disruption indicator",2019–2024,6,32.9 (28.4–37.6),< 0.001,15.06,"the 2020–2021 indicator describes reporting disruption, not a causal effect"
"GRD: episodes with documented F84 per 100,000 GRD episodes",F84 any position — F84 without Rett,"observed annual panel; all activity; any position; offset log(GRD episodes, same panel and activity); no covariates",2021–2024,4,40.1 (33.9–46.6),< 0.001,12.13,—
"GRD: episodes with documented F84 per 100,000 GRD episodes",F84 any position — F84 without Rett,"fixed panel of 65 hospitals; all activity; any position; offset log(GRD episodes, same panel and activity); no covariates",2019–2024,6,36.1 (30.1–42.5),< 0.001,34.13,—
"GRD: episodes with documented F84 per 100,000 GRD episodes",F84 any position — F84 without Rett,"fixed panel of 65 hospitals; all activity; any position; offset log(GRD episodes, same panel and activity); mean coding depth (centred)",2019–2024,6,47.1 (41.0–53.6),< 0.001,6.72,depth = coded diagnoses per episode
"GRD: episodes with documented F84 per 100,000 GRD episodes",F84 any position — F84 without Rett,"observed annual panel; strict hospitalisation; any position; offset log(GRD episodes, same panel and activity); no covariates",2019–2024,6,37.2 (30.6–44.1),< 0.001,35.03,—
"GRD: episodes with documented F84 per 100,000 GRD episodes",F84 any position — F84 without Rett,"observed annual panel; strict hospitalisation; any position; offset log(GRD episodes, same panel and activity); mean coding depth (centred)",2019–2024,6,58.1 (46.2–71.0),< 0.001,7.91,depth = coded diagnoses per episode
"GRD: episodes with documented F84 per 100,000 GRD episodes",F84 principal — F84 without Rett,"observed annual panel; all activity; principal; offset log(GRD episodes, same panel and activity); no covariates",2019–2024,6,14.6 (10.2–19.3),< 0.001,1.97,small numerator (principal F84): wide CI
"GRD: episodes with documented F84 per 100,000 GRD episodes",F84 principal — F84 without Rett,"observed annual panel; all activity; principal; offset log(GRD episodes, same panel and activity); mean coding depth (centred)",2019–2024,6,20.0 (11.4–29.3),< 0.001,1.62,depth = coded diagnoses per episode; small numerator (principal F84): wide CI
"GRD: episodes with documented F84 per 100,000 GRD episodes",F84 principal — F84 without Rett,"fixed panel of 65 hospitals; all activity; principal; offset log(GRD episodes, same panel and activity); no covariates",2019–2024,6,14.9 (10.5–19.5),< 0.001,1.90,small numerator (principal F84): wide CI
"GRD: episodes with documented F84 per 100,000 GRD episodes",F84 any position — F84.0 only (identical in both variants),"observed annual panel; all activity; any position; offset log(GRD episodes, same panel and activity); no covariates",2019–2024,6,43.6 (38.4–49.1),< 0.001,16.93,series identical in both variants
