Estimand,Source,Variant,Outcome (numerator),Denominator / offset,Panel,Activity,Code position,Covariates,Years,n (obs.),APC % (95% CI),p value (Wald),Dispersion (Pearson χ²/df),Durbin–Watson,Model family,Note
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,No covariates,2019–2024,6,35.9 (30.0 to 42.1),< 0.001,33.19,1.73,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,Mean coding depth (centred),2019–2024,6,46.9 (40.8 to 53.3),< 0.001,6.55,3.63,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,2020–2021 reporting-disruption indicator,2019–2024,6,32.9 (28.4 to 37.6),< 0.001,15.06,2.83,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,Mean coding depth + 2020–2021 disruption indicator,2019–2024,6,58.3 (35.0 to 85.6),< 0.001,6.72,3.42,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,No covariates,2021–2024,4,40.1 (33.9 to 46.6),< 0.001,12.13,2.60,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,Mean coding depth (centred),2021–2024,4,44.2 (34.1 to 55.1),< 0.001,11.98,3.40,Quasi-Poisson log-linear,"One residual degree of freedom: dispersion very unstable. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Principal,No covariates,2019–2024,6,14.6 (10.2 to 19.3),< 0.001,1.97,2.01,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Principal,Mean coding depth (centred),2019–2024,6,20.0 (11.4 to 29.3),< 0.001,1.62,1.57,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Principal,2020–2021 reporting-disruption indicator,2019–2024,6,12.9 (9.4 to 16.5),< 0.001,1.03,1.47,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Principal,Mean coding depth + 2020–2021 disruption indicator,2019–2024,6,−2.4 (−20.1 to 19.2),0.810,0.76,2.61,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Principal,No covariates,2021–2024,4,14.0 (4.1 to 24.9),0.005,3.14,2.04,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Principal,Mean coding depth (centred),2021–2024,4,22.1 (19.7 to 24.6),< 0.001,0.07,3.39,Quasi-Poisson log-linear,"One residual degree of freedom: dispersion very unstable. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Any position,No covariates,2019–2024,6,37.2 (30.6 to 44.1),< 0.001,35.03,1.83,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
