Source,Indicator,Year / key,Expected (protocol),Observed (pipeline),Difference,Status,Explanation
Public GRD 2019–2024 (module 01),Total GRD episodes (rows of the annual file),2019,"1,151,475","1,151,475",0,matches,"Data rows read from the public GRD file (one row = one episode), no duplicates removed; denominator of the rates per 100,000 episodes."
Public GRD 2019–2024 (module 01),Total GRD episodes (rows of the annual file),2020,"781,912","781,912",0,matches,"Data rows read from the public GRD file (one row = one episode), no duplicates removed; denominator of the rates per 100,000 episodes."
Public GRD 2019–2024 (module 01),Total GRD episodes (rows of the annual file),2021,"816,909","816,909",0,matches,"Data rows read from the public GRD file (one row = one episode), no duplicates removed; denominator of the rates per 100,000 episodes."
Public GRD 2019–2024 (module 01),Total GRD episodes (rows of the annual file),2022,"932,839","932,839",0,matches,"Data rows read from the public GRD file (one row = one episode), no duplicates removed; denominator of the rates per 100,000 episodes."
Public GRD 2019–2024 (module 01),Total GRD episodes (rows of the annual file),2023,"1,039,587","1,039,587",0,matches,"Data rows read from the public GRD file (one row = one episode), no duplicates removed; denominator of the rates per 100,000 episodes."
Public GRD 2019–2024 (module 01),Total GRD episodes (rows of the annual file),2024,"1,085,813","1,085,813",0,matches,"Data rows read from the public GRD file (one row = one episode), no duplicates removed; denominator of the rates per 100,000 episodes."
Public GRD 2019–2024 (module 01),Hospitals observed (annual panel),2019,65,65,0,matches,"Distinct hospitals (COD_HOSPITAL) with at least one episode in the year; the fixed panel is the 65 reporting in every year 2019–2024, never the 72 of 2024."
Public GRD 2019–2024 (module 01),Hospitals observed (annual panel),2020,65,65,0,matches,"Distinct hospitals (COD_HOSPITAL) with at least one episode in the year; the fixed panel is the 65 reporting in every year 2019–2024, never the 72 of 2024."
Public GRD 2019–2024 (module 01),Hospitals observed (annual panel),2021,65,65,0,matches,"Distinct hospitals (COD_HOSPITAL) with at least one episode in the year; the fixed panel is the 65 reporting in every year 2019–2024, never the 72 of 2024."
Public GRD 2019–2024 (module 01),Hospitals observed (annual panel),2022,65,65,0,matches,"Distinct hospitals (COD_HOSPITAL) with at least one episode in the year; the fixed panel is the 65 reporting in every year 2019–2024, never the 72 of 2024."
Public GRD 2019–2024 (module 01),Hospitals observed (annual panel),2023,68,68,0,matches,"Distinct hospitals (COD_HOSPITAL) with at least one episode in the year; the fixed panel is the 65 reporting in every year 2019–2024, never the 72 of 2024."
Public GRD 2019–2024 (module 01),Hospitals observed (annual panel),2024,72,72,0,matches,"Distinct hospitals (COD_HOSPITAL) with at least one episode in the year; the fixed panel is the 65 reporting in every year 2019–2024, never the 72 of 2024."
Public GRD 2019–2024 (module 01),"Episodes with documented F84 (any position), observed panel",2019,"2,385","2,385",0,matches,"Any F84.x code in DIAGNOSTICO1–35 (full family, with-Rett variant), all activity, observed panel, no duplicates removed. Administrative recognition, not prevalence."
Public GRD 2019–2024 (module 01),"Episodes with documented F84 (any position), observed panel",2020,"1,633","1,633",0,matches,"Any F84.x code in DIAGNOSTICO1–35 (full family, with-Rett variant), all activity, observed panel, no duplicates removed. Administrative recognition, not prevalence."
Public GRD 2019–2024 (module 01),"Episodes with documented F84 (any position), observed panel",2021,"2,399","2,399",0,matches,"Any F84.x code in DIAGNOSTICO1–35 (full family, with-Rett variant), all activity, observed panel, no duplicates removed. Administrative recognition, not prevalence."
Public GRD 2019–2024 (module 01),"Episodes with documented F84 (any position), observed panel",2022,"3,912","3,912",0,matches,"Any F84.x code in DIAGNOSTICO1–35 (full family, with-Rett variant), all activity, observed panel, no duplicates removed. Administrative recognition, not prevalence."
Public GRD 2019–2024 (module 01),"Episodes with documented F84 (any position), observed panel",2023,"6,473","6,473",0,matches,"Any F84.x code in DIAGNOSTICO1–35 (full family, with-Rett variant), all activity, observed panel, no duplicates removed. Administrative recognition, not prevalence."
Public GRD 2019–2024 (module 01),"Episodes with documented F84 (any position), observed panel",2024,"8,818","8,818",0,matches,"Any F84.x code in DIAGNOSTICO1–35 (full family, with-Rett variant), all activity, observed panel, no duplicates removed. Administrative recognition, not prevalence."
Public GRD 2019–2024 (module 01),"Episodes with documented F84, fixed panel of 65 hospitals",2019,"2,385","2,385",0,matches,Same count restricted to the 65 hospitals reporting in every year 2019–2024 (verified subset of the 68 of 2023 and 72 of 2024).
Public GRD 2019–2024 (module 01),"Episodes with documented F84, fixed panel of 65 hospitals",2020,"1,633","1,633",0,matches,Same count restricted to the 65 hospitals reporting in every year 2019–2024 (verified subset of the 68 of 2023 and 72 of 2024).
