Source,Indicator,Year / key,Expected (protocol),Observed (pipeline),Difference,Status,Explanation
Public GRD 2019–2024 (module 01),Total GRD episodes (rows of the annual file),2019–2024,"1,151,475 / 781,912 / 816,909 / 932,839 / 1,039,587 / 1,085,813","1,151,475 / 781,912 / 816,909 / 932,839 / 1,039,587 / 1,085,813",0,6/6 match,"Data rows read from the public GRD file (one row = one episode), no duplicates removed; denominator of the rates per 100,000 episodes."
Public GRD 2019–2024 (module 01),Hospitals observed (annual panel),2019–2024,65 / 65 / 65 / 65 / 68 / 72,65 / 65 / 65 / 65 / 68 / 72,0,6/6 match,"Distinct hospitals (COD_HOSPITAL) with at least one episode in the year; the fixed panel is the 65 reporting in every year 2019–2024, never the 72 of 2024."
Public GRD 2019–2024 (module 01),"Episodes with documented F84 (any position), observed panel",2019–2024,"2,385 / 1,633 / 2,399 / 3,912 / 6,473 / 8,818","2,385 / 1,633 / 2,399 / 3,912 / 6,473 / 8,818",0,6/6 match,"Any F84.x code in DIAGNOSTICO1–35 (full family, with-Rett variant), all activity, observed panel, no duplicates removed. Administrative recognition, not prevalence."
Public GRD 2019–2024 (module 01),"Episodes with documented F84, fixed panel of 65 hospitals",2019–2024,"2,385 / 1,633 / 2,399 / 3,912 / 6,421 / 8,557","2,385 / 1,633 / 2,399 / 3,912 / 6,421 / 8,557",0,6/6 match,Same count restricted to the 65 hospitals reporting in every year 2019–2024 (verified subset of the 68 of 2023 and 72 of 2024).
Public GRD 2019–2024 (module 01),"F84 episodes in strict hospitalisation, observed panel",2019–2024,"1,960 / 1,550 / 2,217 / 3,561 / 5,797 / 7,500","1,960 / 1,550 / 2,217 / 3,561 / 5,842 / 7,705",0 / 0 / 0 / 0 / +45 (+0.8%) / +205 (+2.7%),"4/6 match; differ: 2023, 2024","Differs only on the observed panel (68 hospitals): 5,842 = 6,473 episodes with documented F84 − 631 CMA. The protocol value (5,797) is reproduced exactly on the fixed panel of 65 hospitals (check row: 5,797); the protocol combined the fixed panel for hospitalisation with the observed panel for CMA. Not a reading error: the main series cites the observed panel and the fixed panel is the sensitivity.; Differs only on the observed panel (72 hospitals): 7,705 = 8,818 episodes with documented F84 − 1,113 CMA. The protocol value (7,500) is reproduced exactly on the fixed panel of 65 hospitals (check row: 7,500); the protocol combined the fixed panel for hospitalisation with the observed panel for CMA. Not a reading error: the main series cites the observed panel and the fixed panel is the sensitivity."
Public GRD 2019–2024 (module 01),"F84 episodes in strict hospitalisation, fixed panel of 65 (check row)",2019–2024,"1,960 / 1,550 / 2,217 / 3,561 / 5,797 / 7,500","1,960 / 1,550 / 2,217 / 3,561 / 5,797 / 7,500",0,6/6 match,Check row: the same indicator on the fixed panel of 65 hospitals reproduces the protocol value in every year.
Public GRD 2019–2024 (module 01),"F84 episodes in major ambulatory surgery (CMA), observed panel",2019–2024,"168 / 83 / 182 / 351 / 631 / 1,113","168 / 83 / 182 / 351 / 631 / 1,113",0,6/6 match,"TIPO_ACTIVIDAD = major ambulatory surgery, observed panel; presented separately from hospitalisation, never pooled as 'hospitalisations for autism'."
Public GRD 2019–2024 (module 01),Episodes with F84 as principal diagnosis,2019–2024,241 / 163 / 189 / 304 / 366 / 401,241 / 163 / 189 / 304 / 366 / 401,0,6/6 match,"F84.x in DIAGNOSTICO1 (with or without an additional secondary F84), observed panel; sensitivity series kept separate from 'documented F84'."
Public GRD 2019–2024 (module 01),"Share of F84 episodes with F84 only as a secondary diagnosis, 2024",2024,0.955,0.95452,−0.00048 (−0.05%),1/1 match,"Episodes with F84 only in a secondary position / episodes with F84 in any position (8,417/8,818); the protocol rounds it to three decimals."
Public GRD 2019–2024 (module 01),"Mean coding depth, all episodes",2019; 2024,4.39 / 5.78,4.3863 / 5.7842,−0.0037 (−0.08%) / +0.0042 (+0.07%),2/2 match,"Mean number of non-empty coded diagnoses per episode (DIAGNOSTICO1–35), all episodes of the observed panel; the protocol rounds to two decimals (0.5% tolerance)."
