Code,Indicator,Definition era,2019,2020,2021,2022,2023,2024,2025
03500404,Health control at 18 months,2019–2024,"37,952 (701)","20,594 (663)","34,371 (745)","50,513 (908)","74,940 (1,136)","85,187 (1,283)",outside the era
03500405,Language and/or social-area alteration at the control,2019–2024,"5,160 (470)","2,358 (404)","5,118 (518)","7,870 (651)","10,333 (831)","14,774 (955)",outside the era
03500406,M-CHAT performed (children with an alteration),2019–2022,"2,613 (263)",816 (198),"1,833 (273)","3,455 (399)",outside the era,outside the era,outside the era
03500407,M-CHAT altered (children with an alteration),2019–2022,"1,640 (188)",288 (134),879 (230),"1,535 (315)",outside the era,outside the era,outside the era
09600212,Autism suspicion in other controls or consultations,2023–2024,outside the era,outside the era,outside the era,outside the era,"8,221 (731)","12,281 (861)",outside the era
09600213,M-CHAT-R/F part 1: low risk,2023–2024,outside the era,outside the era,outside the era,outside the era,"14,083 (880)","18,142 (1,082)",outside the era
09600214,M-CHAT-R/F part 1: medium risk,2023–2024,outside the era,outside the era,outside the era,outside the era,"3,642 (627)","4,698 (734)",outside the era
09600215,M-CHAT-R/F part 1: high risk,2023–2024,outside the era,outside the era,outside the era,outside the era,"1,907 (478)","2,234 (552)",outside the era
09600216,High risk with specialist referral,2023–2024,outside the era,outside the era,outside the era,outside the era,"1,152 (373)","1,741 (454)",outside the era
09600217,M-CHAT-R/F part 2: medium risk in part 1,2023–2023,outside the era,outside the era,outside the era,outside the era,920 (247),outside the era,outside the era
09600218,M-CHAT-R/F part 2: no referral required,2023–2024,outside the era,outside the era,outside the era,outside the era,817 (267),"2,341 (528)",outside the era
09600219,M-CHAT-R/F part 2: referral required,2023–2024,outside the era,outside the era,outside the era,outside the era,"1,136 (346)","2,283 (516)",outside the era
03700104,31–59 months evaluated at the integral control,2024–2024,outside the era,outside the era,outside the era,outside the era,outside the era,"39,466 (694)",outside the era
03700105,31–59 months suspected elsewhere,2024–2024,outside the era,outside the era,outside the era,outside the era,outside the era,"4,576 (564)",outside the era
03700106,Alert-sign guide: yes,2024–2024,outside the era,outside the era,outside the era,outside the era,outside the era,"5,860 (674)",outside the era
03700107,Alert-sign guide: no,2024–2024,outside the era,outside the era,outside the era,outside the era,outside the era,"6,327 (495)",outside the era
03700108,Referral after alert signs: yes,2024–2024,outside the era,outside the era,outside the era,outside the era,outside the era,"4,866 (629)",outside the era
03700109,Referral after alert signs: no,2024–2024,outside the era,outside the era,outside the era,outside the era,outside the era,"4,935 (464)",outside the era
03710013,Motive: altered EEDP (16–30 months),2025–2025,outside the era,outside the era,outside the era,outside the era,outside the era,outside the era,"14,671 (869)"
03710014,Motive: risk factor or alert sign (16–30 months),2025–2025,outside the era,outside the era,outside the era,outside the era,outside the era,outside the era,"5,921 (665)"
03710015,Motive: both (16–30 months),2025–2025,outside the era,outside the era,outside the era,outside the era,outside the era,outside the era,"2,656 (503)"
03710016,M-CHAT-R/F: low risk,2025–2025,outside the era,outside the era,outside the era,outside the era,outside the era,outside the era,"12,971 (818)"
03710017,M-CHAT-R/F medium risk: no referral,2025–2025,outside the era,outside the era,outside the era,outside the era,outside the era,outside the era,"1,637 (395)"
03710018,M-CHAT-R/F medium risk: referral,2025–2025,outside the era,outside the era,outside the era,outside the era,outside the era,outside the era,"2,500 (534)"
03710019,M-CHAT-R/F high risk: referral,2025–2025,outside the era,outside the era,outside the era,outside the era,outside the era,outside the era,"2,181 (505)"
03710020,Suspected 30–59 months: no referral,2025–2025,outside the era,outside the era,outside the era,outside the era,outside the era,outside the era,"5,140 (501)"
03710021,Suspected 30–59 months: referral,2025–2025,outside the era,outside the era,outside the era,outside the era,outside the era,outside the era,"5,883 (642)"
03500407 / 03500406,Altered-to-performed ratio within the legacy era — All months,2019–2022,62.8% (60.9–64.6),35.3% (32.1–38.6),48.0% (45.7–50.2),44.4% (42.8–46.1),outside the era,outside the era,outside the era
03500407 / 03500406,Altered-to-performed ratio within the legacy era — Excluding February 2019,2019–2022,39.2% (36.8–41.6),35.3% (32.1–38.6),48.0% (45.7–50.2),44.4% (42.8–46.1),outside the era,outside the era,outside the era
