Age group (years),Series,2021,2022,2023,2024,2025
0–4,Males,408,753,841,942,940
0–4,Females,114,260,288,311,367
5–9,Males,637,"1,488","2,489","3,431","3,538"
5–9,Females,130,374,717,"1,079","1,298"
10–14,Males,316,726,"1,371","2,153","2,484"
10–14,Females,104,287,698,"1,121","1,268"
15–19,Males,192,344,755,"1,116","1,267"
15–19,Females,63,160,375,682,789
20–24,Males,29,86,143,266,309
20–24,Females,8,34,86,196,223
25–29,Males,19,25,59,106,136
25–29,Females,10,23,53,91,115
30–34,Males,13,18,27,62,80
30–34,Females,4,8,34,73,72
35–39,Males,5,12,19,29,49
35–39,Females,6,8,26,46,64
40–44,Males,3,3,9,23,23
40–44,Females,3,8,11,35,30
45–49,Males,1,4,11,11,15
45–49,Females,6,1,6,22,27
50–54,Males,1,1,5,9,11
50–54,Females,3,4,7,4,10
55–59,Males,0,1,2,8,2
55–59,Females,2,2,2,6,8
60–64,Males,0,1,2,6,7
60–64,Females,4,1,8,8,9
65–69,Males,0,1,0,2,2
65–69,Females,0,1,1,4,3
70–74,Males,0,0,0,0,4
70–74,Females,1,1,1,0,2
75–79,Males,0,0,0,0,0
75–79,Females,3,2,1,0,1
80+,Males,0,3,1,0,0
80+,Females,0,1,1,1,3
"Entries per 100,000 residents — crude",Males,16.7 (15.9–17.6),35.4 (34.3–36.6),58.2 (56.7–59.7),82.4 (80.6–84.2),88.9 (87.1–90.8)
"Entries per 100,000 residents — WHO-standardised",Males,22.0 (20.9–23.1),46.9 (45.4–48.5),77.5 (75.5–79.6),110.4 (108.1–112.9),120.4 (117.9–122.9)
"Entries per 100,000 residents — crude",Females,4.6 (4.2–5.1),11.7 (11.0–12.4),22.9 (22.0–23.8),36.2 (35.0–37.3),41.9 (40.7–43.2)
"Entries per 100,000 residents — WHO-standardised",Females,6.3 (5.7–6.9),16.3 (15.4–17.3),31.7 (30.5–33.1),50.2 (48.6–51.9),58.9 (57.1–60.7)
Reporting establishments,Strict autism,449,658,920,"1,070",952
