Estimand,Variant,Years,n,Covariates,APC % (95% CI),Dispersion,Durbin–Watson,Specifications evaluated
REM A05: entries,sin_rett,2021–2025,5,no covariates,20.6 (16.6–24.8),28.0,1.94,4
REM A05: clinical discharges,sin_rett,2021–2025,5,no covariates,34.1 (16.4–54.5),144.6,2.36,8
"REM A05: entries per 100,000 population",sin_rett,2021–2025,5,no covariates,29.1 (16.5–43.2),282.6,1.42,14
DEIS: principal F84,sin_rett,2019–2024,6,no covariates,20.0 (15.1–25.0),3.2,1.89,3
GRD: hospital-level models,sin_rett,2019–2024,400,hospital fixed effects,35.9 (33.9–38.0),3.8,1.20,17
"GRD: F84 per 100,000 population",sin_rett,2019–2024,6,no covariates,35.8 (21.8–51.5),135.8,1.68,48
"GRD: F84 per 100,000 episodes",sin_rett,2019–2024,6,no covariates,35.9 (30.0–42.1),33.2,1.73,96
REM P2: December stock,both variants,2019–2025,7,no covariates,63.5 (54.1–73.6),175.9,1.66,9
REM P2: June stock (sensitivity),both variants,2021–2025,5,no covariates,42.1 (38.9–45.4),10.9,2.23,2
REM P2: total NANEAS,both variants,2023–2025,3,no covariates,14.7 (2.6–28.1),128.9,2.97,1
REM P6: under control in primary care,sin_rett,2021–2025,5,no covariates,41.7 (35.4–48.3),73.7,1.49,6
REM P6: under control in specialty care,sin_rett,2021–2025,5,no covariates,21.9 (18.4–25.5),29.0,3.15,6
Education: harmonised PIE,both variants,2019–2025,7,no covariates,34.5 (30.9–38.3),245.3,1.60,6
