Indicator pair,Bivariate Moran's I,z,p (999 permutations),Spearman's rho,n
GRD F84 episodes → GRD persons/year,0.349,9.38,0.001,0.95,342
FONASA beneficiaries → SAE income,0.303,6.13,0.001,0.34,342
APS enrolment → SAE income,0.255,5.74,0.001,0.33,342
FONASA beneficiaries → FONASA/INE %,0.253,4.83,0.001,0.97,342
SAE income → Urban %,−0.250,−4.86,0.001,−0.40,342
SAE income → FONASA/INE %,0.249,4.86,0.001,0.34,342
REM P2 December → REM P6 primary,0.246,6.80,0.001,0.37,342
APS enrolment → FONASA beneficiaries,0.242,5.10,0.001,0.98,342
GRD F84 episodes → REM P6 primary,0.240,6.57,0.001,0.21,342
GRD persons/year → REM A05 entries,0.237,6.42,0.001,0.31,342
GRD persons/year → REM P6 primary,0.237,6.33,0.001,0.27,342
GRD F84 episodes → REM A05 entries,0.237,6.54,0.001,0.27,342
REM A05 entries → REM P6 primary,0.226,6.16,0.001,0.62,342
APS enrolment → FONASA/INE %,0.225,4.81,0.001,0.96,342
SAE multidimensional → SAE income,0.201,5.26,0.001,0.34,342
GRD persons/year → REM P2 December,0.174,4.57,0.001,0.23,342
GRD persons/year → GRD F84 principal,0.166,4.22,0.001,0.46,342
GRD F84 episodes → REM P2 December,0.165,4.41,0.001,0.20,342
GRD F84 episodes → GRD F84 principal,0.159,4.10,0.001,0.48,342
FONASA beneficiaries → SAE multidimensional,0.152,3.07,0.002,0.17,342
REM A05 entries → REM P2 December,0.148,4.12,0.001,0.20,342
REM A05 entries → REM P6 specialty,0.143,3.95,0.001,0.30,342
REM P6 primary → SAE income,0.142,3.52,0.001,0.23,342
FONASA beneficiaries → Urban %,−0.125,−2.47,0.004,−0.21,342
REM P6 primary → Urban %,−0.124,−3.12,0.002,−0.08,342
GRD F84 principal → REM P6 primary,0.124,3.88,0.002,0.15,342
GRD F84 principal → Urban %,−0.123,−3.89,0.001,−0.08,342
APS enrolment → SAE multidimensional,0.120,2.70,0.002,0.17,342
Urban % → FONASA/INE %,−0.117,−2.58,0.003,−0.23,342
REM P6 specialty → Urban %,0.116,3.70,0.001,0.32,342
REM P2 December → FONASA beneficiaries,0.116,3.36,0.001,0.32,342
GRD F84 principal → FONASA beneficiaries,−0.109,−3.50,0.001,−0.01,342
GRD F84 principal → APS enrolment,−0.103,−3.36,0.001,−0.02,342
GRD persons/year → SAE income,0.102,2.67,0.004,0.08,342
GRD F84 principal → REM P2 December,0.098,3.14,0.003,0.11,342
SAE multidimensional → FONASA/INE %,0.096,2.53,0.007,0.17,342
GRD F84 principal → FONASA/INE %,−0.095,−3.08,0.003,0.00,342
GRD F84 principal → REM A05 entries,0.094,2.97,0.003,0.19,342
REM P2 December → FONASA/INE %,0.093,2.74,0.004,0.28,342
REM P2 December → SAE income,0.092,2.68,0.006,0.15,342
REM P6 primary → FONASA beneficiaries,0.091,2.35,0.008,0.15,342
REM P6 primary → FONASA/INE %,0.083,2.14,0.016,0.13,342
REM P6 specialty → FONASA/INE %,−0.081,−2.56,0.008,−0.17,342
GRD F84 episodes → SAE income,0.080,2.11,0.024,0.05,342
GRD persons/year → REM P6 specialty,0.077,2.03,0.031,0.23,342
GRD F84 episodes → REM P6 specialty,0.074,1.98,0.037,0.25,342
APS enrolment → Urban %,−0.074,−1.62,0.053,−0.21,342
REM P2 December → APS enrolment,0.073,2.13,0.020,0.29,342
REM P6 primary → REM P6 specialty,0.073,1.75,0.052,−0.06,342
REM P6 specialty → FONASA beneficiaries,−0.072,−2.26,0.017,−0.17,342
REM P2 December → REM-20 discharges,0.070,1.93,0.027,0.07,342
REM P2 December → Urban %,−0.064,−1.94,0.020,−0.12,342
GRD F84 principal → SAE income,0.063,2.02,0.019,0.06,342
REM P6 specialty → SAE income,−0.059,−1.87,0.032,−0.21,342
APS enrolment → REM-20 discharges,0.053,1.12,0.130,−0.19,342
REM P6 specialty → APS enrolment,−0.050,−1.59,0.064,−0.17,342
REM P6 primary → SAE multidimensional,−0.050,−1.30,0.103,−0.05,342
REM P6 primary → APS enrolment,0.049,1.27,0.101,0.10,342
GRD persons/year → Urban %,−0.038,−1.07,0.149,0.15,342
REM-20 discharges → SAE income,0.038,1.32,0.101,0.11,342
REM A05 entries → SAE multidimensional,0.032,0.93,0.166,−0.07,342
REM-20 discharges → Urban %,−0.032,−1.16,0.121,0.12,342
GRD F84 episodes → Urban %,−0.031,−0.88,0.201,0.13,342
REM P6 specialty → REM-20 discharges,0.030,1.05,0.146,0.38,342
GRD F84 episodes → REM-20 discharges,0.030,0.83,0.211,0.28,342
FONASA beneficiaries → REM-20 discharges,0.029,0.53,0.292,−0.13,342
REM P2 December → REM P6 specialty,0.025,0.64,0.252,−0.09,342
REM P2 December → SAE multidimensional,−0.025,−0.75,0.229,−0.05,342
REM A05 entries → Urban %,0.021,0.56,0.286,0.20,342
GRD F84 principal → SAE multidimensional,−0.019,−0.62,0.277,−0.08,342
GRD F84 episodes → SAE multidimensional,−0.019,−0.52,0.302,−0.10,342
REM-20 discharges → FONASA/INE %,0.018,0.68,0.246,−0.16,342
REM-20 discharges → SAE multidimensional,0.017,0.59,0.286,−0.20,342
GRD persons/year → REM-20 discharges,0.015,0.43,0.334,0.28,342
GRD persons/year → SAE multidimensional,−0.015,−0.41,0.340,−0.08,342
REM A05 entries → SAE income,0.014,0.37,0.358,−0.07,342
