Indicator,Period,Events,Comunas with zero,Comunas with no report,Gini index,"Events in the top decile, %",Theil index,Between regions,Within regions,"Between regions, %",Top-decile / bottom-decile ratio
GRD F84 episodes,2019,"2,332",104,104,0.373,25.7%,0.193,0.076,0.117,39.3%,11.1
GRD F84 episodes,2020,"1,609",133,133,0.386,25.2%,0.196,0.075,0.121,38.1%,12.6
GRD F84 episodes,2021,"2,367",116,116,0.385,24.7%,0.189,0.070,0.118,37.3%,9.0
GRD F84 episodes,2022,"3,859",76,76,0.345,23.4%,0.171,0.051,0.120,29.8%,9.1
GRD F84 episodes,2023,"6,423",49,49,0.317,21.3%,0.156,0.049,0.107,31.6%,8.7
GRD F84 episodes,2024,"8,731",44,44,0.299,20.6%,0.138,0.047,0.091,34.2%,7.8
GRD F84 episodes,2019–2024,"25,321",21,21,0.287,20.2%,0.130,0.049,0.082,37.4%,7.2
GRD persons/year,2019,"1,954",105,104,0.357,24.1%,0.168,0.069,0.099,40.9%,9.1
GRD persons/year,2020,"1,334",133,133,0.364,24.2%,0.164,0.070,0.095,42.4%,10.9
GRD persons/year,2021,"1,978",116,116,0.368,24.6%,0.170,0.066,0.104,38.9%,8.4
GRD persons/year,2022,"3,273",76,76,0.328,21.8%,0.153,0.050,0.103,32.7%,7.8
GRD persons/year,2023,"5,291",49,49,0.312,21.0%,0.150,0.055,0.095,36.4%,8.1
GRD persons/year,2024,"7,260",44,44,0.292,20.2%,0.131,0.046,0.084,35.6%,7.5
GRD persons/year,2019–2024,"21,090",21,21,0.280,19.8%,0.125,0.049,0.076,39.3%,6.5
GRD F84 principal,2019,227,269,269,0.692,47.2%,0.370,0.152,0.218,41.0%,18.6
GRD F84 principal,2020,157,271,271,0.635,38.0%,0.235,0.067,0.168,28.5%,11.3
GRD F84 principal,2021,186,287,287,0.762,57.9%,0.495,0.348,0.147,70.4%,31.9
GRD F84 principal,2022,295,256,256,0.730,51.9%,0.518,0.255,0.263,49.2%,38.9
GRD F84 principal,2023,361,254,254,0.723,50.1%,0.507,0.151,0.356,29.8%,41.3
GRD F84 principal,2024,390,248,248,0.651,45.0%,0.389,0.198,0.191,50.8%,24.1
GRD F84 principal,2019–2024,"1,616",163,163,0.570,39.2%,0.437,0.233,0.205,53.2%,27.8
