Region,Indicator,Observed,Expected counts (indirect standardisation),"Rate per 100,000 population",Crude standardised ratio,Empirical-Bayes smoothed standardised ratio
Tarapacá,GRD F84 episodes,599,590.3,25.5 (23.5–27.6),1.01 (0.94–1.10),1.01
Antofagasta,GRD F84 episodes,"1,456",985.5,34.6 (32.9–36.4),1.48 (1.40–1.56),1.47
Atacama,GRD F84 episodes,358,455.8,18.8 (16.9–20.9),0.79 (0.71–0.87),0.79
Coquimbo,GRD F84 episodes,"1,476","1,151.3",28.9 (27.4–30.4),1.28 (1.22–1.35),1.28
Valparaíso,GRD F84 episodes,"2,457","2,466.7",20.6 (19.8–21.5),1.00 (0.96–1.04),1.00
O'Higgins,GRD F84 episodes,909,"1,289.2",15.1 (14.1–16.1),0.71 (0.66–0.75),0.71
Maule,GRD F84 episodes,"1,259","1,483.8",18.3 (17.3–19.3),0.85 (0.80–0.90),0.85
Biobío,GRD F84 episodes,"3,234","2,126.0",32.2 (31.1–33.4),1.52 (1.47–1.57),1.52
La Araucanía,GRD F84 episodes,"1,482","1,343.3",24.2 (23.0–25.5),1.10 (1.05–1.16),1.10
Los Lagos,GRD F84 episodes,"1,182","1,151.0",21.9 (20.7–23.2),1.03 (0.97–1.09),1.03
Aysén,GRD F84 episodes,195,148.9,30.2 (26.1–34.7),1.31 (1.13–1.51),1.29
Magallanes,GRD F84 episodes,377,219.5,34.9 (31.4–38.6),1.72 (1.55–1.90),1.69
Metropolitana,GRD F84 episodes,"8,088","10,401.8",16.4 (16.0–16.7),0.78 (0.76–0.79),0.78
Los Ríos,GRD F84 episodes,403,513.5,16.4 (14.9–18.1),0.78 (0.71–0.87),0.79
Arica y Parinacota,GRD F84 episodes,594,356.4,38.7 (35.7–42.0),1.67 (1.54–1.81),1.65
Ñuble,GRD F84 episodes,"1,252",637.8,40.5 (38.3–42.8),1.96 (1.86–2.07),1.95
Tarapacá,GRD persons/year,508,422.1,21.6 (19.8–23.6),1.20 (1.10–1.31),1.20
Antofagasta,GRD persons/year,"1,218",752.6,29.0 (27.4–30.6),1.62 (1.53–1.71),1.61
Atacama,GRD persons/year,283,338.0,14.9 (13.2–16.7),0.84 (0.74–0.94),0.84
Coquimbo,GRD persons/year,"1,219",916.5,23.8 (22.5–25.2),1.33 (1.26–1.41),1.33
Valparaíso,GRD persons/year,"2,075","2,125.8",17.4 (16.7–18.2),0.98 (0.93–1.02),0.98
O'Higgins,GRD persons/year,765,"1,075.7",12.7 (11.8–13.6),0.71 (0.66–0.76),0.71
Maule,GRD persons/year,"1,071","1,229.0",15.6 (14.6–16.5),0.87 (0.82–0.93),0.87
Biobío,GRD persons/year,"2,700","1,783.1",26.9 (25.9–27.9),1.51 (1.46–1.57),1.51
La Araucanía,GRD persons/year,"1,243","1,089.7",20.3 (19.2–21.4),1.14 (1.08–1.21),1.14
Los Lagos,GRD persons/year,999,961.0,18.5 (17.4–19.7),1.04 (0.98–1.11),1.04
Aysén,GRD persons/year,157,114.9,24.3 (20.6–28.4),1.37 (1.16–1.60),1.34
Magallanes,GRD persons/year,296,192.7,27.4 (24.4–30.7),1.54 (1.37–1.72),1.51
Metropolitana,GRD persons/year,"6,694","8,828.4",13.6 (13.2–13.9),0.76 (0.74–0.78),0.76
Los Ríos,GRD persons/year,328,435.9,13.4 (12.0–14.9),0.75 (0.67–0.84),0.76
Arica y Parinacota,GRD persons/year,467,274.2,30.4 (27.7–33.3),1.70 (1.55–1.86),1.68
Ñuble,GRD persons/year,"1,067",550.3,34.5 (32.5–36.6),1.94 (1.82–2.06),1.92
Tarapacá,REM A05 entries ⚠,881,"1,302.0",43.9 (41.1–46.9),0.68 (0.63–0.72),0.68
Antofagasta,REM A05 entries ⚠,"1,726","2,148.5",48.4 (46.1–50.7),0.80 (0.77–0.84),0.80
Atacama,REM A05 entries ⚠,"1,719","1,000.9",107.8 (102.8–113.0),1.72 (1.64–1.80),1.71
Coquimbo,REM A05 entries ⚠,"3,100","2,556.0",71.4 (68.9–73.9),1.21 (1.17–1.26),1.21
Valparaíso,REM A05 entries ⚠,"4,502","5,436.1",44.8 (43.5–46.1),0.83 (0.80–0.85),0.83
O'Higgins,REM A05 entries ⚠,"2,134","2,845.0",41.9 (40.2–43.8),0.75 (0.72–0.78),0.75
Maule,REM A05 entries ⚠,"3,093","3,283.3",53.2 (51.4–55.1),0.94 (0.91–0.98),0.94
Biobío,REM A05 entries ⚠,"8,054","4,667.9",95.8 (93.7–97.9),1.73 (1.69–1.76),1.72
La Araucanía,REM A05 entries ⚠,"2,689","2,959.0",52.3 (50.4–54.3),0.91 (0.87–0.94),0.91
Los Lagos,REM A05 entries ⚠,"2,649","2,519.1",58.4 (56.2–60.7),1.05 (1.01–1.09),1.05
Aysén,REM A05 entries ⚠,705,325.9,130.2 (120.8–140.2),2.16 (2.01–2.33),2.14
Magallanes,REM A05 entries ⚠,673,479.7,73.9 (68.4–79.7),1.40 (1.30–1.51),1.40
Metropolitana,REM A05 entries ⚠,"17,599","22,736.9",42.1 (41.5–42.7),0.77 (0.76–0.79),0.77
Los Ríos,REM A05 entries ⚠,"1,009","1,127.0",49.1 (46.1–52.2),0.90 (0.84–0.95),0.90
Arica y Parinacota,REM A05 entries ⚠,"1,021",784.8,78.6 (73.9–83.6),1.30 (1.22–1.38),1.30
Ñuble,REM A05 entries ⚠,"4,026","1,408.1",155.0 (150.3–159.9),2.86 (2.77–2.95),2.85
Tarapacá,REM P2 December ⚠,"3,183","1,623.2",115.4 (111.4–119.5),1.96 (1.89–2.03),1.96
Antofagasta,REM P2 December ⚠,"5,108","2,874.8",103.6 (100.8–106.5),1.78 (1.73–1.83),1.78
Atacama,REM P2 December ⚠,"1,480","1,283.4",66.6 (63.3–70.1),1.15 (1.10–1.21),1.15
Coquimbo,REM P2 December ⚠,"5,569","3,516.3",92.8 (90.4–95.3),1.58 (1.54–1.63),1.58
Valparaíso,REM P2 December ⚠,"9,227","8,113.2",66.2 (64.8–67.5),1.14 (1.11–1.16),1.14
O'Higgins,REM P2 December ⚠,"3,923","4,107.1",55.6 (53.9–57.4),0.96 (0.93–0.99),0.96
Maule,REM P2 December ⚠,"6,248","4,693.2",77.5 (75.6–79.4),1.33 (1.30–1.36),1.33
Biobío,REM P2 December ⚠,"9,174","6,765.2",78.3 (76.7–79.9),1.36 (1.33–1.38),1.36
La Araucanía,REM P2 December ⚠,"4,549","4,139.7",63.5 (61.7–65.4),1.10 (1.07–1.13),1.10
Los Lagos,REM P2 December ⚠,"4,809","3,656.6",76.2 (74.0–78.4),1.32 (1.28–1.35),1.31
Aysén,REM P2 December ⚠,671,435.5,88.8 (82.2–95.8),1.54 (1.43–1.66),1.53
Magallanes,REM P2 December ⚠,454,734.2,35.9 (32.7–39.3),0.62 (0.56–0.68),0.62
Metropolitana,REM P2 December ⚠,"19,037","33,712.0",32.9 (32.4–33.4),0.56 (0.56–0.57),0.56
Los Ríos,REM P2 December ⚠,"1,893","1,655.6",66.1 (63.1–69.1),1.14 (1.09–1.20),1.14
Arica y Parinacota,REM P2 December ⚠,"1,104","1,047.9",61.4 (57.8–65.2),1.05 (0.99–1.12),1.05
Ñuble,REM P2 December ⚠,"4,021","2,092.0",111.2 (107.8–114.7),1.92 (1.86–1.98),1.92
