Scale,Indicator,Value type,Weight definition,Period,Subset,n,Moran's I,E[I],z,Analytic p,p (999 perm.)
Comuna,GRD F84 episodes,"Rate per 100,000 population",queen,full period,all comunas,342,0.2395,−0.0029,6.55,< 0.001,0.001
Comuna,GRD F84 episodes,"Rate per 100,000 population",knn4,full period,all comunas,342,0.2538,−0.0029,7.23,< 0.001,0.001
Comuna,GRD F84 episodes,"Rate per 100,000 population",knn8,full period,all comunas,342,0.2247,−0.0029,9.04,< 0.001,0.001
Comuna,GRD F84 episodes,"Rate per 100,000 population",idw,full period,all comunas,342,0.1296,−0.0029,6.38,< 0.001,0.001
Comuna,GRD F84 episodes,Crude standardised ratio,queen,full period,all comunas,342,0.2661,−0.0029,7.26,< 0.001,0.001
Comuna,GRD F84 episodes,Crude standardised ratio,knn4,full period,all comunas,342,0.2713,−0.0029,7.72,< 0.001,0.001
Comuna,GRD F84 episodes,Crude standardised ratio,knn8,full period,all comunas,342,0.2509,−0.0029,10.08,< 0.001,0.001
Comuna,GRD F84 episodes,Crude standardised ratio,idw,full period,all comunas,342,0.1507,−0.0029,7.39,< 0.001,0.001
Comuna,GRD F84 episodes,Empirical-Bayes smoothed standardised ratio,queen,full period,all comunas,342,0.3399,−0.0029,9.26,< 0.001,0.001
Comuna,GRD F84 episodes,Empirical-Bayes smoothed standardised ratio,knn4,full period,all comunas,342,0.3542,−0.0029,10.05,< 0.001,0.001
Comuna,GRD F84 episodes,Empirical-Bayes smoothed standardised ratio,knn8,full period,all comunas,342,0.3094,−0.0029,12.40,< 0.001,0.001
Comuna,GRD F84 episodes,Empirical-Bayes smoothed standardised ratio,idw,full period,all comunas,342,0.2304,−0.0029,11.23,< 0.001,0.001
Comuna,GRD persons/year,"Rate per 100,000 population",queen,full period,all comunas,342,0.2682,−0.0029,7.32,< 0.001,0.001
Comuna,GRD persons/year,"Rate per 100,000 population",knn4,full period,all comunas,342,0.2832,−0.0029,8.06,< 0.001,0.001
Comuna,GRD persons/year,"Rate per 100,000 population",knn8,full period,all comunas,342,0.2505,−0.0029,10.07,< 0.001,0.001
Comuna,GRD persons/year,"Rate per 100,000 population",idw,full period,all comunas,342,0.1465,−0.0029,7.19,< 0.001,0.001
Comuna,GRD persons/year,Crude standardised ratio,queen,full period,all comunas,342,0.2702,−0.0029,7.38,< 0.001,0.001
Comuna,GRD persons/year,Crude standardised ratio,knn4,full period,all comunas,342,0.2848,−0.0029,8.10,< 0.001,0.001
Comuna,GRD persons/year,Crude standardised ratio,knn8,full period,all comunas,342,0.2530,−0.0029,10.16,< 0.001,0.001
Comuna,GRD persons/year,Crude standardised ratio,idw,full period,all comunas,342,0.1490,−0.0029,7.31,< 0.001,0.001
Comuna,GRD persons/year,Empirical-Bayes smoothed standardised ratio,queen,full period,all comunas,342,0.3646,−0.0029,9.92,< 0.001,0.001
Comuna,GRD persons/year,Empirical-Bayes smoothed standardised ratio,knn4,full period,all comunas,342,0.3733,−0.0029,10.59,< 0.001,0.001
Comuna,GRD persons/year,Empirical-Bayes smoothed standardised ratio,knn8,full period,all comunas,342,0.3211,−0.0029,12.87,< 0.001,0.001
Comuna,GRD persons/year,Empirical-Bayes smoothed standardised ratio,idw,full period,all comunas,342,0.2393,−0.0029,11.66,< 0.001,0.001
Comuna,GRD F84 principal,"Rate per 100,000 population",queen,full period,all comunas,342,0.0822,−0.0029,2.30,0.021,0.017
Comuna,GRD F84 principal,"Rate per 100,000 population",knn4,full period,all comunas,342,0.1086,−0.0029,3.14,0.002,0.007
Comuna,GRD F84 principal,"Rate per 100,000 population",knn8,full period,all comunas,342,0.0958,−0.0029,3.92,< 0.001,0.002
Comuna,GRD F84 principal,"Rate per 100,000 population",idw,full period,all comunas,342,0.0271,−0.0029,1.45,0.148,0.059
Comuna,GRD F84 principal,Crude standardised ratio,queen,full period,all comunas,342,0.0698,−0.0029,1.97,0.049,0.035
