Indicator,Comuna,CUT,Region,Observed,Expected counts (indirect standardisation),Crude standardised ratio,Empirical-Bayes smoothed standardised ratio,LISA,LISA p,Gi*,Gi* z,Gi* p
REM A05 entries ⚠,Florida,8104,Biobío,36,27.1,1.33 (0.93–1.84),1.31,High–High,0.001,Hot spot,1.44,0.001
REM A05 entries ⚠,Arauco,8202,Biobío,293,112.4,2.61 (2.32–2.92),2.58,High–High,0.001,Hot spot,2.33,0.001
REM A05 entries ⚠,Los Álamos,8206,Biobío,97,72.5,1.34 (1.09–1.63),1.33,High–High,0.001,Hot spot,2.11,0.001
REM A05 entries ⚠,Cunco,9103,La Araucanía,36,46.8,0.77 (0.54–1.07),0.78,Low–Low,0.001,Cold spot,−0.77,0.001
REM A05 entries ⚠,Chillán,16101,Ñuble,"2,064",564.3,3.66 (3.50–3.82),3.65,High–High,0.001,Hot spot,1.93,0.001
REM A05 entries ⚠,Bulnes,16102,Ñuble,83,60.8,1.37 (1.09–1.69),1.35,High–High,0.001,Hot spot,1.86,0.001
REM A05 entries ⚠,San Ignacio,16108,Ñuble,76,42.3,1.79 (1.41–2.25),1.76,High–High,0.001,Hot spot,1.67,0.001
REM A05 entries ⚠,Ránquil,16206,Ñuble,9,14.7,0.61 (0.28–1.17),0.66,Low–High,0.001,Hot spot,2.11,0.001
REM A05 entries ⚠,Coihueco,16302,Ñuble,150,84.0,1.78 (1.51–2.09),1.77,High–High,0.001,Hot spot,2.19,0.001
REM A05 entries ⚠,San Nicolás,16305,Ñuble,59,32.0,1.84 (1.40–2.38),1.79,High–High,0.001,Hot spot,2.19,0.001
REM A05 entries ⚠,Penco,8107,Biobío,477,137.3,3.47 (3.17–3.80),3.44,High–High,0.002,Hot spot,2.18,0.002
REM A05 entries ⚠,Talcahuano,8110,Biobío,"1,200",418.4,2.87 (2.71–3.04),2.86,High–High,0.002,Hot spot,2.54,0.002
REM A05 entries ⚠,Pemuco,16105,Ñuble,21,23.7,0.89 (0.55–1.35),0.89,Low–High,0.002,Hot spot,1.29,0.002
REM A05 entries ⚠,Ninhue,16204,Ñuble,7,12.1,0.58 (0.23–1.19),0.64,Low–High,0.002,Hot spot,1.19,0.002
GRD F84 episodes,Los Vilos,4203,Coquimbo,13,30.8,0.42 (0.22–0.72),0.49,Low–Low,0.001,Cold spot,−1.08,0.001
GRD F84 episodes,Quinta de Tilcoco,6114,O'Higgins,5,16.6,0.30 (0.10–0.70),0.44,Low–Low,0.001,Cold spot,−1.12,0.001
GRD F84 episodes,Concepción,8101,Biobío,373,261.0,1.43 (1.29–1.58),1.42,High–High,0.001,Hot spot,1.64,0.001
GRD F84 episodes,Penco,8107,Biobío,116,62.6,1.85 (1.53–2.22),1.80,High–High,0.001,Hot spot,2.03,0.001
GRD F84 episodes,Huechuraba,13107,Metropolitana,88,168.1,0.52 (0.42–0.64),0.53,Low–Low,0.001,Cold spot,−1.07,0.001
GRD F84 episodes,Lo Barnechea,13115,Metropolitana,30,198.2,0.15 (0.10–0.22),0.17,Low–Low,0.001,Cold spot,−1.13,0.001
GRD F84 episodes,Vitacura,13132,Metropolitana,14,113.6,0.12 (0.07–0.21),0.15,Low–Low,0.001,Cold spot,−1.18,0.001
GRD F84 episodes,Colina,13301,Metropolitana,99,304.4,0.33 (0.26–0.40),0.33,Low–Low,0.001,Cold spot,−0.99,0.001
GRD F84 episodes,Ninhue,16204,Ñuble,9,5.5,1.63 (0.74–3.09),1.36,High–High,0.001,Hot spot,1.44,0.001
GRD F84 episodes,Portezuelo,16205,Ñuble,6,5.3,1.14 (0.42–2.47),1.08,High–High,0.001,Hot spot,1.59,0.001
GRD F84 episodes,Ránquil,16206,Ñuble,7,6.7,1.04 (0.42–2.15),1.03,High–High,0.001,Hot spot,1.39,0.001
GRD F84 episodes,San Carlos,16301,Ñuble,200,69.2,2.89 (2.50–3.32),2.78,High–High,0.001,Hot spot,1.96,0.001
GRD F84 episodes,Coihueco,16302,Ñuble,46,37.8,1.22 (0.89–1.62),1.19,High–High,0.001,Hot spot,2.13,0.001
GRD F84 episodes,San Fabián,16304,Ñuble,9,5.4,1.67 (0.76–3.16),1.38,High–High,0.001,Hot spot,1.93,0.001
GRD F84 episodes,San Nicolás,16305,Ñuble,38,14.4,2.64 (1.87–3.63),2.28,High–High,0.001,Hot spot,2.73,0.001
GRD F84 episodes,Florida,8104,Biobío,19,12.3,1.54 (0.93–2.40),1.40,High–High,0.002,Hot spot,1.27,0.002
GRD F84 episodes,San Pedro de la Paz,8108,Biobío,260,213.1,1.22 (1.08–1.38),1.22,High–High,0.002,Hot spot,1.62,0.002
GRD F84 episodes,Talcahuano,8110,Biobío,425,191.5,2.22 (2.01–2.44),2.19,High–High,0.002,Hot spot,2.44,0.002
GRD F84 episodes,Nacimiento,8306,Biobío,24,36.7,0.65 (0.42–0.97),0.69,Low–High,0.002,Hot spot,1.16,0.002
GRD persons/year,Los Vilos,4203,Coquimbo,13,25.5,0.51 (0.27–0.87),0.58,Low–Low,0.001,Cold spot,−1.09,0.001
GRD persons/year,Quinta de Tilcoco,6114,O'Higgins,5,15.0,0.33 (0.11–0.78),0.48,Low–Low,0.001,Cold spot,−1.17,0.001
GRD persons/year,Concepción,8101,Biobío,318,254.2,1.25 (1.12–1.40),1.25,High–High,0.001,Hot spot,1.67,0.001
GRD persons/year,Nacimiento,8306,Biobío,23,29.8,0.77 (0.49–1.16),0.80,Low–High,0.001,Hot spot,1.35,0.001
GRD persons/year,Huechuraba,13107,Metropolitana,72,123.4,0.58 (0.46–0.73),0.60,Low–Low,0.001,Cold spot,−1.03,0.001
GRD persons/year,La Reina,13113,Metropolitana,33,105.9,0.31 (0.21–0.44),0.34,Low–Low,0.001,Cold spot,−1.27,0.001
GRD persons/year,Las Condes,13114,Metropolitana,45,360.0,0.13 (0.09–0.17),0.14,Low–Low,0.001,Cold spot,−1.14,0.001
GRD persons/year,Providencia,13123,Metropolitana,75,171.8,0.44 (0.34–0.55),0.45,Low–Low,0.001,Cold spot,−1.27,0.001
GRD persons/year,Recoleta,13127,Metropolitana,138,206.5,0.67 (0.56–0.79),0.68,Low–Low,0.001,Cold spot,−0.86,0.001
GRD persons/year,Vitacura,13132,Metropolitana,12,103.1,0.12 (0.06–0.20),0.15,Low–Low,0.001,Cold spot,−1.33,0.001
GRD persons/year,Portezuelo,16205,Ñuble,6,5.2,1.15 (0.42–2.51),1.08,High–High,0.001,Hot spot,1.33,0.001
GRD persons/year,Ránquil,16206,Ñuble,6,6.7,0.90 (0.33–1.96),0.94,High–High,0.001,Hot spot,1.37,0.001
GRD persons/year,San Carlos,16301,Ñuble,168,60.3,2.79 (2.38–3.24),2.67,High–High,0.001,Hot spot,1.88,0.001
GRD persons/year,Coihueco,16302,Ñuble,45,30.6,1.47 (1.07–1.97),1.41,High–High,0.001,Hot spot,2.40,0.001
GRD persons/year,San Fabián,16304,Ñuble,9,5.0,1.79 (0.82–3.39),1.43,High–High,0.001,Hot spot,2.01,0.001
GRD persons/year,San Nicolás,16305,Ñuble,30,13.1,2.28 (1.54–3.26),1.97,High–High,0.001,Hot spot,2.55,0.001
GRD persons/year,Penco,8107,Biobío,95,53.2,1.79 (1.44–2.18),1.73,High–High,0.002,Hot spot,1.88,0.002
GRD persons/year,San Pedro de la Paz,8108,Biobío,220,160.1,1.37 (1.20–1.57),1.37,High–High,0.002,Hot spot,1.65,0.002
GRD persons/year,Lo Barnechea,13115,Metropolitana,28,136.4,0.21 (0.14–0.30),0.23,Low–Low,0.002,Cold spot,−1.10,0.002
GRD persons/year,Ñiquén,16303,Ñuble,16,12.3,1.30 (0.75–2.12),1.23,High–High,0.002,Hot spot,1.48,0.002
GRD persons/year,Las Cabras,6107,O'Higgins,20,29.1,0.69 (0.42–1.06),0.73,Low–Low,0.003,Cold spot,−0.82,0.003
GRD persons/year,Hualpén,8112,Biobío,215,103.9,2.07 (1.80–2.37),2.03,High–High,0.003,Hot spot,2.09,0.003
GRD persons/year,Chillán,16101,Ñuble,565,214.7,2.63 (2.42–2.86),2.60,High–High,0.003,Hot spot,1.42,0.003
GRD persons/year,San Vicente,6117,O'Higgins,17,54.9,0.31 (0.18–0.50),0.36,Low–Low,0.004,Cold spot,−0.74,0.004
GRD persons/year,Santa Juana,8109,Biobío,18,15.8,1.14 (0.68–1.80),1.11,High–High,0.004,Hot spot,1.03,0.004
GRD persons/year,Talcahuano,8110,Biobío,364,168.2,2.16 (1.95–2.40),2.14,High–High,0.004,Hot spot,2.33,0.004
GRD persons/year,Chillán Viejo,16103,Ñuble,26,37.1,0.70 (0.46–1.03),0.73,Low–High,0.004,Hot spot,1.33,0.004
GRD persons/year,Ninhue,16204,Ñuble,6,5.7,1.05 (0.39–2.28),1.03,High–High,0.004,Hot spot,1.16,0.004
REM P2 December ⚠,Huechuraba,13107,Metropolitana,108,473.1,0.23 (0.19–0.28),0.23,Low–Low,0.001,Cold spot,−1.08,0.001
REM P2 December ⚠,Las Condes,13114,Metropolitana,373,"1,375.5",0.27 (0.24–0.30),0.27,Low–Low,0.001,Cold spot,−1.09,0.001
REM P2 December ⚠,Providencia,13123,Metropolitana,170,656.5,0.26 (0.22–0.30),0.26,Low–Low,0.001,Cold spot,−1.15,0.001
REM P2 December ⚠,Recoleta,13127,Metropolitana,563,788.4,0.71 (0.66–0.78),0.71,Low–Low,0.001,Cold spot,−1.09,0.001
REM P2 December ⚠,Chillán,16101,Ñuble,"1,197",817.8,1.46 (1.38–1.55),1.46,High–High,0.001,Hot spot,1.35,0.001
REM P2 December ⚠,Yungay,16109,Ñuble,104,75.6,1.38 (1.12–1.67),1.37,High–High,0.001,Hot spot,1.63,0.001
REM P2 December ⚠,San Fabián,16304,Ñuble,34,19.2,1.77 (1.23–2.47),1.70,High–High,0.001,Hot spot,1.48,0.001
