Series,Panel,Activity,Code position,2019,2020,2021,2022,2023,2024
F84 family excluding Rett syndrome,"Observed annual panel (65, 65, 65, 65, 68 and 72)",All activities,Any position,"2,334; 202.7 (194.6–211.1)","1,609; 205.8 (195.8–216.1)","2,367; 289.8 (278.2–301.7)","3,859; 413.7 (400.7–426.9)","6,423; 617.8 (602.8–633.1)","8,731; 804.1 (787.3–821.1)"
F84 family excluding Rett syndrome,"Observed annual panel (65, 65, 65, 65, 68 and 72)",All activities,F84 principal,228; 19.8 (17.3–22.5),157; 20.1 (17.1–23.5),186; 22.8 (19.6–26.3),295; 31.6 (28.1–35.4),361; 34.7 (31.2–38.5),390; 35.9 (32.4–39.7)
F84 family excluding Rett syndrome,"Observed annual panel (65, 65, 65, 65, 68 and 72)",All activities,Secondary only,"2,106; 182.9 (175.2–190.9)","1,452; 185.7 (176.3–195.5)","2,181; 267.0 (255.9–278.4)","3,564; 382.1 (369.6–394.8)","6,062; 583.1 (568.5–598.0)","8,341; 768.2 (751.8–784.8)"
F84 family excluding Rett syndrome,"Observed annual panel (65, 65, 65, 65, 68 and 72)",All activities,Principal and secondary,6; 0.5 (0.2–1.1),6; 0.8 (0.3–1.7),3; 0.4 (0.1–1.1),8; 0.9 (0.4–1.7),7; 0.7 (0.3–1.4),15; 1.4 (0.8–2.3)
F84 family excluding Rett syndrome,"Observed annual panel (65, 65, 65, 65, 68 and 72)",Strict hospitalisation,Any position,"1,911; 215.5 (206.0–225.4)","1,526; 217.3 (206.5–228.5)","2,187; 306.3 (293.6–319.4)","3,509; 451.0 (436.2–466.2)","5,792; 684.6 (667.1–702.5)","7,619; 872.0 (852.5–891.8)"
F84 family excluding Rett syndrome,"Observed annual panel (65, 65, 65, 65, 68 and 72)",Strict hospitalisation,F84 principal,203; 22.9 (19.9–26.3),155; 22.1 (18.7–25.8),186; 26.1 (22.4–30.1),295; 37.9 (33.7–42.5),361; 42.7 (38.4–47.3),390; 44.6 (40.3–49.3)
F84 family excluding Rett syndrome,"Observed annual panel (65, 65, 65, 65, 68 and 72)",Strict hospitalisation,Secondary only,"1,708; 192.6 (183.6–202.0)","1,371; 195.2 (185.0–205.8)","2,001; 280.3 (268.1–292.8)","3,214; 413.1 (398.9–427.6)","5,431; 641.9 (625.0–659.2)","7,229; 827.3 (808.4–846.6)"
F84 family excluding Rett syndrome,"Observed annual panel (65, 65, 65, 65, 68 and 72)",Strict hospitalisation,Principal and secondary,6; 0.7 (0.2–1.5),6; 0.9 (0.3–1.9),3; 0.4 (0.1–1.2),8; 1.0 (0.4–2.0),7; 0.8 (0.3–1.7),15; 1.7 (1.0–2.8)
F84 family excluding Rett syndrome,"Observed annual panel (65, 65, 65, 65, 68 and 72)",Major ambulatory surgery,Any position,168; 114.3 (97.7–133.0),83; 104.2 (83.0–129.2),180; 174.9 (150.3–202.4),350; 226.1 (203.1–251.1),631; 326.0 (301.1–352.5),"1,112; 524.4 (494.1–556.2)"
F84 family excluding Rett syndrome,"Observed annual panel (65, 65, 65, 65, 68 and 72)",Major ambulatory surgery,F84 principal,1; 0.7 (0.0–3.8),2; 2.5 (0.3–9.1),0; 0.0 (0.0–3.6),0; 0.0 (0.0–2.4),0; 0.0 (0.0–1.9),0; 0.0 (0.0–1.7)
