Hospital (GRD code — name),Fixed panel of 65,2019,2020,2021,2022,2023,2024,Total 2019–2024
"114101 — Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Yes,107; 192.0 (157.4–232.0),69; 186.3 (144.9–235.8),174; 388.0 (332.5–450.2),274; 577.7 (511.4–650.4),"476; 958.7 (874.5–1,048.8)","515; 1,042.3 (954.2–1,136.3)","1,615"
"113130 — Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)",Yes,59; 576.8 (439.1–744.0),"70; 1,209.4 (942.8–1,528.0)","154; 2,039.7 (1,730.3–2,388.5)","259; 2,953.2 (2,604.5–3,335.7)","332; 3,656.8 (3,274.0–4,072.1)","518; 5,210.7 (4,771.6–5,679.4)","1,392"
118100 — Hospital Clínico Regional Dr. Guillermo Grant Benavente (Concepción),Yes,132; 328.9 (275.2–390.0),94; 381.2 (308.0–466.5),132; 457.5 (382.8–542.5),181; 580.7 (499.2–671.8),"313; 916.7 (818.0–1,024.1)","344; 978.7 (878.0–1,087.8)","1,196"
103100 — Hospital Dr. Leonardo Guzmán (Antofagasta),Yes,89; 377.6 (303.2–464.6),75; 405.1 (318.7–507.8),124; 615.8 (512.2–734.2),165; 801.4 (683.7–933.4),"285; 1,352.2 (1,199.8–1,518.7)","334; 1,443.3 (1,292.7–1,606.7)","1,072"
"109101 — Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",Yes,"89; 842.7 (676.8–1,037.0)","71; 1,274.2 (995.2–1,607.3)","125; 1,982.6 (1,650.3–2,362.1)","196; 2,559.7 (2,213.9–2,944.3)","258; 3,001.0 (2,646.0–3,390.5)","331; 3,610.4 (3,231.9–4,021.0)","1,070"
"111100 — Hospital Clínico San Borja-Arriarán (Santiago, Santiago)",Yes,178; 625.1 (536.7–724.0),91; 504.4 (406.1–619.3),47; 521.1 (382.9–692.9),109; 618.0 (507.5–745.5),"254; 1,282.1 (1,129.2–1,449.8)","337; 1,662.6 (1,489.8–1,850.0)","1,016"
117101 — Hospital Clínico Herminda Martín (Chillán),Yes,98; 372.2 (302.1–453.5),55; 314.8 (237.2–409.8),123; 643.0 (534.4–767.2),"199; 870.5 (753.7–1,000.2)","245; 978.0 (859.3–1,108.4)","281; 1,088.0 (964.5–1,222.9)","1,001"
107100 — Hospital Dr. Gustavo Fricke (Viña del Mar),Yes,67; 215.6 (167.1–273.8),74; 430.4 (338.0–540.3),68; 409.9 (318.3–519.6),137; 708.4 (594.8–837.5),"266; 999.1 (882.6–1,126.7)","370; 1,323.8 (1,192.3–1,465.8)",982
121109 — Hospital Dr. Hernán Henríquez Aravena (Temuco),Yes,72; 205.2 (160.5–258.4),64; 273.7 (210.8–349.6),80; 341.0 (270.4–424.4),114; 441.1 (363.9–529.9),231; 775.5 (678.7–882.3),"290; 981.7 (872.0–1,101.5)",851
"112102 — Hospital de Niños Dr. Luis Calvo Mackenna (Santiago, Providencia)",Yes,86; 650.7 (520.5–803.6),45; 738.6 (538.7–988.2),"72; 888.8 (695.4–1,119.3)","144; 1,727.7 (1,457.0–2,034.0)","179; 2,030.4 (1,743.8–2,350.6)","258; 3,513.1 (3,097.4–3,968.9)",784
120101 — Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Ángeles),Yes,147; 442.9 (374.2–520.6),83; 374.3 (298.1–464.0),64; 282.0 (217.2–360.1),96; 329.9 (267.2–402.8),182; 582.4 (500.8–673.4),209; 684.6 (595.0–784.0),781
119100 — Hospital Las Higueras (Talcahuano),Yes,69; 269.8 (209.9–341.5),46; 272.2 (199.3–363.1),74; 419.2 (329.2–526.3),138; 640.0 (537.7–756.1),186; 785.1 (676.3–906.4),"257; 1,001.8 (883.1–1,132.1)",770
106100 — Hospital Carlos Van Buren (Valparaíso),Yes,80; 190.4 (150.9–236.9),38; 280.4 (198.4–384.8),44; 300.4 (218.3–403.3),89; 509.2 (408.9–626.6),161; 772.4 (657.7–901.4),"275; 1,290.1 (1,142.1–1,452.0)",687
115100 — Hospital Regional de Rancagua,Yes,32; 103.9 (71.0–146.6),43; 191.0 (138.2–257.3),62; 271.6 (208.2–348.2),91; 354.5 (285.4–435.3),161; 613.2 (522.1–715.5),193; 715.8 (618.4–824.2),582
102100 — Hospital Dr. Ernesto Torres Galdames (Iquique),Yes,62; 278.7 (213.7–357.3),33; 190.7 (131.3–267.8),42; 234.6 (169.1–317.1),94; 485.6 (392.4–594.2),128; 621.3 (518.3–738.7),"212; 1,044.5 (908.6–1,195.0)",571
105101 — Hospital San Pablo (Coquimbo),Yes,50; 259.7 (192.7–342.3),26; 189.1 (123.5–277.1),55; 376.0 (283.3–489.4),71; 440.4 (344.0–555.6),146; 786.0 (663.7–924.3),"213; 1,141.5 (993.3–1,305.5)",561
101100 — Hospital Dr. Juan Noé Crevanni (Arica),Yes,38; 192.6 (136.3–264.4),33; 216.9 (149.3–304.7),67; 402.1 (311.6–510.7),95; 528.6 (427.7–646.2),151; 777.5 (658.5–911.9),169; 859.5 (734.8–999.3),553
105100 — Hospital San Juan de Dios (La Serena),Yes,30; 161.5 (108.9–230.5),24; 193.7 (124.1–288.1),54; 378.3 (284.2–493.6),92; 598.1 (482.2–733.5),136; 681.7 (571.9–806.3),"206; 975.3 (846.6–1,118.0)",542
124105 — Hospital de Puerto Montt,Yes,54; 177.1 (133.0–231.1),34; 155.2 (107.5–216.9),49; 214.3 (158.5–283.3),84; 334.8 (267.1–414.5),133; 454.2 (380.3–538.3),183; 600.9 (517.0–694.6),537
116105 — Hospital Dr. César Garavagno Burotto (Talca),Yes,51; 160.1 (119.2–210.4),40; 158.0 (112.9–215.1),37; 144.5 (101.7–199.1),88; 290.5 (233.0–357.9),139; 432.4 (363.5–510.5),171; 505.1 (432.2–586.7),526
"110120 — Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal)",Yes,57; 275.9 (209.0–357.5),38; 240.5 (170.2–330.1),49; 254.4 (188.2–336.3),65; 272.6 (210.4–347.4),119; 474.8 (393.3–568.2),149; 576.7 (487.8–677.1),477
114105 — Hospital Clínico Metropolitano La Florida Dra. Eloisa Díaz Inzunza,Yes,22; 108.7 (68.1–164.6),34; 221.3 (153.2–309.2),44; 258.4 (187.8–346.9),60; 297.8 (227.3–383.3),119; 562.0 (465.5–672.5),158; 786.4 (668.6–919.1),437
123100 — Hospital Base San José de Osorno,Yes,42; 188.9 (136.2–255.4),30; 205.8 (138.9–293.8),50; 337.8 (250.7–445.4),66; 382.4 (295.7–486.5),97; 499.8 (405.3–609.7),152; 753.6 (638.6–883.4),437
122100 — Hospital Clínico Regional (Valdivia),Yes,81; 323.1 (256.6–401.6),58; 341.5 (259.3–441.5),39; 228.6 (162.6–312.5),61; 315.0 (241.0–404.7),88; 369.2 (296.1–454.8),102; 433.1 (353.2–525.8),429
126100 — Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria,Yes,59; 437.8 (333.3–564.7),39; 441.1 (313.7–603.0),48; 460.3 (339.4–610.3),60; 526.5 (401.8–677.8),81; 613.9 (487.5–763.0),85; 632.7 (505.4–782.4),372
111101 — Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Yes,39; 154.8 (110.1–211.6),18; 108.7 (64.4–171.8),25; 140.4 (90.8–207.2),47; 253.7 (186.4–337.4),94; 460.4 (372.1–563.5),144; 706.3 (595.6–831.5),367
116108 — Hospital Presidente Carlos Ibáñez del Campo (Linares),Yes,16; 98.6 (56.3–160.0),15; 132.3 (74.0–218.2),37; 314.4 (221.3–433.3),66; 483.1 (373.6–614.6),106; 727.7 (595.8–880.1),"124; 874.8 (727.6–1,043.1)",364
103101 — Hospital Dr. Carlos Cisternas (Calama),Yes,20; 210.5 (128.6–325.1),17; 187.3 (109.1–299.9),17; 189.4 (110.3–303.2),41; 391.1 (280.7–530.6),"118; 1,036.5 (858.0–1,241.3)","133; 1,206.8 (1,010.4–1,430.2)",346
"110100 — Hospital San Juan de Dios (Santiago, Santiago)",Yes,45; 133.8 (97.6–179.1),15; 74.8 (41.9–123.3),27; 128.7 (84.8–187.2),37; 152.5 (107.4–210.3),81; 302.9 (240.5–376.4),93; 349.2 (281.9–427.8),298
114103 — Hospital Padre Alberto Hurtado (San Ramón),Yes,27; 131.4 (86.6–191.1),9; 57.7 (26.4–109.6),24; 158.3 (101.5–235.6),44; 235.3 (171.0–315.9),65; 338.6 (261.4–431.6),107; 511.3 (419.0–617.8),276
105102 — Hospital Dr. Antonio Tirado Lanas (Ovalle),Yes,17; 132.2 (77.0–211.7),11; 137.8 (68.8–246.6),8; 96.5 (41.7–190.2),46; 411.8 (301.5–549.3),68; 536.0 (416.2–679.5),"101; 871.7 (710.0–1,059.2)",251
116100 — Hospital San Juan de Dios (Curicó),Yes,15; 72.4 (40.5–119.4),5; 37.3 (12.1–87.0),10; 79.8 (38.3–146.8),18; 110.7 (65.6–175.0),46; 254.3 (186.2–339.2),122; 570.2 (473.5–680.8),216
117102 — Hospital de San Carlos,Yes,14; 160.9 (87.9–269.9),9; 141.6 (64.7–268.8),17; 246.8 (143.8–395.1),17; 215.4 (125.5–344.8),62; 729.4 (559.2–935.1),"89; 971.6 (780.3–1,195.7)",208
107101 — Hospital San Martín (Quillota),Yes,13; 98.4 (52.4–168.3),9; 102.7 (47.0–195.0),16; 188.7 (107.9–306.5),27; 288.6 (190.2–420.0),47; 342.4 (251.6–455.3),95; 666.9 (539.6–815.3),207
107102 — Hospital de Quilpué,Yes,14; 126.0 (68.9–211.5),18; 257.3 (152.5–406.6),18; 257.4 (152.6–406.8),29; 351.6 (235.5–505.0),59; 655.7 (499.2–845.8),64; 671.8 (517.4–857.9),202
"113180 — Hospital El Pino (Santiago, San Bernardo)",Yes,13; 78.4 (41.7–134.0),8; 59.8 (25.8–117.8),22; 159.8 (100.1–241.9),43; 284.6 (206.0–383.3),39; 246.6 (175.3–337.0),62; 389.9 (298.9–499.9),187
118105 — Hospital San José (Coronel),Yes,11; 152.5 (76.1–272.9),9; 168.3 (77.0–319.5),12; 224.3 (115.9–391.9),20; 302.1 (184.5–466.6),47; 639.9 (470.2–850.9),"83; 1,084.1 (863.5–1,343.9)",182
125100 — Hospital Regional (Coihaique),Yes,12; 123.9 (64.0–216.3),9; 121.9 (55.7–231.4),17; 231.2 (134.7–370.2),30; 358.5 (241.9–511.7),45; 460.3 (335.7–615.9),69; 689.2 (536.3–872.3),182
129100 — Hospital Dr. Mauricio Heyermann (Angol),Yes,7; 77.1 (31.0–158.9),9; 141.1 (64.5–267.9),12; 143.9 (74.4–251.4),39; 384.7 (273.5–525.8),48; 464.1 (342.2–615.3),65; 607.4 (468.8–774.1),180
104100 — Hospital San José del Carmen (Copiapó),Yes,12; 86.6 (44.7–151.2),7; 64.2 (25.8–132.3),13; 109.7 (58.4–187.6),27; 220.2 (145.1–320.4),43; 316.2 (228.8–425.9),57; 399.4 (302.5–517.4),159
115107 — Hospital San Juan de Dios (San Fernando),Yes,37; 342.4 (241.1–472.0),8; 120.4 (52.0–237.2),15; 203.3 (113.8–335.3),15; 168.3 (94.2–277.6),29; 305.8 (204.8–439.2),48; 495.6 (365.4–657.1),152
133150 — Hospital de Castro,Yes,11; 106.2 (53.0–190.0),8; 126.0 (54.4–248.3),15; 223.2 (124.9–368.2),15; 182.7 (102.3–301.3),44; 520.1 (377.9–698.2),59; 683.5 (520.3–881.7),152
112104 — Instituto de Neurocirugía Dr. Alfonso Asenjo,Yes,2; 47.8 (5.8–172.6),10; 408.8 (196.1–751.9),"31; 1,110.7 (754.7–1,576.6)","31; 909.4 (617.9–1,290.8)","27; 758.9 (500.1–1,104.1)","47; 1,320.2 (970.1–1,755.6)",148
108100 — Hospital de San Camilo (San Felipe),Yes,17; 130.2 (75.8–208.4),10; 105.9 (50.8–194.7),16; 174.9 (100.0–284.1),20; 184.0 (112.4–284.1),40; 316.6 (226.2–431.2),41; 310.3 (222.7–421.0),144
"113100 — Hospital Barros Luco Trudeau (Santiago, San Miguel)",Yes,14; 41.0 (22.4–68.8),12; 41.9 (21.6–73.2),24; 85.9 (55.0–127.7),23; 85.8 (54.4–128.8),28; 104.9 (69.7–151.6),41; 151.1 (108.4–205.0),142
104103 — Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar),Yes,14; 244.8 (133.8–410.7),6; 132.7 (48.7–288.9),12; 251.2 (129.8–438.7),22; 383.6 (240.4–580.8),31; 489.3 (332.4–694.5),33; 511.2 (351.9–718.0),118
128109 — Hospital Provincial Dr. Rafael Avaría (Curanilahue),Yes,12; 180.1 (93.0–314.5),4; 71.8 (19.6–183.7),14; 279.0 (152.5–468.1),16; 253.7 (145.0–412.0),37; 532.1 (374.6–733.4),26; 367.0 (239.7–537.7),109
106103 — Hospital Claudio Vicuña (San Antonio),Yes,21; 231.0 (143.0–353.2),11; 186.3 (93.0–333.4),6; 87.3 (32.1–190.1),12; 152.2 (78.6–265.8),18; 192.8 (114.2–304.6),37; 373.7 (263.1–515.1),105
"112100 — Hospital Del Salvador (Santiago, Providencia)",Yes,8; 35.5 (15.3–70.0),4; 26.2 (7.1–67.0),13; 80.4 (42.8–137.5),13; 75.7 (40.3–129.4),23; 125.6 (79.6–188.5),43; 227.8 (164.9–306.9),104
"109100 — Complejo Hospitalario San José (Santiago, Independencia)",Yes,12; 33.4 (17.3–58.4),8; 32.1 (13.9–63.3),10; 40.1 (19.2–73.7),13; 46.0 (24.5–78.6),21; 73.7 (45.6–112.6),38; 139.9 (99.0–192.1),102
129106 — Hospital San José (Victoria),Yes,12; 140.7 (72.7–245.8),13; 232.6 (123.9–397.8),6; 95.0 (34.9–206.9),10; 135.3 (64.9–248.9),26; 321.9 (210.3–471.7),35; 418.2 (291.3–581.6),102
121121 — Hospital de Villarrica,Yes,5; 94.5 (30.7–220.4),2; 52.0 (6.3–188.0),9; 214.2 (97.9–406.6),14; 274.5 (150.0–460.5),15; 286.2 (160.2–472.0),51; 751.2 (559.3–987.7),96
115110 — Hospital de Santa Cruz,Yes,8; 99.8 (43.1–196.6),5; 91.0 (29.6–212.5),6; 103.6 (38.0–225.4),17; 231.7 (135.0–370.9),17; 237.6 (138.4–380.4),32; 457.1 (312.6–645.3),85
121110 — Hospital Dr. Abraham Godoy (Lautaro),Yes,5; 74.6 (24.2–174.1),1; 25.9 (0.7–144.3),6; 153.3 (56.2–333.6),19; 461.6 (277.9–720.9),17; 381.5 (222.2–610.8),"37; 788.2 (555.0–1,086.5)",85
110150 — Hospital San José (Melipilla),Yes,3; 38.1 (7.9–111.4),5; 77.6 (25.2–181.1),7; 103.7 (41.7–213.6),9; 109.0 (49.8–206.8),25; 281.1 (181.9–414.9),30; 293.9 (198.3–419.6),79
108101 — Hospital San Juan de Dios (Los Andes),Yes,7; 72.5 (29.2–149.4),4; 56.7 (15.5–145.2),5; 69.9 (22.7–163.1),6; 77.5 (28.5–168.7),20; 236.5 (144.5–365.3),25; 284.6 (184.2–420.1),67
121114 — Hospital Intercultural de Nueva Imperial,Yes,2; 28.8 (3.5–104.1),2; 27.7 (3.4–100.1),8; 159.0 (68.6–313.3),11; 223.5 (111.6–400.0),17; 283.1 (164.9–453.3),24; 402.3 (257.7–598.6),64
110130 — Hospital Adalberto Steeger (Talagante),Yes,2; 29.9 (3.6–108.1),1; 19.6 (0.5–109.4),6; 110.1 (40.4–239.6),6; 107.9 (39.6–234.8),18; 295.2 (174.9–466.5),21; 351.6 (217.7–537.5),54
116110 — Hospital San José (Parral),Yes,2; 38.2 (4.6–137.8),4; 109.0 (29.7–279.0),1; 24.3 (0.6–135.7),5; 110.7 (35.9–258.4),22; 436.0 (273.2–660.1),19; 394.4 (237.5–616.0),53
121117 — Hospital de Pitrufquén,Yes,2; 32.8 (4.0–118.4),5; 133.6 (43.4–311.8),2; 62.1 (7.5–224.3),4; 113.9 (31.0–291.6),13; 321.2 (171.0–549.3),21; 538.9 (333.6–823.7),47
"112101 — Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Yes,3; 16.0 (3.3–46.6),5; 34.7 (11.3–81.0),2; 14.1 (1.7–50.9),4; 24.2 (6.6–62.0),16; 91.2 (52.1–148.0),14; 79.0 (43.2–132.6),44
113150 — Hospital San Luis (Buin),Yes,3; 48.1 (9.9–140.5),3; 69.8 (14.4–204.1),0; 0.0 (0.0–75.8),8; 141.0 (60.9–277.9),17; 305.9 (178.2–489.8),12; 215.3 (111.3–376.1),43
106102 — Hospital Dr. Eduardo Pereira Ramírez (Valparaíso),Yes,4; 65.3 (17.8–167.2),1; 25.3 (0.6–140.7),0; 0.0 (0.0–99.6),4; 99.8 (27.2–255.5),3; 62.3 (12.8–182.0),13; 272.0 (144.8–465.2),25
111195 — Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,Yes,1; 8.9 (0.2–49.4),1; 11.4 (0.3–63.3),1; 9.6 (0.2–53.2),3; 28.1 (5.8–82.1),8; 71.2 (30.7–140.3),8; 69.2 (29.9–136.3),22
112103 — Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,Yes,1; 13.3 (0.3–74.0),1; 35.1 (0.9–195.3),0; 0.0 (0.0–119.5),0; 0.0 (0.0–114.6),5; 139.1 (45.2–324.7),5; 126.6 (41.1–295.3),12
118106 — Hospital de Lota,No,not reported,not reported,not reported,not reported,31; 569.4 (386.9–808.3),"58; 928.4 (705.0–1,200.2)",89
119102 — Hospital Penco - Lirquén,No,not reported,not reported,not reported,not reported,not reported,"86; 2,068.8 (1,654.8–2,555.0)",86
119101 — Hospital de Tomé,No,not reported,not reported,not reported,not reported,16; 361.1 (206.4–586.4),26; 643.2 (420.2–942.5),42
200717 — Complejo Asistencial Padre las Casas,No,not reported,not reported,not reported,not reported,not reported,42; 405.6 (292.3–548.3),42
116107 — Hospital de Constitución,No,not reported,not reported,not reported,not reported,not reported,19; 593.0 (357.0–926.1),19
116111 — Hospital San Juan de Dios (Cauquenes),No,not reported,not reported,not reported,not reported,not reported,17; 363.1 (211.5–581.3),17
110110 — Instituto Traumatológico Dr. Teodoro Gebauer,No,not reported,not reported,not reported,not reported,5; 106.8 (34.7–249.2),3; 67.9 (14.0–198.3),8
