Declared region of residence,2019,2020,2021,2022,2023,2024
Arica y Parinacota,42; 8.5 (6.1–11.5),35; 6.9 (4.8–9.7),68; 13.3 (10.3–16.9),103; 20.0 (16.3–24.2),162; 31.2 (26.6–36.4),184; 35.1 (30.2–40.6)
Tarapacá,68; 9.2 (7.2–11.7),32; 4.2 (2.9–5.9),45; 5.8 (4.2–7.7),94; 11.8 (9.6–14.5),132; 16.4 (13.8–19.5),228; 28.1 (24.5–31.9)
Antofagasta,110; 8.2 (6.8–9.9),94; 6.8 (5.5–8.3),147; 10.4 (8.8–12.3),214; 15.1 (13.1–17.2),410; 28.7 (26.0–31.6),481; 33.5 (30.6–36.6)
Atacama,38; 6.1 (4.3–8.4),20; 3.2 (1.9–4.9),26; 4.1 (2.7–6.0),55; 8.6 (6.5–11.3),109; 17.1 (14.0–20.6),110; 17.2 (14.1–20.7)
Coquimbo,107; 6.5 (5.3–7.9),82; 4.9 (3.9–6.1),137; 8.1 (6.8–9.5),236; 13.7 (12.0–15.6),359; 20.7 (18.6–22.9),555; 31.6 (29.0–34.3)
Valparaíso,227; 5.9 (5.1–6.7),166; 4.2 (3.6–4.9),177; 4.5 (3.8–5.2),331; 8.3 (7.4–9.2),625; 15.5 (14.3–16.8),931; 23.0 (21.5–24.5)
Metropolitana,697; 4.4 (4.1–4.7),473; 2.9 (2.7–3.2),796; 4.8 (4.5–5.2),"1,277; 7.7 (7.3–8.1)","2,091; 12.5 (12.0–13.0)","2,754; 16.4 (15.7–17.0)"
O'Higgins,89; 4.5 (3.7–5.6),56; 2.8 (2.1–3.7),97; 4.8 (3.9–5.9),147; 7.3 (6.2–8.6),219; 10.8 (9.4–12.3),301; 14.7 (13.1–16.4)
Maule,88; 3.9 (3.2–4.8),72; 3.2 (2.5–4.0),86; 3.8 (3.0–4.6),196; 8.5 (7.4–9.8),328; 14.1 (12.6–15.7),489; 20.9 (19.1–22.8)
Ñuble,120; 11.8 (9.8–14.1),69; 6.7 (5.2–8.5),155; 15.1 (12.8–17.6),221; 21.4 (18.6–24.4),312; 30.0 (26.8–33.6),375; 35.9 (32.4–39.8)
Biobío,367; 11.1 (10.0–12.3),231; 6.9 (6.1–7.9),286; 8.6 (7.6–9.6),451; 13.5 (12.2–14.8),809; 24.1 (22.4–25.8),"1,090; 32.3 (30.4–34.3)"
La Araucanía,108; 5.4 (4.4–6.5),96; 4.7 (3.8–5.8),127; 6.2 (5.2–7.4),210; 10.3 (8.9–11.7),371; 18.0 (16.3–20.0),570; 27.6 (25.4–30.0)
Los Ríos,54; 6.7 (5.0–8.7),45; 5.5 (4.0–7.4),38; 4.7 (3.3–6.4),62; 7.6 (5.8–9.7),91; 11.1 (8.9–13.6),113; 13.7 (11.3–16.5)
Los Lagos,140; 7.9 (6.7–9.3),90; 5.0 (4.1–6.2),117; 6.5 (5.4–7.8),171; 9.5 (8.1–11.0),276; 15.2 (13.5–17.1),388; 21.3 (19.2–23.5)
Aysén,15; 7.0 (3.9–11.6),9; 4.2 (1.9–8.0),18; 8.4 (5.0–13.2),31; 14.3 (9.7–20.4),47; 21.7 (15.9–28.9),75; 34.6 (27.2–43.3)
Magallanes,62; 17.6 (13.5–22.6),39; 10.9 (7.8–14.9),47; 13.1 (9.6–17.4),60; 16.6 (12.6–21.3),82; 22.5 (17.9–27.9),87; 23.7 (19.0–29.3)
Not linked to an INE comuna,< 5,n/e,n/e,n/e,n/e,n/e
