Block,Indicator,2019,2020,2021,2022,2023,2024
Position × activity,Any position · All activities,"2,334; 2 (0–6); 7.8","1,609; 3 (1–8); 12.3","2,367; 3 (1–7); 10.3","3,859; 3 (1–7); 7.5","6,423; 3 (1–7); 6.9","8,728; 3 (1–7); 6.7"
Position × activity,Any position · Strict hospitalisation,"1,911; 3 (1–7); 9.4","1,526; 4 (1–9); 12.9","2,187; 3 (1–8); 11.1","3,509; 3 (1–8); 8.2","5,792; 3 (1–8); 7.7","7,616; 3 (1–8); 7.7"
Position × activity,Any position · Major ambulatory surgery,168; 0 (0–0); 0.0,83; 0 (0–0); 0.0,180; 0 (0–0); 0.1,350; 0 (0–0); 0.0,631; 0 (0–0); 0.0,"1,112; 0 (0–0); 0.0"
Position × activity,Any position · Other modalities (2019 only),255; 0 (0–1); 1.0,n/e,n/e,n/e,n/e,n/e
Position × activity,F84 principal · All activities,228; 5 (1–19); 14.6,157; 7 (3–21); 29.7,186; 10 (1–25); 29.1,295; 7 (1–19); 17.2,361; 5 (1–16); 15.8,388; 6 (2–15); 13.4
Position × activity,F84 principal · Strict hospitalisation,203; 7 (1–21); 16.1,155; 8 (4–21); 30.1,186; 10 (1–25); 29.1,295; 7 (1–19); 17.2,361; 5 (1–16); 15.8,388; 6 (2–15); 13.4
Position × activity,F84 principal · Major ambulatory surgery,1; 0 (0–0); 0.0,2; 0 (0–0); 0.0,n/e,n/e,n/e,n/e
Position × activity,F84 principal · Other modalities (2019 only),24; 1 (0–3); 2.9,n/e,n/e,n/e,n/e,n/e
Position × activity,Secondary only · All activities,"2,106; 2 (0–5); 7.1","1,452; 3 (1–7); 10.4","2,181; 3 (1–7); 8.7","3,564; 3 (1–6); 6.7","6,062; 3 (1–7); 6.4","8,340; 3 (1–7); 6.4"
Position × activity,Secondary only · Strict hospitalisation,"1,708; 3 (1–7); 8.6","1,371; 3 (1–8); 11.0","2,001; 3 (1–7); 9.4","3,214; 3 (1–7); 7.4","5,431; 3 (1–7); 7.1","7,228; 3 (1–7); 7.3"
Position × activity,Secondary only · Major ambulatory surgery,167; 0 (0–0); 0.0,81; 0 (0–0); 0.0,180; 0 (0–0); 0.1,350; 0 (0–0); 0.0,631; 0 (0–0); 0.0,"1,112; 0 (0–0); 0.0"
Position × activity,Secondary only · Other modalities (2019 only),231; 0 (0–0); 0.8,n/e,n/e,n/e,n/e,n/e
Position × activity,All GRD episodes · All activities,"1,151,455; 2 (1–5); 5.3","781,902; 3 (1–7); 6.6","816,909; 3 (1–7); 6.9","932,838; 3 (1–6); 6.2","1,039,587; 2 (1–6); 5.8","1,085,761; 2 (1–6); 5.7"
Position × activity,All GRD episodes · Strict hospitalisation,"886,625; 3 (2–7); 6.7","702,270; 3 (2–8); 7.3","713,978; 4 (2–8); 7.8","778,071; 3 (2–8); 7.4","846,043; 3 (2–7); 7.1","873,720; 3 (2–7); 7.1"
Position × activity,All GRD episodes · Major ambulatory surgery,"146,948; 0 (0–0); 0.1","79,632; 0 (0–0); 0.1","102,931; 0 (0–0); 0.1","154,767; 0 (0–0); 0.1","193,544; 0 (0–0); 0.1","212,041; 0 (0–0); 0.1"
Position × activity,All GRD episodes · Other modalities (2019 only),"117,882; 0 (0–1); 0.8",n/e,n/e,n/e,n/e,n/e
"WHO age group (hospitalisation, any position)",Documented F84 · 0–4,524; 3 (1–6); 9.3,342; 3 (1–7); 18.3,451; 2 (1–5); 10.0,887; 3 (1–5); 6.0,"1,319; 3 (1–5); 5.4","1,268; 3 (1–5); 5.7"
