Definition era,Year,Horizon,Eligible discharges,"All-cause readmission, n (%, 95% CI)","Readmission with documented F84, n (%, 95% CI)",Overlapping next admission
2019–2020,2019,30 days,"2,330 / 2,330","352 (15.1%, 13.7–16.6)","241 (10.3%, 9.2–11.6)",7
2019–2020,2019,90 days,"2,330 / 2,330","510 (21.9%, 20.3–23.6)","343 (14.7%, 13.3–16.2)",7
2019–2020,2019,365 days,"2,330 / 2,330","734 (31.5%, 29.6–33.4)","498 (21.4%, 19.8–23.1)",7
2019–2020,2020,30 days,"1,459 / 1,609","231 (15.8%, 14.0–17.8)","172 (11.8%, 10.2–13.5)",1
2019–2020,2020,90 days,"1,172 / 1,609","260 (22.2%, 19.9–24.7)","197 (16.8%, 14.8–19.1)",1
2019–2020,2020,365 days,"1 / 1,609","0 (0.0%, 0.0–79.3)","0 (0.0%, 0.0–79.3)",1
2021–2024,2021,30 days,"2,367 / 2,367","322 (13.6%, 12.3–15.0)","247 (10.4%, 9.3–11.7)",1
2021–2024,2021,90 days,"2,367 / 2,367","482 (20.4%, 18.8–22.0)","378 (16.0%, 14.5–17.5)",1
2021–2024,2021,365 days,"2,367 / 2,367","766 (32.4%, 30.5–34.3)","588 (24.8%, 23.1–26.6)",1
2021–2024,2022,30 days,"3,856 / 3,856","472 (12.2%, 11.2–13.3)","377 (9.8%, 8.9–10.8)",2
2021–2024,2022,90 days,"3,856 / 3,856","717 (18.6%, 17.4–19.9)","563 (14.6%, 13.5–15.8)",2
2021–2024,2022,365 days,"3,856 / 3,856","1,193 (30.9%, 29.5–32.4)","951 (24.7%, 23.3–26.0)",2
2021–2024,2023,30 days,"6,421 / 6,421","876 (13.6%, 12.8–14.5)","722 (11.2%, 10.5–12.0)",2
2021–2024,2023,90 days,"6,421 / 6,421","1,313 (20.4%, 19.5–21.5)","1,071 (16.7%, 15.8–17.6)",2
2021–2024,2023,365 days,"6,421 / 6,421","2,080 (32.4%, 31.3–33.5)","1,697 (26.4%, 25.4–27.5)",2
2021–2024,2024,30 days,"7,957 / 8,727","1,008 (12.7%, 12.0–13.4)","818 (10.3%, 9.6–11.0)",5
2021–2024,2024,90 days,"6,282 / 8,727","1,229 (19.6%, 18.6–20.6)","989 (15.7%, 14.9–16.7)",5
2021–2024,2024,365 days,"2 / 8,727","1 (50.0%, 9.5–90.5)","0 (0.0%, 0.0–65.8)",5
