REM module,Code,Indicator,Definition era,Measure,2019,2020,2021,2022,2023,2024,2025
A-A03,03500404,Children with an 18-month health check,2019–2024,Flow: annual sum,"37,952; 701; 34,154","20,594; 663; 18,598","34,371; 745; 29,391","50,513; 908; 38,152","74,940; 1,136; 50,118","85,187; 1,283; 51,527",code not in force
A-A03,03500405,Language and/or social-area alteration at the 18-month check,2019–2024,Flow: annual sum,"5,160; 470; 3,915","2,358; 404; 1,842","5,118; 518; 3,747","7,870; 651; 4,992","10,333; 831; 5,242","14,774; 955; 6,910",code not in force
A-A03,03500406,M-CHAT performed among children with language or social-area alteration,2019–2022,Flow: annual sum,"2,613; 263; 1,316",816; 198; 613,"1,833; 273; 1,218","3,455; 399; 1,783",code not in force,code not in force,code not in force
A-A03,03500407,Altered M-CHAT among children with language or social-area alteration,2019–2022,Flow: annual sum,"1,640; 188; 525",288; 134; 174,879; 230; 368,"1,535; 315; 494",code not in force,code not in force,code not in force
A-A03,03700104,Children aged 31–59 months evaluated at the integral health check,2024–2024,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,code not in force,"39,466; 694; 39,466",code not in force
A-A03,03700105,Children aged 31–59 months with suspicion detected elsewhere,2024–2024,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,code not in force,"4,576; 564; 4,576",code not in force
A-A03,03700106,Autism suspicion by alert-sign guide: yes,2024–2024,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,code not in force,"5,860; 674; 5,860",code not in force
A-A03,03700107,Autism suspicion by alert-sign guide: no,2024–2024,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,code not in force,"6,327; 495; 6,327",code not in force
A-A03,03700108,Referral after alert-sign evaluation: yes,2024–2024,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,code not in force,"4,866; 629; 4,866",code not in force
A-A03,03700109,Referral after alert-sign evaluation: no,2024–2024,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,code not in force,"4,935; 464; 4,935",code not in force
A-A03,03710013,"M-CHAT reason: altered EEDP language or social area, ages 16–30 months",2025–2025,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,code not in force,code not in force,"14,671; 869; 14,671"
A-A03,03710014,"M-CHAT reason: autism risk factor or alert sign, ages 16–30 months",2025–2025,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,code not in force,code not in force,"5,921; 665; 5,921"
A-A03,03710015,"M-CHAT reason: both altered EEDP and autism risk factor or alert sign, ages 16–30 months",2025–2025,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,code not in force,code not in force,"2,656; 503; 2,656"
A-A03,03710016,M-CHAT-R/F result: low risk,2025–2025,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,code not in force,code not in force,"12,971; 818; 12,971"
A-A03,03710017,M-CHAT-R/F medium risk: no diagnostic referral required,2025–2025,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,code not in force,code not in force,"1,637; 395; 1,637"
A-A03,03710018,M-CHAT-R/F medium risk: diagnostic referral required,2025–2025,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,code not in force,code not in force,"2,500; 534; 2,500"
A-A03,03710019,M-CHAT-R/F high risk: diagnostic referral required,2025–2025,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,code not in force,code not in force,"2,181; 505; 2,181"
A-A03,03710020,Suspected autism at ages 30–59 months: no diagnostic referral required,2025–2025,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,code not in force,code not in force,"5,140; 501; 5,140"
A-A03,03710021,Suspected autism at ages 30–59 months: diagnostic referral required,2025–2025,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,code not in force,code not in force,"5,883; 642; 5,883"
A-A03,09600212,Suspected autism in other check-ups or consultations,2023–2024,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,"8,221; 731; 7,820","12,281; 861; 11,169",code not in force
A-A03,09600213,M-CHAT-R/F first part: low risk,2023–2024,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,"14,083; 880; 13,708","18,142; 1,082; 16,161",code not in force
A-A03,09600214,M-CHAT-R/F first part: medium risk,2023–2024,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,"3,642; 627; 3,358","4,698; 734; 4,085",code not in force
A-A03,09600215,M-CHAT-R/F first part: high risk,2023–2024,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,"1,907; 478; 1,635","2,234; 552; 1,765",code not in force
A-A03,09600216,M-CHAT-R/F high risk with specialist referral,2023–2024,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,"1,152; 373; 951","1,741; 454; 1,275",code not in force
A-A03,09600217,M-CHAT-R/F second part: medium risk in the first part,2023–2023,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,920; 247; 920,code not in force,code not in force
A-A03,09600218,M-CHAT-R/F second part: no referral required,2023–2024,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,817; 267; 614,"2,341; 528; 1,037",code not in force
A-A03,09600219,M-CHAT-R/F second part: referral required,2023–2024,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,"1,136; 346; 963","2,283; 516; 1,499",code not in force
A-A05,05225000,"A05 mental-health exits (clinical discharges): pervasive developmental disorders (broad PDD, pre-2021)",2019–2020,Flow: annual sum,"1,208; 387; 833",646; 260; 504,code not in force,code not in force,code not in force,code not in force,code not in force
A-A05,06902600,"A05 mental-health entries: pervasive developmental disorders (broad PDD, pre-2021)",2019–2020,Flow: annual sum,"4,417; 651; 3,765","2,560; 492; 2,310",code not in force,code not in force,code not in force,code not in force,code not in force
A-A05,05990022+05990023+05990025+05990026,A05 mental-health entries: PDD family (F84 excluding Rett syndrome),2021–2025,Flow: annual sum,code not in force,code not in force,"4,948; 710; 3,753","8,004; 869; 5,750","12,086; 1,040; 8,076","14,873; 1,153; 9,464","15,669; 995; 10,928"
A-A05,05990027+05990028+05990030+05990031,A05 mental-health exits (clinical discharges): PDD family (F84 excluding Rett syndrome),2021–2025,Flow: annual sum,code not in force,code not in force,"1,485; 387; 953","1,799; 492; 920","2,975; 587; 1,560","4,872; 725; 1,643","4,449; 675; 2,195"
A-A05,05225000,Clinical discharge: pervasive developmental disorders,2019–2020,Flow: annual sum,"1,208; 387; 833",646; 260; 504,code not in force,code not in force,code not in force,code not in force,code not in force
A-A05,05990022,Entry: autism,2021–2025,Flow: annual sum,code not in force,code not in force,"2,085; 449; 1,522","4,640; 658; 2,852","8,049; 920; 4,187","11,842; 1,070; 5,694","13,155; 952; 6,767"
A-A05,05990023,Entry: Asperger syndrome,2021–2025,Flow: annual sum,code not in force,code not in force,911; 329; 230,"1,207; 397; 310","1,301; 397; 398",922; 312; 320,663; 207; 274
A-A05,05990024,Entry: Rett syndrome,2021–2025,Flow: annual sum,code not in force,code not in force,354; 58; n/e,76; 22; n/e,56; 20; n/e,15; 13; n/e,16; 6; n/e
A-A05,05990025,Entry: childhood disintegrative disorder,2021–2025,Flow: annual sum,code not in force,code not in force,68; 38; n/e,41; 24; n/e,67; 40; n/e,47; 27; n/e,30; 21; n/e
A-A05,05990026,"Entry: pervasive developmental disorder, unspecified",2021–2025,Flow: annual sum,code not in force,code not in force,"1,884; 424; 690","2,116; 460; 848","2,669; 473; 1,146","2,062; 457; 1,000","1,821; 368; 855"
A-A05,05990027,Clinical discharge: autism,2021–2025,Flow: annual sum,code not in force,code not in force,494; 207; 240,831; 307; 316,"1,814; 438; 689","3,315; 625; 782","3,367; 624; 1,042"
A-A05,05990028,Clinical discharge: Asperger syndrome,2021–2025,Flow: annual sum,code not in force,code not in force,255; 150; 39,360; 181; 94,434; 195; 93,476; 220; 94,424; 168; 133
A-A05,05990029,Clinical discharge: Rett syndrome,2021–2025,Flow: annual sum,code not in force,code not in force,75; 29; n/e,24; 17; n/e,25; 17; n/e,71; 9; n/e,14; 9; n/e
A-A05,05990030,Clinical discharge: childhood disintegrative disorder,2021–2025,Flow: annual sum,code not in force,code not in force,18; 17; n/e,26; 15; n/e,6; 10; n/e,8; 8; n/e,17; 12; n/e
A-A05,05990031,"Clinical discharge: pervasive developmental disorder, unspecified",2021–2025,Flow: annual sum,code not in force,code not in force,718; 226; 244,582; 236; 112,721; 280; 185,"1,073; 269; 176",641; 217; 185
A-A05,06902600,Entry to the mental-health programme: pervasive developmental disorders,2019–2020,Flow: annual sum,"4,417; 651; 3,765","2,560; 492; 2,310",code not in force,code not in force,code not in force,code not in force,code not in force
A-A05,05990022,A05 mental-health entries: strict autism,2021–2025,Flow: annual sum,code not in force,code not in force,"2,085; 449; 1,522","4,640; 658; 2,852","8,049; 920; 4,187","11,842; 1,070; 5,694","13,155; 952; 6,767"
