Flow,Category,Code,Sex,Age group,2019,2020,2021,2022,2023,2024,2025
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,0–4,n/e,n/e,809 (710),"1,122 (869)","1,266 (1,040)","1,163 (1,153)","1,140 (995)"
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,5–9,n/e,n/e,"1,382 (710)","2,250 (869)","3,298 (1,040)","4,050 (1,153)","4,038 (995)"
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,10–14,n/e,n/e,761 (710),"1,374 (869)","2,067 (1,040)","2,697 (1,153)","2,919 (995)"
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,15–19,n/e,n/e,496 (710),705 (869),"1,182 (1,040)","1,470 (1,153)","1,564 (995)"
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,20–24,n/e,n/e,124 (710),184 (869),"263 (1,040)","367 (1,153)",394 (995)
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,25–29,n/e,n/e,46 (710),55 (869),"110 (1,040)","169 (1,153)",177 (995)
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,30–34,n/e,n/e,31 (710),39 (869),"64 (1,040)","94 (1,153)",115 (995)
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,35–39,n/e,n/e,23 (710),24 (869),"40 (1,040)","50 (1,153)",65 (995)
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,40–44,n/e,n/e,11 (710),7 (869),"19 (1,040)","34 (1,153)",32 (995)
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,45–49,n/e,n/e,11 (710),11 (869),"21 (1,040)","14 (1,153)",21 (995)
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,50–54,n/e,n/e,4 (710),3 (869),"11 (1,040)","13 (1,153)",15 (995)
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,55–59,n/e,n/e,4 (710),5 (869),"7 (1,040)","10 (1,153)",6 (995)
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,60–64,n/e,n/e,1 (710),2 (869),"9 (1,040)","7 (1,153)",10 (995)
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,65–69,n/e,n/e,0 (710),4 (869),"10 (1,040)","2 (1,153)",5 (995)
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,70–74,n/e,n/e,1 (710),1 (869),"1 (1,040)","0 (1,153)",4 (995)
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,75–79,n/e,n/e,0 (710),2 (869),"1 (1,040)","2 (1,153)",3 (995)
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,80+,n/e,n/e,0 (710),4 (869),"2 (1,040)","1 (1,153)",0 (995)
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Males,Total,n/e,n/e,"3,704 (710)","5,791 (869)","8,371 (1,040)","10,143 (1,153)","10,508 (995)"
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Females,0–4,n/e,n/e,241 (710),406 (869),"465 (1,040)","398 (1,153)",456 (995)
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Females,5–9,n/e,n/e,339 (710),614 (869),"1,013 (1,040)","1,323 (1,153)","1,500 (995)"
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Females,10–14,n/e,n/e,310 (710),601 (869),"1,104 (1,040)","1,447 (1,153)","1,521 (995)"
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Females,15–19,n/e,n/e,185 (710),354 (869),"639 (1,040)","888 (1,153)",962 (995)
Entries,Variant PDD family (sum of codes),05990022+05990023+05990025+05990026,Females,20–24,n/e,n/e,34 (710),75 (869),"149 (1,040)","247 (1,153)",270 (995)
