Denominator layer,Dimension,Category,2019,2020,2021,2022,2023,2024,2025
"INE population (2017-census-based projection, 30 June)",National total,Chile,"19,107,216","19,458,310","19,678,363","19,828,563","19,960,889","20,086,377","20,206,953"
FONASA beneficiaries (December stock),National total,Chile,"14,841,577","15,142,528","15,233,814","15,613,584","16,229,898","16,752,189","17,132,611"
ISAPRE beneficiaries (December stock),National total,Chile,"3,431,126","3,339,226","3,330,254","3,151,885","2,788,257","2,630,026","2,517,305"
APS enrolled (December stock),National total,Chile,"13,777,051","13,885,509","14,100,841","14,522,464","15,051,673","15,353,689","15,791,862"
"INE population (2017-census-based projection, 30 June)",Region,Arica y Parinacota,"494,072","504,220","510,760","515,444","519,604","523,558","527,374"
"INE population (2017-census-based projection, 30 June)",Region,Tarapacá,"737,812","765,546","782,330","793,394","803,176","812,574","821,806"
"INE population (2017-census-based projection, 30 June)",Region,Antofagasta,"1,337,126","1,383,708","1,407,492","1,419,274","1,428,284","1,436,464","1,444,240"
"INE population (2017-census-based projection, 30 June)",Region,Atacama,"622,614","629,418","633,474","636,008","638,096","639,984","641,728"
"INE population (2017-census-based projection, 30 June)",Region,Coquimbo,"1,643,452","1,672,192","1,696,158","1,717,538","1,738,206","1,758,534","1,778,546"
"INE population (2017-census-based projection, 30 June)",Region,Valparaíso,"3,870,910","3,920,340","3,958,746","3,991,076","4,021,698","4,051,386","4,080,332"
"INE population (2017-census-based projection, 30 June)",Region,Metropolitana,"15,830,398","16,250,144","16,484,918","16,621,968","16,735,580","16,841,458","16,942,488"
"INE population (2017-census-based projection, 30 June)",Region,O'Higgins,"1,957,736","1,982,126","2,001,918","2,019,104","2,035,402","2,051,172","2,066,476"
"INE population (2017-census-based projection, 30 June)",Region,Maule,"2,237,894","2,263,878","2,286,024","2,306,086","2,325,282","2,343,964","2,362,148"
"INE population (2017-census-based projection, 30 June)",Region,Ñuble,"1,015,918","1,023,102","1,029,016","1,034,120","1,038,874","1,043,422","1,047,752"
"INE population (2017-census-based projection, 30 June)",Region,Biobío,"3,309,488","3,327,392","3,341,180","3,352,538","3,362,860","3,372,450","3,381,232"
"INE population (2017-census-based projection, 30 June)",Region,La Araucanía,"2,015,930","2,028,686","2,039,096","2,048,058","2,056,402","2,064,328","2,071,836"
"INE population (2017-census-based projection, 30 June)",Region,Los Ríos,"806,826","811,670","815,636","819,118","822,410","825,572","828,586"
"INE population (2017-census-based projection, 30 June)",Region,Los Lagos,"1,768,928","1,782,880","1,794,606","1,805,020","1,814,858","1,824,342","1,833,442"
"INE population (2017-census-based projection, 30 June)",Region,Aysén,"213,360","214,594","215,474","216,094","216,612","217,076","217,488"
"INE population (2017-census-based projection, 30 June)",Region,Magallanes,"351,968","356,724","359,898","362,286","364,434","366,470","368,432"
FONASA beneficiaries (December stock),Region,Arica y Parinacota,"200,890","205,787","212,774","223,720","232,060","242,044","249,435"
FONASA beneficiaries (December stock),Region,Tarapacá,"282,832","290,831","305,320","322,711","339,793","362,366","382,251"
FONASA beneficiaries (December stock),Region,Antofagasta,"442,613","457,944","469,584","495,329","527,664","553,748","581,007"
FONASA beneficiaries (December stock),Region,Atacama,"252,071","257,377","259,928","268,335","280,270","290,037","297,255"
FONASA beneficiaries (December stock),Region,Coquimbo,"683,248","699,935","707,781","725,960","750,485","770,960","788,948"
FONASA beneficiaries (December stock),Region,Valparaíso,"1,536,446","1,567,284","1,580,712","1,625,358","1,683,271","1,733,860","1,776,648"
FONASA beneficiaries (December stock),Region,Metropolitana,"5,416,715","5,508,343","5,542,187","5,680,677","5,945,628","6,135,757","6,271,921"
FONASA beneficiaries (December stock),Region,O'Higgins,"806,650","826,196","830,260","857,620","887,999","913,155","936,603"
FONASA beneficiaries (December stock),Region,Maule,"981,725","999,996","1,006,959","1,037,860","1,070,823","1,102,905","1,128,748"
FONASA beneficiaries (December stock),Region,Ñuble,"442,991","452,113","453,722","461,868","474,499","483,939","492,100"
FONASA beneficiaries (December stock),Region,Biobío,"1,373,900","1,391,166","1,395,484","1,419,996","1,461,184","1,495,535","1,519,365"
FONASA beneficiaries (December stock),Region,La Araucanía,"879,389","899,453","908,737","930,651","957,860","984,188","1,004,831"
FONASA beneficiaries (December stock),Region,Los Ríos,"353,091","358,794","361,369","369,538","380,827","390,514","397,157"
FONASA beneficiaries (December stock),Region,Los Lagos,"767,127","785,248","788,939","807,545","837,221","865,652","885,369"
FONASA beneficiaries (December stock),Region,Aysén,"79,501","81,125","81,345","82,415","84,083","83,853","85,129"
FONASA beneficiaries (December stock),Region,Magallanes,"129,571","132,767","133,525","138,281","144,587","150,785","155,702"
FONASA beneficiaries (December stock),Region,Comuna not linked,"212,817","228,169","195,188","165,720","171,644","192,891","180,142"
ISAPRE beneficiaries (December stock),Region,Arica y Parinacota,"26,570","25,521","25,321","22,978","18,647","16,592","14,903"
ISAPRE beneficiaries (December stock),Region,Tarapacá,"54,477","52,608","52,191","47,896","39,724","35,685","32,423"
ISAPRE beneficiaries (December stock),Region,Antofagasta,"181,960","173,259","169,224","157,870","137,636","127,581","118,632"
ISAPRE beneficiaries (December stock),Region,Atacama,"47,816","45,657","45,458","42,261","35,226","31,866","29,255"
ISAPRE beneficiaries (December stock),Region,Coquimbo,"84,431","82,729","85,240","83,072","71,736","66,597","62,981"
ISAPRE beneficiaries (December stock),Region,Valparaíso,"252,643","249,967","254,060","241,722","213,575","200,316","189,512"
ISAPRE beneficiaries (December stock),Region,Metropolitana,"2,044,091","1,988,348","1,975,081","1,874,369","1,685,324","1,607,602","1,562,560"
ISAPRE beneficiaries (December stock),Region,O'Higgins,"130,471","127,616","128,098","120,897","106,265","100,127","94,926"
ISAPRE beneficiaries (December stock),Region,Maule,"94,169","91,815","92,420","86,431","74,202","69,046","64,294"
ISAPRE beneficiaries (December stock),Region,Ñuble,"36,813","35,942","36,175","33,998","28,921","26,577","24,521"
ISAPRE beneficiaries (December stock),Region,Biobío,"198,320","193,129","193,447","183,128","157,446","145,996","135,952"
ISAPRE beneficiaries (December stock),Region,La Araucanía,"87,312","85,289","85,429","79,744","67,521","61,274","56,592"
ISAPRE beneficiaries (December stock),Region,Los Ríos,"37,032","36,744","37,657","35,655","30,557","28,113","25,896"
ISAPRE beneficiaries (December stock),Region,Los Lagos,"113,175","110,493","110,897","105,100","90,396","84,506","79,116"
ISAPRE beneficiaries (December stock),Region,Aysén,"9,780","9,314","9,292","8,676","7,329","6,588","6,062"
ISAPRE beneficiaries (December stock),Region,Magallanes,"31,837","30,464","30,253","28,046","23,750","21,560","19,645"
ISAPRE beneficiaries (December stock),Region,Comuna not linked,70,78,11,42,2,n/e,35
APS enrolled (December stock),Region,Arica y Parinacota,"193,413","195,676","200,853","211,425","220,275","227,199","235,346"
