Month of admission,2019,2020,2021,2022,2023,2024
January,210 (211.3),234 (259.0),168 (245.5),248 (340.3),444 (525.9),649 (706.5)
February,152 (178.8),200 (251.4),120 (199.3),192 (314.5),346 (462.7),534 (643.3)
March,179 (180.4),149 (213.2),181 (267.2),310 (401.7),506 (559.5),695 (774.9)
April,192 (196.8),102 (207.6),182 (293.4),318 (419.2),511 (598.5),747 (804.5)
May,183 (183.2),86 (160.1),185 (286.6),324 (401.3),538 (574.5),726 (782.6)
June,185 (184.9),76 (142.8),170 (270.6),315 (404.3),480 (547.5),633 (717.9)
July,199 (190.7),87 (151.0),206 (312.2),277 (357.5),540 (608.4),803 (833.1)
August,223 (216.1),119 (192.8),229 (312.2),361 (427.2),625 (675.8),804 (850.4)
September,199 (215.2),113 (177.7),233 (323.7),338 (427.2),544 (656.6),724 (855.4)
October,199 (209.0),137 (199.6),212 (285.5),388 (476.0),646 (741.4),902 (941.9)
November,189 (222.6),170 (243.5),275 (370.3),412 (492.8),692 (778.7),807 (907.8)
December,224 (248.2),136 (210.3),206 (289.0),376 (464.1),551 (662.6),704 (807.3)
Unparsable admission date,0,0,0,0,0,3
Total,"2,334","1,609","2,367","3,859","6,423","8,731"
Variance / mean of the 12 months · Episodes with documented F84,2.00,17.26,7.80,11.81,15.95,12.86
Variance / mean of the 12 months · All GRD episodes,443.85,"2,092.85",364.59,493.58,296.00,202.22
A05 autism entries (05990022),n/e,n/e,"2,085","4,640","8,049","11,842"
