Series and statistic,2019,2020,2021,2022,2023,2024
Episodes with documented F84 · hospitalisation — Median (P25–P75),3 (1–7),4 (1–9),3 (1–8),3 (1–8),3 (1–8),3 (1–8)
Episodes with documented F84 · hospitalisation — P90 of stay (days),21,23,23,18,18,18
Episodes with documented F84 · hospitalisation — % of episodes with zero-day stay,278 (14.5%),165 (10.8%),283 (12.9%),412 (11.7%),520 (9.0%),679 (8.9%)
Episodes with documented F84 · hospitalisation — n,"1,911 (+0)","1,526 (+0)","2,187 (+0)","3,509 (+0)","5,792 (+0)","7,616 (+3)"
Principal F84 · hospitalisation — Median (P25–P75),7 (1–21),8 (4–21),10 (1–25),7 (1–19),5 (1–16),6 (2–15)
Principal F84 · hospitalisation — P90 of stay (days),37,43,51,36,32,29
Principal F84 · hospitalisation — % of episodes with zero-day stay,24 (11.8%),11 (7.1%),16 (8.6%),19 (6.4%),10 (2.8%),29 (7.5%)
Principal F84 · hospitalisation — n,203 (+0),155 (+0),186 (+0),295 (+0),361 (+0),388 (+2)
Episodes with documented F84 · major ambulatory surgery — Median (P25–P75),0 (0–0),0 (0–0),0 (0–0),0 (0–0),0 (0–0),0 (0–0)
Episodes with documented F84 · major ambulatory surgery — P90 of stay (days),0,0,0,0,0,0
Episodes with documented F84 · major ambulatory surgery — % of episodes with zero-day stay,160 (95.2%),79 (95.2%),170 (94.4%),336 (96.0%),615 (97.5%),"1,072 (96.4%)"
Episodes with documented F84 · major ambulatory surgery — n,168 (+0),83 (+0),180 (+0),350 (+0),631 (+0),"1,112 (+0)"
All GRD episodes · hospitalisation — Median (P25–P75),3 (2–7),3 (2–8),4 (2–8),3 (2–8),3 (2–7),3 (2–7)
All GRD episodes · hospitalisation — P90 of stay (days),15,16,18,17,16,16
All GRD episodes · hospitalisation — % of episodes with zero-day stay,"43,957 (5.0%)","34,571 (4.9%)","36,586 (5.1%)","40,369 (5.2%)","43,173 (5.1%)","46,007 (5.3%)"
All GRD episodes · hospitalisation — n,"886,625 (+2)","702,270 (+5)","713,978 (+0)","778,071 (+1)","846,043 (+0)","873,720 (+52)"
