Age group,2019,2020,2021,2022,2023,2024,M:F ratio 2019–2024
0–4,593; 49.3 (45.4–53.5),358; 30.1 (27.0–33.4),478; 40.5 (37.0–44.3),951; 80.8 (75.7–86.1),"1,432; 121.2 (115.0–127.7)","1,418; 119.8 (113.6–126.2)",2.89 (2.72–3.07)
5–9,706; 55.4 (51.3–59.6),429; 33.5 (30.4–36.8),691; 54.0 (50.1–58.2),"1,112; 88.0 (82.9–93.3)","1,898; 152.6 (145.8–159.7)","2,749; 225.0 (216.7–233.6)",3.94 (3.73–4.17)
10–14,529; 42.8 (39.2–46.6),423; 33.4 (30.3–36.8),635; 49.3 (45.6–53.3),930; 71.6 (67.1–76.4),"1,506; 116.0 (110.2–122.0)","2,299; 177.9 (170.7–185.3)",1.91 (1.81–2.01)
15–19,246; 19.3 (17.0–21.9),216; 17.1 (14.9–19.6),276; 22.2 (19.7–25.0),472; 38.3 (34.9–41.9),929; 75.2 (70.4–80.2),"1,258; 100.6 (95.1–106.4)",1.75 (1.63–1.87)
20–24,101; 7.0 (5.7–8.5),59; 4.1 (3.1–5.3),103; 7.3 (5.9–8.8),139; 10.1 (8.5–11.9),273; 20.4 (18.0–22.9),420; 32.2 (29.2–35.5),2.05 (1.81–2.33)
25–29,63; 3.9 (3.0–5.0),47; 2.8 (2.1–3.8),74; 4.5 (3.6–5.7),95; 6.0 (4.8–7.3),145; 9.3 (7.9–11.0),232; 15.3 (13.4–17.4),1.65 (1.40–1.93)
30–34,42; 2.8 (2.0–3.7),32; 2.0 (1.4–2.8),42; 2.5 (1.8–3.4),58; 3.4 (2.6–4.4),109; 6.4 (5.2–7.7),128; 7.5 (6.3–9.0),1.87 (1.53–2.30)
35–39,21; 1.5 (0.9–2.3),19; 1.3 (0.8–2.1),29; 2.0 (1.3–2.9),44; 3.0 (2.2–4.0),45; 3.0 (2.2–4.0),85; 5.4 (4.3–6.7),1.43 (1.11–1.85)
40–44,8; 0.6 (0.3–1.2),11; 0.8 (0.4–1.5),6; 0.4 (0.2–1.0),15; 1.1 (0.6–1.8),26; 1.9 (1.2–2.7),47; 3.3 (2.4–4.4),1.69 (1.15–2.48)
45–49,5; 0.4 (0.1–0.9),4; 0.3 (0.1–0.8),7; 0.5 (0.2–1.1),18; 1.4 (0.8–2.2),22; 1.7 (1.0–2.5),26; 1.9 (1.3–2.8),1.34 (0.87–2.08)
50–54,6; 0.5 (0.2–1.1),1; 0.1 (0.0–0.5),8; 0.7 (0.3–1.3),4; 0.3 (0.1–0.8),12; 1.0 (0.5–1.7),20; 1.6 (1.0–2.5),2.19 (1.21–3.95)
55–59,8; 0.7 (0.3–1.4),3; 0.3 (0.1–0.8),4; 0.3 (0.1–0.9),5; 0.4 (0.1–1.0),5; 0.4 (0.1–1.0),13; 1.1 (0.6–1.8),0.81 (0.43–1.53)
60–64,2; 0.2 (0.0–0.7),2; 0.2 (0.0–0.7),3; 0.3 (0.1–0.9),4; 0.4 (0.1–1.0),11; 1.0 (0.5–1.9),11; 1.0 (0.5–1.8),4.50 (1.86–10.90)
65–69,2; 0.3 (0.0–0.9),1; 0.1 (0.0–0.7),3; 0.4 (0.1–1.0),4; 0.5 (0.1–1.2),2; 0.2 (0.0–0.8),8; 0.9 (0.4–1.7),2.33 (0.90–6.07)
70–74,1; 0.2 (0.0–1.0),2; 0.3 (0.0–1.2),3; 0.5 (0.1–1.4),4; 0.6 (0.2–1.6),3; 0.4 (0.1–1.3),4; 0.6 (0.2–1.4),1.43 (0.54–3.75)
75–79,0; 0.0 (0.0–0.9),1; 0.2 (0.0–1.3),2; 0.5 (0.1–1.7),4; 0.9 (0.2–2.3),2; 0.4 (0.1–1.5),3; 0.6 (0.1–1.8),1.00 (0.32–3.10)
80+,1; 0.2 (0.0–1.1),1; 0.2 (0.0–1.0),3; 0.5 (0.1–1.5),0; 0.0 (0.0–0.6),3; 0.5 (0.1–1.4),7; 1.1 (0.4–2.3),0.67 (0.24–1.87)
Unknown age (episodes),0,0,0,0,0,3,n/e
Median age (years),7.9,9.2,9.1,8.2,8.6,9.5,n/e
